,https://roic.ai/company/ERLFF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,1,1,1,1,- -,- -,- -,- -,- -,1090718,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150654,102941,65517,42528,- -,20000,22000,105000,98000,118000
3,Gross Profit,- -,1,1,1,1,1,- -,- -,- -,- -,- -,1090718,- -,- -,- -,- -,-150654,-102941,-65517,-42528,- -,-20000,-22000,-105000,-98000,-118000
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6626018,7046649,7821789,- -,5236226,8579392,4982533,4855904,2604000,2334000,1651000,1830000,1968000,2340000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,56697,35464,38272,48629,23650,- -,745242,2898370,5547284,4070722,5063512,6626018,7046649,7821789,5766102,5236226,8579392,4982533,4855904,2604000,2334000,1651000,1830000,1968000,2340000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6732274,- -,- -,- -,- -,8234354,6102992,9054887,5160910,- -,524000,162000,173000,214000,502000
10,Operating Expenses,- -,56697,35464,38272,48629,23650,- -,- -,- -,- -,- -,11795786,- -,- -,- -,- -,13470580,14682384,14037420,10016814,- -,2858000,1813000,2003000,2182000,2842000
11,COGS and Expenses,- -,56697,35464,38272,48629,23650,- -,752662,2922460,14007309,10358143,11795786,6646253,7344524,19848208,23641497,13621234,14785325,14102937,10059342,4459000,2878000,1835000,2108000,2280000,2960000
12,Interest Income ,- -,1209,7506,7696,4483,5610,- -,20393,98042,313945,721873,1090718,1981316,397741,243433,190391,190449,431596,295023,-412077,102000,116000,111000,137000,80000,25000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,2700256,- -,- -,- -,10240770,9985963,- -,- -,229359,260453,264869,412077,279000,287000,307000,348000,357000,365000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,7420,24090,126375,200530,212819,146703,156144,203086,196221,150654,102941,65517,42528,31000,20000,22000,105000,98000,118000
15,EBITDA,- -,-55488,-27958,-30576,-44145,-229228,- -,481939,-2894949,-13882531,-10138542,-11620597,-5041574,-7188380,-19620518,-27323565,-14292287,-14396839,-13850304,-10135526,-4563000,-2957000,-4862000,-5418000,-5760000,-7102000
