,https://roic.ai/company/OGI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,986676,6127625,5713702,12429000,80413000,86795000,79163000
2,COGS,- -,- -,- -,- -,- -,-339511,813379,8840789,-40070000,31944000,143285000,107562000
3,Gross Profit,- -,- -,- -,- -,- -,1326187,5314246,-3127087,52499000,48469000,-56490000,-28399000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.3441,0.8673,-0.5473,4.2239,0.6028,-0.6508,-0.3587
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,1269000,3450000
6,General and Administrative Exp.,- -,- -,140164,318912,66771,1764178,2310804,4776368,9271000,26671000,29942000,30717000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,720968,1757812,2846938,6303000,14625000,16528000,15807000
8,"Selling, General and Administrative Exp.",- -,- -,140164,318912,66771,2485146,4068616,7623306,15574000,41296000,46470000,46524000
9,Other Expenses,- -,- -,- -,56333,- -,- -,- -,416355,509000,664000,-6373000,-5534000
10,Operating Expenses,- -,- -,140164,375245,66771,2485146,4068616,8039661,16083000,42369000,41366000,44440000
11,COGS and Expenses,- -,- -,140164,375245,66771,2145635,4881995,16880450,-23987000,74313000,184651000,152002000
12,Interest Income ,- -,- -,- -,- -,996,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,115405,436372,273867,10094000,9668000,6008000,2960000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,414801,785593,1550750,3528000,8902000,17958000,31033000
15,EBITDA,- -,- -,-140164,-375245,106762,-746648,2068628,-9065061,39788000,12657000,-122662000,-96711000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,Infinity,-0.7567,0.3376,-1.5865,3.2012,0.1574,-1.4132,-1.2217
17,Operating Income,- -,- -,-140164,-375245,-66771,-1158959,1245630,-11166748,36416000,5487000,-145510000,-91820000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-1.1746,0.2033,-1.9544,2.9299,0.0682,-1.6765,-1.1599
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-172536,-117895,-398967,277070,-8639000,-11362000,-1118000,-38884000
20,Income Before Tax,- -,- -,- -,-375245,-239307,-1276854,846663,-10889678,27777000,-5875000,-146628000,-130704000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-1.2941,0.1382,-1.9059,2.2349,-0.0731,-1.6894,-1.6511
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5653000,3629000,-10471000,- -
23,Net Income,- -,- -,-140164,-375245,-239307,-1276854,846663,-10889678,20513000,-9542000,-136157000,-130704000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-1.2941,0.1382,-1.9059,1.6504,-0.1187,-1.5687,-1.6511
25,EPS,- -,- -,-0.02,-0.05,-0.03,-0.02,0.01,-0.11,0.17,-0.07,-0.79,-0.51
26,EPS Diluted,- -,- -,-0.02,-0.05,-0.03,-0.02,0.01,-0.11,0.16,-0.07,-0.79,-0.51
27,Weighted Average Shares Outstanding,- -,- -,6990328,8291289,8292400,52404328,58682657,97206055,120564334,140923324,194511061,256119930
28,Weighted Average Shares Outstanding Diluted,- -,- -,6990328,8291289,8292400,52404328,58682657,97206055,126860553,151541073,194511061,267532091
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620737/000106299319004607/0001062993-19-004607-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,320596,157780,136997,1473694,9857637,1957370,55064000,47555000,24600000,55365000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,22775000,32000000,75000000,380000,50128000,128190000
33,Cash and Short-Term Investments,- -,- -,320596,157780,136997,1473694,32632637,33957370,130064000,47935000,74728000,183555000
34,Net Receivables,- -,- -,27720,25448,2940,766788,1561893,4072871,3736000,17450000,16976000,21285000
35,Inventory,- -,- -,- -,- -,- -,2279077,6307683,5405805,64827000,113796000,71759000,48818000
36,Other Current Assets,- -,- -,- -,- -,- -,73182,149740,1230239,4587000,17100000,6741000,6957000
37,Total Current Assets,- -,- -,348316,183228,139937,4592741,40651953,44666285,203214000,196281000,170204000,260615000
38,PP&E,- -,- -,- -,153533,- -,9583376,13215012,45346206,98639000,219046000,247420000,235939000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2327728,- -,- -,- -,14321000
