,https://roic.ai/company/INRD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6206092,7909967,8075205,5569118,5388184,9221857,13785057,13921127,15099878,16301209,11051127,11054178,11054178,13177194,11235654,9726145,10492229,9766525,9859201,11488727,10008000,9007562,100000
2,COGS,3254885,3463296,5078352,4662599,3917123,6618506,9956125,9377313,9141049,11486620,8896539,8545153,8545153,9614875,9247515,8680050,8257634,7812248,7936534,8387527,8015148,7218119,69400
3,Gross Profit,2951207,4446671,2996853,906519,1471061,2603351,3828932,4543814,5958829,4814589,2154588,2509025,2509025,3562319,1988139,1046095,2234595,1954277,1922667,3101200,1992852,1789443,30600
4,Gross Profit Ratio,0.4755,0.5622,0.3711,0.1628,0.2730,0.2823,0.2778,0.3264,0.3946,0.2954,0.1950,0.2270,0.2270,0.2703,0.1769,0.1076,0.2130,0.2001,0.1950,0.2699,0.1991,0.1987,0.3060
5,Research and Development Exp.,1289335,1558290,201603,134424,153843,97685,20279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3105063,3255073,3172512,3041289,2543072,2450706,2416794,2233760,2614229,2537630,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1551320,2198226,2501621,2276495,2389547,2916056,3450224,3627244,3561570,3857805,3278161,3105063,3255073,3339365,3172512,3041289,2543072,2450706,2416794,2233760,2614229,2537630,22400
9,Other Expenses,313190,289677,299733,- -,582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
