,https://roic.ai/company/SENR,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,6841400,11614000,17297900,12644900,11683500,8428000,8216900,4302800,2912500
2,COGS,4870300,8472100,12016100,10393400,9521300,7504900,6174000,2374500,2165600
3,Gross Profit,1971100,3141900,5281800,2251500,2162200,923100,2042900,1928300,746900
4,Gross Profit Ratio,0.2881,0.2705,0.3053,0.1781,0.1851,0.1095,0.2486,0.4482,0.2564
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,5636000,4688500,4759900,3724300,2683400,1223500
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,5636000,4688500,4759900,3724300,2683400,1223500
9,Other Expenses,3548900,3889900,5969200,- -,- -,254900,- -,- -,3847800
10,Operating Expenses,3548900,3889900,5969200,5636000,4688500,5014800,3724300,2683400,5071300
11,COGS and Expenses,8419200,12362000,17985300,16029400,14209800,12519700,9898300,5057900,7236900
12,Interest Income ,1300,4000,- -,- -,- -,- -,39400,- -,- -
13,Interest Expense (Gain),347400,147500,77800,93300,- -,1425600,1459700,553200,913900
14,Depreciation and Amortization,- -,- -,494600,715400,785000,- -,541300,346900,160300
15,EBITDA,-1142000,-472200,287800,-2078600,-3101400,-772800,-932600,-1637900,-1689900
16,EBITDA ratio,-0.1669,-0.0407,0.0166,-0.1644,-0.2655,-0.0917,-0.1135,-0.3807,-0.5802
17,Operating Income,-1577800,-748000,-687400,-3384500,-4332800,-4767700,-1752100,-755100,-2158800
18,Operating Income ratio,-0.2306,-0.0644,-0.0397,-0.2677,-0.3708,-0.5657,-0.2132,-0.1755,-0.7412
19,Total Other Income Expenses (Gains),-111300,-110600,-38600,-39100,-307100,-1365700,-1382800,-148700,-605300
20,Income Before Tax,-1689100,-858600,-726000,-3423600,-4639900,-6133400,-3134900,-903800,-2764100
21,Income Before Tax Ratio,-0.2469,-0.0739,-0.0420,-0.2707,-0.3971,-0.7277,-0.3815,-0.2100,-0.9490
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1489400,-619700,-284600,-2887300,-3886400,-2198400,-2933600,-2538000,-2764100
24,Net Income ratio,-0.2177,-0.0534,-0.0165,-0.2283,-0.3326,-0.2608,-0.3570,-0.5898,-0.9490
25,EPS,-0.05,-0.01,-0.01,-0.05,-0.07,-0.10,-0.05,-0.04,-0.04
26,EPS Diluted,-0.05,-0.01,-0.01,-0.05,-0.07,-0.10,-0.05,-0.04,-0.04
27,Weighted Average Shares Outstanding,32963000,43251500,51726316,52320762,53951309,55264804,59237822,62110753,64106563
28,Weighted Average Shares Outstanding Diluted,32963000,43251500,51726316,52320762,53951309,55264804,59237822,62110753,64106563
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1576197/000138713114001080/0001387131-14-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713115001271/0001387131-15-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713116004975/0001387131-16-004975-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713117002083/0001387131-17-002083-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713118001627/0001387131-18-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713119002684/0001387131-19-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315220008886/0001493152-20-008886-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315221008904/0001493152-21-008904-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,70400,2419100,229200,257100,233200,54100,115700,354700,47300
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,70400,2419100,229200,257100,233200,54100,115700,354700,47300
34,Net Receivables,1173800,1170000,3078900,1502900,2043500,877000,1688500,929300,375600
35,Inventory,46000,22400,- -,- -,- -,- -,- -,104100,250200
36,Other Current Assets,297100,581500,416300,534000,535900,340900,365200,225500,117400
37,Total Current Assets,1587300,4193000,3724400,2294000,2812600,1272000,2169400,1613600,790500
38,PP&E,752100,1762900,4848800,4331300,2961300,1296400,831900,561800,548000
39,Goodwill,- -,- -,- -,277800,277800,277800,277800,277800,- -
40,Intangible Assets,450900,379500,371400,508800,460200,345300,239000,201700,447300
41,Intangible Assets,450900,379500,371400,786600,738000,623100,516800,479500,447300
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9400,36800,52500,37500,25600,559400,262000,407000,- -
45,Total Non-Current Assets,1212400,2179200,5272700,5155400,3724900,2478900,1610700,1448300,995300
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2799700,6372200,8997100,7449400,6537500,3750900,3780100,3061900,1785800
48,Accounts Payable,1323300,1506800,1675900,1382200,2158500,1436900,1772400,1189400,1109200
49,Short-Term Debt,- -,- -,436800,691900,583600,2178100,2617700,4453300,523900
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1085400
51,Deferred Revenue,- -,- -,836600,463900,518300,553100,663300,370900,30200
52,Other Current Liabilities,1672100,2104700,2181900,2447900,3553200,2305300,2469000,2645100,8917200
53,Total Current Liabilities,2995400,3611500,5131200,4985900,6813600,6473400,7522400,8658700,10580500
54,Long-Term Debt,- -,- -,60900,1161400,1751500,504300,432800,268400,523900
55,Deferred Revenue,- -,- -,- -,337200,283600,113100,63200,30200,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1027000,768900,- -,- -,- -,- -,- -,381900,- -
58,Total Non-Current Liabilities,1027000,768900,60900,1498600,2035100,617400,496000,680500,523900
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,601400,552800,- -,- -,- -,- -,- -,86100,412800
61,Total Liabilities,4022400,4380400,5192100,6484500,8848700,7090800,8018400,9339200,10945500
62,Preferred Stock,- -,- -,- -,- -,- -,- -,61700,- -,- -
63,Common Stock,40300,47900,51700,52400,54500,56500,25000,62600,65100
64,Retained Earnings,-11595500,-12215200,-12499800,-15387100,-19273500,-21471900,-24405500,-26964300,- -
65,Other Comprehensive Income/Loss,-762300,-935900,-1342600,-1974000,-2607500,-2739700,-3193800,-3492400,- -
66,Other Total Stockholders Equity,11294500,15533600,18475700,19689900,21685100,23530400,25699800,26143500,-6732500
67,Total Stockholders Equity,-1023000,2430400,4685000,2381200,-141400,-624700,-1812800,-4250600,-6667400
68,Total Liabilities And Stockholders Equity,2999400,6810800,9877100,8865700,8707300,6466100,6205600,5088600,4278100
69,Minority Interest,-199700,-438600,-880000,-1416300,-2169800,-2715200,-2425500,-2026700,-2492300
70,Total Liabilities & Equity,2799700,6372200,8997100,7449400,6537500,3750900,3780100,3061900,1785800
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1576197/000138713114001080/0001387131-14-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713115001271/0001387131-15-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713116004975/0001387131-16-004975-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713117002083/0001387131-17-002083-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713118001627/0001387131-18-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713119002684/0001387131-19-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315220008886/0001493152-20-008886-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315221008904/0001493152-21-008904-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-1489400,-619700,-284600,-2887300,-3886400,-2198400,-2933600,-2538000,-2764100
74,Depreciation and Amortization,- -,- -,494600,715400,785000,- -,541300,346900,160300
