,https://roic.ai/company/TOFB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11600000,7700000,9500000,7900000,5400000,4400000,4000000,4100000,5200000,5000000,5800000,7400000,9000000,11912000,13343000,16254000,17542000,19014000,19188000,18613000,19465000,19150000,19609000,- -,18617000,15926000,15926000,14343000,14692000,- -,14473000,14107000,13066000,13130000,- -,13815000
2,COGS,6300000,9600000,5600000,4600000,3200000,2400000,2300000,2300000,3100000,3000000,3700000,4700000,5800000,7349000,8192000,10550000,11494000,12700000,12660000,13633000,13885000,13628000,14187000,- -,12995000,11441000,11441000,10392000,10727000,- -,9882000,9367000,8962000,9093000,- -,9562000
3,Gross Profit,5300000,-1900000,3900000,3300000,2200000,2000000,1700000,1800000,2100000,2000000,2100000,2700000,3200000,4563000,5151000,5704000,6048000,6314000,6528000,4980000,5580000,5522000,5422000,- -,5622000,4485000,4485000,3951000,3965000,- -,4591000,4740000,4104000,4037000,- -,4253000
4,Gross Profit Ratio,0.4569,-0.2468,0.4105,0.4177,0.4074,0.4545,0.4250,0.4390,0.4038,0.4000,0.3621,0.3649,0.3556,0.3831,0.3860,0.3509,0.3448,0.3321,0.3402,0.2676,0.2867,0.2884,0.2765,- -,0.3020,0.2816,0.2816,0.2755,0.2699,- -,0.3172,0.3360,0.3141,0.3075,- -,0.3079
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,200000,300000,300000,376000,397000,483000,437000,552000,477000,416000,477000,481000,590000,- -,581000,546000,546000,643000,585000,- -,426000,393000,410000,324000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2014000,- -,2035000,1801000,154000,271000,467000,- -,2059000,252000,314000,-6000,- -,1692000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2383000,- -,2171000,1493000,1647000,1664000,1472000,- -,1393000,1516000,1357000,1632000,- -,1187000
8,"Selling, General and Administrative Exp.",6000000,300000,4400000,4100000,2100000,2000000,1600000,1700000,1800000,2000000,1800000,2000000,2300000,2763000,3289000,3668000,4062000,4631000,5005000,3957000,3974000,4242000,4397000,- -,4206000,3294000,1801000,1935000,1939000,- -,3452000,1768000,1671000,1626000,- -,2879000
9,Other Expenses,600000,300000,200000,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000,2006000,2285000,2340000,- -,238000,1829000,1651000,1979000,- -,498000
10,Operating Expenses,6600000,600000,4600000,4400000,2200000,2000000,1600000,1700000,2000000,2000000,2000000,2300000,2600000,3139000,3686000,4151000,4499000,5183000,5482000,4373000,4451000,4723000,4987000,- -,4787000,4353000,4353000,4863000,4864000,- -,4116000,3990000,3732000,3929000,- -,3377000
11,COGS and Expenses,12900000,10200000,10200000,9000000,5400000,4400000,3900000,4000000,5100000,5000000,5700000,7000000,8400000,10488000,11878000,14701000,15993000,17883000,18142000,18006000,18336000,18351000,19174000,- -,17782000,15794000,15794000,15255000,15591000,- -,13998000,13357000,12694000,13022000,- -,12939000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000,- -,- -,15000,5000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
