,https://roic.ai/company/BRSP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,112712000,141667000,163964000,475804000,557550000,424349000,323088000
2,COGS,1987000,26936000,28997000,153606000,162382000,211982000,131230000
3,Gross Profit,110725000,114731000,134967000,322198000,395168000,212367000,191858000
4,Gross Profit Ratio,0.9824,0.8099,0.8232,0.6772,0.7088,0.5005,0.5938
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,15315000,17204000,15239000,26634000,31936000,66265000,64163000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15315000,17204000,15239000,106624000,81517000,66265000,64163000
9,Other Expenses,721000,2996000,8864000,201246000,321459000,136491000,32634000
10,Operating Expenses,16036000,20200000,24103000,307870000,402976000,202756000,96797000
11,COGS and Expenses,18023000,47136000,53100000,416950000,800859000,414738000,228027000
12,Interest Income ,- -,- -,- -,- -,- -,- -,18000
13,Interest Expense (Gain),18949000,- -,5095000,47074000,87730000,48860000,32278000
14,Depreciation and Amortization,- -,146000,9137000,90986000,103321000,59852000,36503000
15,EBITDA,99750000,77718000,104944000,6621000,-220289000,-255485000,-25989000
16,EBITDA ratio,0.8850,0.5486,0.6400,0.0139,-0.3951,-0.6021,-0.0804
17,Operating Income,94689000,120562000,131883000,- -,- -,- -,- -
18,Operating Income ratio,0.8401,0.8510,0.8043,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-12834000,-26087000,-26504000,-199148000,-216167000,-260920000,32878000
20,Income Before Tax,81855000,94475000,105379000,-140294000,-459476000,-251309000,32810000
21,Income Before Tax Ratio,0.7262,0.6669,0.6427,-0.2949,-0.8241,-0.5922,0.1016
22,Income Tax expense (Gain),247000,1521000,2208000,37059000,3172000,-10898000,6276000
23,Net Income,80554000,76051000,88504000,-168498000,-414512000,-353299000,-101046000
24,Net Income ratio,0.7147,0.5368,0.5398,-0.3541,-0.7435,-0.8326,-0.3128
25,EPS,0.63,0.59,0.65,-1.41,-3.25,-2.75,-0.79
26,EPS Diluted,0.63,0.59,0.65,-1.41,-3.25,-2.75,-0.79
27,Weighted Average Shares Outstanding,127886796,127886796,127886796,120677000,128391000,128548000,128548000
28,Weighted Average Shares Outstanding Diluted,127886796,127886796,127886796,120677000,128391000,128548000,128548000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1717547/000119312518094233/0001193125-18-094233-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754719000003/0001717547-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754720000006/0001717547-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754721000010/0001717547-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754722000014/0001717547-22-000014-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,13982000,1000000,77317000,69619000,474817000,259722000
32,Short-Term Investments,- -,- -,- -,228185000,273603000,11190000,- -
33,Cash and Short-Term Investments,- -,13982000,1000000,305502000,343222000,486007000,259722000
