,https://roic.ai/company/ETTX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,5000000,7000000,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,15778000,25745000,33046000,40166000,41022000,37105000
6,General and Administrative Exp.,3326000,5599000,10161000,13770000,13209000,15212000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3326000,5599000,10161000,13770000,13209000,15212000
9,Other Expenses,- -,- -,-5337000,-2300000,-3562000,- -
10,Operating Expenses,19104000,31344000,37870000,51636000,50669000,52317000
11,COGS and Expenses,19104000,29948000,37870000,51636000,50669000,- -
12,Interest Income ,9000,25000,390000,1463000,173000,13000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,177000,194000,164000,142000,141000,104000
15,EBITDA,-18927000,-29754000,-32316000,-43031000,-50528000,-52213000
16,EBITDA ratio,-Infinity,-Infinity,-6.4632,-6.1473,-Infinity,-Infinity
17,Operating Income,-19104000,-31344000,-38207000,-46936000,-54231000,-52317000
18,Operating Income ratio,-Infinity,-Infinity,-7.6414,-6.7051,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),9000,1421000,5727000,3763000,3735000,5176000
20,Income Before Tax,-19095000,-29923000,-32480000,-43173000,-50496000,-47141000
21,Income Before Tax Ratio,-Infinity,-Infinity,-6.4960,-6.1676,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,472000,677000,- -,- -
23,Net Income,-19095000,-29923000,-32952000,-43850000,-50496000,-47141000
24,Net Income ratio,-Infinity,-Infinity,-6.5904,-6.2643,-Infinity,-Infinity
25,EPS,-5.14,-8.05,-12.31,-3.33,-2.10,-1.00
26,EPS Diluted,-5.14,-8.05,-12.31,-3.33,-2.10,-1.00
27,Weighted Average Shares Outstanding,3715917,3715917,3419720,13160357,24060615,47310254
28,Weighted Average Shares Outstanding Diluted,3715917,3715917,3419720,13160357,24060615,47310254
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724344/000155837019002588/0001558370-19-002588-index.htm,https://www.sec.gov/Archives/edgar/data/1724344/000155837020002414/0001558370-20-002414-index.htm,https://www.sec.gov/Archives/edgar/data/1724344/000155837021003348/0001558370-21-003348-index.htm,https://www.sec.gov/Archives/edgar/data/1724344/000155837022002788/0001558370-22-002788-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,26256000,55101000,49360000,16034000,53247000,32307000
32,Short-Term Investments,- -,- -,35732000,24962000,- -,- -
33,Cash and Short-Term Investments,26256000,55101000,85092000,40996000,53247000,32307000
34,Net Receivables,234000,722000,1706000,1232000,1890000,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,152000,497000,1994000,6778000,4995000,7508000
37,Total Current Assets,26642000,56320000,88792000,49006000,60132000,39815000
38,PP&E,364000,646000,419000,1965000,1363000,802000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
