,https://roic.ai/company/WDDD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,30000,510000,1410000,1460000,160000,80000,90000,100000,- -,10000,90000,100000,420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,30000,320000,830000,260000,80000,100000,110000,90000,- -,60000,200000,170000,10000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8685
3,Gross Profit,- -,- -,190000,580000,1200000,80000,-20000,-20000,10000,- -,-50000,-110000,-70000,410000,-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8685
4,Gross Profit Ratio,- -,- -,0.3725,0.4113,0.8219,0.5000,-0.2500,-0.2222,0.1000,- -,-5.0000,-1.2222,-0.7000,0.9762,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity
5,Research and Development Exp.,- -,990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,680000,2650000,3430000,9440000,3330000,- -,- -,- -,- -,- -,- -,- -,658325,998345,533343,958304,3934914,747393,723050,828972,766222,1266889,844863,1239134,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630655000,- -,- -
8,"Selling, General and Administrative Exp.",680000,2650000,3430000,9440000,3333163,24913,- -,16384,19950,50920,510958,590690,658325,998345,533343,958304,3934914,747393,723050,828972,766222,1266889,631499863,1239134,- -
9,Other Expenses,6130000,-810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075037,- -,- -,2000,- -,- -,- -,- -,-630655000,- -,- -
10,Operating Expenses,6810000,2830000,3430000,9440000,3333163,24913,- -,16384,19950,50920,510958,590690,658325,998345,1608380,958304,3934914,749393,723050,828972,766222,1266889,844863,1239134,- -
11,COGS and Expenses,6810000,2860000,3750000,10270000,3590000,100000,100000,119591,113559,-30000,573001,790000,820000,1010000,1690000,1870000,3970000,822840,3083210,1075390,3028120,2893680,1154650,1239134,- -
12,Interest Income ,- -,- -,- -,- -,6061,- -,- -,- -,- -,- -,- -,1451,- -,- -,- -,- -,1430,- -,- -,- -,- -,- -,3033,14233,14194
13,Interest Expense (Gain),- -,10000,-100000,-60000,-900000,-120000,-150000,-150000,-150000,-150000,-120000,-100000,- -,- -,- -,- -,-546790,-358835,-61935,-58712,-45000,-45000,82858000,76091,76063
14,Depreciation and Amortization,20000,130000,280000,1490000,1380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-6790000,-2510000,-3160000,-7490000,-2810000,-180000,-330000,- -,-70000,-280000,1940000,-890000,-730000,-600000,-1690000,-1870000,-5436790,-1341415,-4099305,-1191622,-2791970,1709320,81623530,-1224901,- -
16,EBITDA ratio,-Infinity,-83.6667,-6.1961,-5.3121,-1.9247,-1.1250,-4.1250,- -,-0.7000,-Infinity,194.0000,-9.8889,-7.3000,-1.4286,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,- -
17,Operating Income,-6810000,-2830000,-3240000,-8860000,-2127702,58363,-28319,-29591,-13559,-49832,-563001,-699273,-722204,-595563,-1694640,-1664222,-3969605,-815844,-700057,-828972,-3022727,-2893675,-1154646,-1506781,- -
18,Operating Income ratio,-Infinity,-94.3333,-6.3529,-6.2837,-1.4573,0.3648,-0.3540,-0.3288,-0.1356,-Infinity,-56.3001,-7.7697,-7.2220,-1.4180,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,10000,-100000,-60000,-1162298,-118363,-151681,179591,93559,-80168,2623001,-90727,-7796,-4437,4640,-205778,-920395,-166736,-3337313,-303938,275757,4647995,-79824,-61858,- -
20,Income Before Tax,-6810000,-2820000,-3340000,-8920000,-3290000,-60000,-180000,150000,80000,-130000,2060000,-790000,-730000,-600000,-1690000,-1870000,-4890000,-982580,-4037370,-1132910,-2746970,1754320,-1234470,-1568639,-614170
21,Income Before Tax Ratio,-Infinity,-94.0000,-6.5490,-6.3262,-2.2534,-0.3750,-2.2500,1.6667,0.8000,-Infinity,206.0000,-8.7778,-7.3000,-1.4286,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6690000,-2650000,-3340000,-8920000,-3290000,-60000,-180000,150000,80000,-130000,2060000,-790000,-730000,-600000,-1690000,-1870000,-4890000,-982580,-4037370,-1132910,-2746970,1754320,-1234470,-1568639,-614170
24,Net Income ratio,-Infinity,-88.3333,-6.5490,-6.3262,-2.2534,-0.3750,-2.2500,1.6667,0.8000,-Infinity,206.0000,-8.7778,-7.3000,-1.4286,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-3.58,-0.77,-0.96,-2.37,-0.37,-0.01,-0.02,0.02,0.01,-0.01,0.25,0.03,-0.05,-0.05,-0.10,-0.10,-0.25,-0.05,-0.20,-0.05,-0.06,0.03,-0.02,-0.03,-0.01
26,EPS Diluted,-3.58,-0.77,-0.96,-2.37,-0.37,-0.01,-0.02,0.02,0.01,-0.01,0.25,0.03,-0.05,-0.05,-0.10,-0.10,-0.25,-0.05,-0.20,-0.05,-0.06,0.03,-0.02,-0.03,-0.01
