,https://roic.ai/company/LMB,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,485739000,546526000,553334000,568209000,490351000
2,COGS,- -,- -,- -,- -,420116000,487095000,481457000,486823000,404441000
3,Gross Profit,- -,- -,- -,- -,65623000,59431000,71877000,81386000,85910000
4,Gross Profit Ratio,- -,- -,- -,- -,0.1351,0.1087,0.1299,0.1432,0.1752
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,390974,- -,- -,57089000,63168000,63601000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,56023000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,390974,- -,56023000,57089000,63168000,63601000,71436000
9,Other Expenses,- -,- -,- -,443000000,3582000,1272000,642000,630000,484000
10,Operating Expenses,- -,- -,390974,443000000,59605000,58361000,63810000,64231000,71920000
11,COGS and Expenses,- -,- -,390974,- -,479721000,545456000,545267000,551054000,476361000
12,Interest Income ,- -,- -,49749,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,3305000,- -,- -,2568000
14,Depreciation and Amortization,- -,- -,- -,7338000,9118000,5683000,6286000,6171000,5948000
15,EBITDA,- -,- -,-392595,- -,12981000,6508000,4229000,13160000,17993000
16,EBITDA ratio,- -,- -,-Infinity,- -,0.0267,0.0119,0.0076,0.0232,0.0367
17,Operating Income,- -,- -,-390974,- -,6018000,1070000,8067000,17155000,13990000
18,Operating Income ratio,- -,- -,-Infinity,- -,0.0124,0.0020,0.0146,0.0302,0.0285
19,Total Other Income Expenses (Gains),- -,- -,51370,- -,-2155000,-3550000,-10124000,-10166000,-4513000
20,Income Before Tax,- -,- -,-339604,- -,3863000,-2480000,-2057000,6989000,9477000
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,0.0080,-0.0045,-0.0037,0.0123,0.0193
22,Income Tax expense (Gain),- -,- -,- -,- -,3151000,-635000,-282000,1182000,2763000
23,Net Income,- -,- -,-339604,- -,712000,-1845000,-1775000,5807000,6714000
24,Net Income ratio,- -,- -,-Infinity,- -,0.0015,-0.0034,-0.0032,0.0102,0.0137
25,EPS,- -,- -,-0.18,- -,-0.13,-0.52,-0.23,0.74,0.42
26,EPS Diluted,- -,- -,-0.18,- -,-0.13,-0.52,-0.23,0.72,0.41
27,Weighted Average Shares Outstanding,- -,1848001,1848001,7471371,7471371,7562586,7662362,7865089,10266486
28,Weighted Average Shares Outstanding Diluted,- -,1848001,1848001,7471371,7471371,7562586,7662362,8065464,10491863
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1606163/000114420415015101/v400771_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420417020753/v462647_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418018709/0001144204-18-018709-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420419019702/tv516315_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020007572/lmb-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021005652/0001628280-21-005652-index.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828022006391/0001628280-22-006391-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,397387,119826,7406000,626000,1619000,8344000,42147000,14476000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,397387,119826,7406000,626000,1619000,8344000,42147000,14476000
34,Net Receivables,- -,- -,- -,145931000,162349000,168385000,182255000,152865000,173304000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,72479,19496,1846000,3285000,34982000,4781000,4405000,5126000
37,Total Current Assets,- -,469866,139322,155183000,166260000,204986000,195380000,199417000,192906000
38,PP&E,- -,- -,- -,18541000,17918000,20527000,42343000,38451000,41740000
39,Goodwill,- -,- -,- -,10488000,10488000,10488000,6129000,6129000,11370000
40,Intangible Assets,- -,- -,- -,17807000,14225000,12953000,12311000,11681000,16907000
41,Intangible Assets,- -,- -,- -,28295000,24713000,23441000,18440000,17810000,28277000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4268000,3664000,4409000,4786000,6087000,4330000
44,Other Non-Current Assets,- -,46008549,46059918,588000,465000,271000,668000,392000,259000
45,Total Non-Current Assets,- -,46008549,46059918,51692000,46760000,48648000,66237000,62740000,74606000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,46478415,46199240,206875000,213020000,253634000,261617000,262157000,267512000
48,Accounts Payable,- -,69854,130283,57034000,67438000,74353000,86267000,66763000,63840000
49,Short-Term Debt,- -,125000,125000,4476000,14138000,4475000,8175000,10465000,14245000
50,Tax Payable,- -,- -,- -,- -,2220000,- -,12000,1671000,501000
51,Deferred Revenue,- -,- -,- -,39190000,28543000,50843000,42370000,46648000,26712000
52,Other Current Liabilities,- -,- -,- -,26029000,25365000,52467000,20057000,26418000,24945000
53,Total Current Liabilities,- -,194854,255283,126729000,135484000,182138000,156869000,150294000,129742000
54,Long-Term Debt,- -,- -,- -,21507000,20556000,23614000,38868000,36513000,46392000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,817000,861000,1514000,19010000,21618000,3540000
58,Total Non-Current Liabilities,- -,- -,- -,22324000,21417000,25128000,57878000,58131000,49932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,21997000,19388000,20942000
61,Total Liabilities,- -,194854,255283,149053000,156901000,207266000,214747000,208425000,179674000
62,Preferred Stock,- -,- -,- -,10374000,7959000,- -,- -,- -,- -
63,Common Stock,- -,41000175,40944075,1000,1000,1000,1000,1000,1000
64,Retained Earnings,- -,-189755,-529359,-7715000,-6579000,-8424000,-9688000,-3881000,2833000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2593000,-7840000,-11808000,-16748000,- -,- -
66,Other Total Stockholders Equity,- -,5473141,5529241,57755000,62578000,66599000,73305000,57612000,- -
67,Total Stockholders Equity,- -,46283561,45943957,57822000,56119000,46368000,46870000,53732000,87838000
68,Total Liabilities And Stockholders Equity,- -,46478415,46199240,206875000,213020000,253634000,261617000,262157000,267512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,46478415,46199240,206875000,213020000,253634000,261617000,262157000,267512000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1606163/000114420415015101/v400771_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420417020753/v462647_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418018709/0001144204-18-018709-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420419019702/tv516315_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020007572/lmb-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021005652/0001628280-21-005652-index.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828022006391/0001628280-22-006391-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,- -,-339604,- -,712000,-1845000,-1775000,5807000,6714000
74,Depreciation and Amortization,- -,- -,- -,7338000,9118000,5683000,6286000,6171000,5948000
75,Deferred Income Tax,- -,- -,- -,-3871000,603000,-745000,-609000,-1301000,1757000
76,Stock Based Compensation,- -,- -,- -,- -,1656000,2159000,1766000,1068000,2601000
77,Change in Working Capital,- -,-2630,-390973,28569961,2322000,-7928000,15663000,10612000,-47944000
78,Accounts Receivable,- -,- -,- -,-33606000,-15630000,-6408000,659000,19200000,3408000
79,Inventory,- -,- -,- -,- -,1000,- -,- -,- -,- -
80,Accounts Payable,- -,69854000,60429,16661000,10404000,6914000,11914000,-19504000,-5578000
81,Other Working Capital,- -,275012,-115961,28454000,30776000,22848000,38511000,49123000,-20399000
82,Other Non-Cash Items,- -,-189750,504385,-27283961,-18476000,27998000,-22257000,17458000,6691000
83,Cash Provided by Operating Activities,- -,-192380,-226192,4753000,-4065000,25322000,-926000,39815000,-24233000
84,CAPEX,- -,- -,- -,2085000,-3303000,-3877000,-2663000,-1483000,-791000
85,Acquisitions Net,- -,- -,- -,-32158000,- -,- -,- -,- -,-18977000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
