,https://roic.ai/company/TVC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,7794000000,9185000000,9244000000,10382000000,11255000000,10874000000,11841000000,11220000000,10956000000,11137000000,11003000000,10616000000,10739000000,11233000000,11318000000,10249000000,10503000000
2,COGS,2601000000,3333000000,- -,4159000000,4705000000,3140000000,2800000000,2509000000,2652000000,2555000000,2444000000,2126000000,2169000000,2049000000,1896000000,1584000000,1737000000
3,Gross Profit,5193000000,5852000000,9244000000,6223000000,6550000000,7734000000,9041000000,8711000000,8304000000,8582000000,8559000000,8490000000,8570000000,9184000000,9422000000,8665000000,8766000000
4,Gross Profit Ratio,0.6663,0.6371,1.0000,0.5994,0.5820,0.7112,0.7635,0.7764,0.7579,0.7706,0.7779,0.7997,0.7980,0.8176,0.8325,0.8454,0.8346
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2359000000,2372000000,2382000000,2298000000,2395000000,- -,3617000000,3510000000,3428000000,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1543000000,1877000000,1959000000,1724000000,2142000000,2181000000,2434000000,2541000000,2228000000,2383000000,2556000000,2358000000,2242000000,3045000000,8507000000,7538000000,5921000000
10,Operating Expenses,3902000000,4249000000,4341000000,4022000000,4537000000,2181000000,6051000000,6051000000,5656000000,2383000000,2556000000,2358000000,2242000000,3045000000,8507000000,7538000000,5921000000
11,COGS and Expenses,6503000000,7582000000,7780000000,12357000000,13987000000,11772000000,10404000000,9920000000,9503000000,9548000000,8788000000,8290000000,8764000000,8921000000,8507000000,9122000000,7658000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,23000000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1261000000,1215000000,1184000000,-1376000000,-1272000000,-1294000000,1305000000,1273000000,1226000000,1169000000,1133000000,1136000000,1346000000,1243000000,1198000000,-1142000000,1088000000
14,Depreciation and Amortization,236000000,217000000,223000000,296000000,338000000,238000000,1792000000,1947000000,1723000000,1888000000,2077000000,1882000000,1763000000,2554000000,2633000000,1848000000,1555000000
15,EBITDA,1582000000,1761000000,1790000000,-263000000,-208000000,-84000000,3259000000,3280000000,3220000000,3526000000,4321000000,4251000000,3794000000,4916000000,5248000000,2058000000,4155000000
