,https://roic.ai/company/GWRS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,32559000,31956000,29799000,31208000,35515000,35471000,38627000,41914000
2,COGS,10418000,9259000,8041000,7549000,8229000,8915000,9539000,10299000
3,Gross Profit,22141000,22697000,21758000,23659000,27286000,26556000,29088000,31615000
4,Gross Profit Ratio,0.6800,0.7103,0.7302,0.7581,0.7683,0.7487,0.7530,0.7543
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8809000,7957000,10209000,9407000,10548000,11242000,12722000,15146000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8809000,7957000,10209000,9407000,10548000,11242000,12722000,15146000
9,Other Expenses,-41459000,8213000,6279000,6908000,7469000,8353000,9031000,9490000
10,Operating Expenses,-32650000,16170000,16488000,16315000,18017000,19595000,21753000,24636000
11,COGS and Expenses,-22232000,25429000,24529000,23864000,26246000,28510000,31292000,34935000
12,Interest Income ,79000,11000,18000,19000,101000,203000,93000,19000
13,Interest Expense (Gain),9512000,8299000,11866000,5125000,5255000,5388000,5377000,5201000
14,Depreciation and Amortization,9205000,8213000,6279000,6908000,7469000,8353000,9031000,9490000
15,EBITDA,66653000,58498000,13804000,15983000,17609000,17127000,16284000,19450000
16,EBITDA ratio,2.0471,1.8306,0.4632,0.5121,0.4958,0.4828,0.4216,0.4640
17,Operating Income,54791000,6527000,5270000,7344000,9269000,6961000,7335000,6979000
18,Operating Income ratio,1.6828,0.2042,0.1769,0.2353,0.2610,0.1962,0.1899,0.1665
19,Total Other Income Expenses (Gains),-6855000,35459000,-9611000,-3394000,-4384000,-3575000,-5459000,-2220000
20,Income Before Tax,47936000,41986000,-4341000,3950000,4885000,3386000,1876000,4759000
21,Income Before Tax Ratio,1.4723,1.3139,-0.1457,0.1266,0.1375,0.0955,0.0486,0.1135
22,Income Tax expense (Gain),-16995000,20623000,-1489000,-601000,1782000,1162000,771000,1150000
23,Net Income,64931000,21363000,-2852000,4551000,3103000,2224000,1105000,3609000
24,Net Income ratio,1.9943,0.6685,-0.0957,0.1458,0.0874,0.0627,0.0286,0.0861
25,EPS,3.35,1.10,-0.15,0.23,0.15,0.10,0.05,0.16
26,EPS Diluted,3.35,1.10,-0.15,0.23,0.15,0.10,0.05,0.16
27,Weighted Average Shares Outstanding,19406546,19406546,19146534,19605239,20468509,21516620,22518636,22619469
28,Weighted Average Shares Outstanding Diluted,19406546,19406546,19146534,19644768,20507437,21531594,22574093,22902970
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434728/000156459017003919/0001564590-17-003919-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472818000040/0001434728-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472819000051/0001434728-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472820000077/0001434728-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472821000087/0001434728-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472822000077/0001434728-22-000077-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,6577000,11513000,20498000,5248000,12756000,7513000,18033000,12637000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6577000,11513000,20498000,5248000,12756000,7513000,18033000,12637000
34,Net Receivables,3772000,3183000,3423000,3717000,3892000,4105000,4757000,4705000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1944000,4019000,819000,700000,686000,675000,665000,1645000
37,Total Current Assets,12293000,18715000,24740000,9665000,17334000,12293000,23455000,18987000
38,PP&E,240424000,194152000,200489000,213459000,227055000,233554000,238891000,255866000
39,Goodwill,13082000,- -,- -,- -,2639000,4398000,4600000,5730000
40,Intangible Assets,12772000,12772000,12772000,12772000,12972000,12554000,11185000,10339000
41,Intangible Assets,25854000,12772000,12772000,12772000,15611000,16952000,15785000,16069000
42,Investments,1150000,821000,480000,345000,79000,- -,- -,- -
43,Tax Assets,14806000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,13074000,11515000,338000,2327000,2382000,3314000,5317000,3152000
45,Total Non-Current Assets,295308000,219260000,214079000,228903000,245127000,253820000,259993000,275087000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,307601000,237975000,238819000,238568000,262461000,266113000,283448000,294074000
48,Accounts Payable,1531000,1322000,1791000,321000,604000,992000,531000,2120000
49,Short-Term Debt,- -,- -,25000,8000,9000,7000,1920000,3975000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1238000
51,Deferred Revenue,2614000,1717000,1483000,1395000,1460000,1445000,1918000,2084000
52,Other Current Liabilities,9485000,7624000,7602000,7252000,7503000,7656000,8020000,8753000
53,Total Current Liabilities,13630000,10663000,10901000,8976000,9576000,10100000,12389000,16932000
54,Long-Term Debt,127265000,104472000,114263000,114363000,114411000,114413000,112523000,108933000
55,Deferred Revenue,19730000,19730000,19740000,19746000,17358000,17372000,17843000,19035000
56,Deferred Tax Liabilities,- -,4164000,2383000,3114000,4350000,4919000,3652000,3269000
57,Other Non-Current Liabilities,119296000,78883000,76341000,77509000,88895000,94637000,104853000,115876000
58,Total Non-Current Liabilities,266291000,207249000,212727000,214732000,225014000,231341000,238871000,247113000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,316000,287000,79000,- -,134000,361000,251000,341000
61,Total Liabilities,279921000,217912000,223628000,223708000,234590000,241441000,251260000,264045000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,196000,196000,215000,216000,227000,228000
64,Retained Earnings,-22961000,-1598000,-4515000,376000,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-78571000,-64092000,-72877000,-75592000,-85093000,-92749000,- -,- -
66,Other Total Stockholders Equity,129210000,85751000,92387000,89880000,112749000,117205000,31961000,29801000
67,Total Stockholders Equity,27680000,20063000,15191000,14860000,27871000,24672000,32188000,30029000
68,Total Liabilities And Stockholders Equity,307601000,237975000,238819000,238568000,262461000,266113000,283448000,294074000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,307601000,237975000,238819000,238568000,262461000,266113000,283448000,294074000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434728/000156459017003919/0001564590-17-003919-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472818000040/0001434728-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472819000051/0001434728-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472820000077/0001434728-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472821000087/0001434728-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472822000077/0001434728-22-000077-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,64931000,21363000,-2852000,4551000,3103000,2224000,1105000,3609000
74,Depreciation and Amortization,9205000,8213000,6279000,6908000,7469000,8353000,9031000,9490000
75,Deferred Income Tax,-16995000,20561000,-1610000,529000,1236000,570000,-1275000,-307000
76,Stock Based Compensation,1361000,798000,2776000,1550000,1714000,2051000,3286000,2884000
77,Change in Working Capital,2889000,9389000,5787000,-13150000,7069000,-5565000,8873000,4516000
78,Accounts Receivable,26000,125000,-409000,-179000,178000,-193000,-641000,82000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-227000,-2502000,-4087000,-1247000,-688000,-1584000,-176000,415000
81,Other Working Capital,-1337000,8052000,13839000,689000,7758000,2193000,11066000,- -
82,Other Non-Cash Items,-49745000,-56079000,-8485000,10768000,-9284000,3933000,-6454000,194000
83,Cash Provided by Operating Activities,11646000,4245000,1895000,11156000,11307000,11566000,14566000,20386000
84,CAPEX,-1655000,-3355000,-8588000,-20885000,-4787000,-11187000,-9131000,-18250000
85,Acquisitions Net,- -,- -,2000000,- -,-8000000,1000000,-302000,-2068000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1431000,51972000,-8167000,-20998000,-5325000,-11056000,-9140000,-18251000
89,Cash Used for Investing Activites,-1431000,51972000,-6167000,-20998000,-13325000,-10056000,-9442000,-20319000
90,Debt Repayment,-22842000,-23593000,-107073000,-84000,-36000,-103000,-131000,-2068000
91,Common Stock Issued,- -,- -,8372000,- -,15910000,- -,11738000,- -
92,Common Stock Repurchased,- -,-464000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3454000,-27607000,-5036000,-5399000,-5791000,-6165000,-6539000,-6609000
94,Other Financing Activites,20698000,383000,116994000,75000,-557000,656000,2018000,748000
95,Cash Used/Provided by Financing Activities,-5598000,-51281000,13257000,-5408000,9526000,-5612000,7086000,-7929000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4617000,4936000,8985000,-15250000,7508000,-4102000,12210000,-7862000
98,Cash at the End of Period,6577000,11513000,20498000,5248000,12756000,9095000,21305000,13443000
99,Cash at the Beginning of Period,1960000,6577000,11513000,20498000,5248000,13197000,9095000,21305000
100,Free Cash Flow,9991000,890000,-6693000,-9729000,6520000,379000,5435000,2136000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434728/000156459017003919/0001564590-17-003919-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472818000040/0001434728-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472819000051/0001434728-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472820000077/0001434728-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472821000087/0001434728-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1434728/000143472822000077/0001434728-22-000077-index.htm
102,false,,,,,,,,
