,https://roic.ai/company/CLOK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,880000,- -,60000,80000,70000,230000,630000,670000,360000,60000,- -,490000,520000,1340000,- -,341480,467270,316250,46600,47983,15417
2,COGS,- -,- -,- -,870000,- -,30000,60000,100000,140000,320000,370000,180000,30000,- -,180000,240000,240000,- -,90900,121200,89230,- -,- -,- -
3,Gross Profit,- -,- -,- -,10000,- -,30000,20000,-30000,90000,310000,300000,180000,30000,- -,310000,280000,1100000,- -,250580,346070,227020,46600,47983,15417
4,Gross Profit Ratio,- -,- -,- -,0.0114,- -,0.5000,0.2500,-0.4286,0.3913,0.4921,0.4478,0.5000,0.5000,- -,0.6327,0.5385,0.8209,- -,0.7338,0.7406,0.7178,1.0000,1.0000,1.0000
5,Research and Development Exp.,320000,130000,1430000,1590000,160000,80000,250000,390000,190000,170000,- -,110000,- -,- -,150000,210000,40000,230000,755160,1087370,873110,1744480,1689455,616746
6,General and Administrative Exp.,210000,500000,2950000,3640000,1080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167466,3796734,1844903,3372047,4573673,2597881
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218722,354005,545250,1772197,710595,96125
8,"Selling, General and Administrative Exp.",210000,130463,3152064,4757388,1751487,896797,699378,656346,457649,437164,619762,456334,21964,- -,223211,714266,2810757,12886202,1386188,4150739,2390153,5144244,5284268,2694006
9,Other Expenses,210000,432700,5543,-995,-5452,4301,3257,1591,13465,-40,- -,-110000,- -,340417,1000,-1105,-2271,-2350,-1,-630261,-3,- -,- -,- -
10,Operating Expenses,740000,693163,4587607,6346393,1906035,981098,952635,1047937,661114,607124,619762,456334,21964,340417,374211,923161,2848486,13113852,2141347,4607848,3263260,6888724,6973723,3310752
11,COGS and Expenses,740000,690000,4590000,7220000,1970000,1010000,1010000,1190000,1080000,930000,870000,630000,60000,340000,560000,1170000,3090000,13110000,2936100,4835300,3750760,6888720,6973723,3310752
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-10000,70000,100000,- -,-10000,-20000,-30000,-100000,-170000,-50000,-90000,-10000,19612,1488,392,2430,2722,47117,53137,490992,8100,- -,1000
14,Depreciation and Amortization,10000,1336,1792,19405,22847,12926,13134,13341,22324,17522,622,- -,- -,- -,180015,243470,244620,- -,2132,5524,5548,16927,18243,- -
15,EBITDA,-730000,-688664,-4588208,-6120595,-1950000,-947074,-956866,-1156659,-1027676,-602478,-299378,-450000,-20000,-340388,501503,-386138,-1462950,-13757278,-2592491,-4362499,-3924240,-6808993,-6951829,-3103283
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-6.9552,-Infinity,-15.7846,-11.9608,-16.5237,-4.4682,-0.9563,-0.4468,-1.2500,-0.3333,-Infinity,1.0235,-0.7426,-1.0918,-Infinity,-7.5919,-9.3361,-12.4087,-146.1157,-144.8811,-201.2897
17,Operating Income,-740000,-691826,-4585814,-6333428,-1905010,-943367,-930238,-1023491,-557552,-299937,-316144,-277609,-21964,-340417,-72247,-655763,-1749601,-13113852,-2654238,-4368024,-3117242,-6842124,-6925740,-3295335
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-7.1971,-Infinity,-15.7228,-11.6280,-14.6213,-2.4241,-0.4761,-0.4719,-0.7711,-0.3661,-Infinity,-0.1474,-1.2611,-1.3057,-Infinity,-7.7727,-9.3480,-9.8569,-146.8267,-144.3374,-213.7468
19,Total Other Income Expenses (Gains),-30000,-8174,65814,93428,25010,-6633,-19762,-116509,-392448,-150063,66144,-82391,11964,417,2247,5763,-399,-6148,12498,-53136,-1303538,8104,-44332,191052
20,Income Before Tax,-770000,-700000,-4520000,-6240000,-1880000,-950000,-950000,-1140000,-950000,-450000,-250000,-360000,-10000,-340000,-70000,-650000,-1750000,-13120000,-2641740,-4421160,-4420780,-6834020,-6970072,-3104283
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-7.0909,-Infinity,-15.8333,-11.8750,-16.2857,-4.1304,-0.7143,-0.3731,-1.0000,-0.1667,-Infinity,-0.1429,-1.2500,-1.3060,-Infinity,-7.7361,-9.4617,-13.9788,-146.6528,-145.2613,-201.3545
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-770000,-700000,-4520000,-6240000,-1880000,-950000,-950000,-1140000,-950000,-450000,-250000,-360000,-10000,-360000,320000,-630000,-1710000,-13760000,-2641740,-4421160,-4420780,-6834020,-6970072,-3104283
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-7.0909,-Infinity,-15.8333,-11.8750,-16.2857,-4.1304,-0.7143,-0.3731,-1.0000,-0.1667,-Infinity,0.6531,-1.2115,-1.2761,-Infinity,-7.7361,-9.4617,-13.9788,-146.6528,-145.2613,-201.3545
25,EPS,-3.67,-2.00,-10.00,-13.00,-4.00,-2.00,-1.00,-1.00,-1.00,-0.42,-0.19,-0.22,-0.01,-0.20,0.15,-0.30,-1.00,-4.43,-0.56,-0.71,-0.20,-0.17,-0.18,-0.05
26,EPS Diluted,-3.67,-2.00,-10.00,-13.00,-4.00,-2.00,-1.00,-1.00,-1.00,-0.42,-0.19,-0.22,-0.01,-0.20,0.15,-0.30,-1.00,-4.43,-0.56,-0.71,-0.20,-0.17,-0.18,-0.05
27,Weighted Average Shares Outstanding,210000,365442,451934,479605,470872,627583,782125,893386,967541,1077778,1332527,1606440,1652768,1805268,2104634,2127987,2474774,3105738,4744815,6183909,22502166,40792510,39495185,54864945
28,Weighted Average Shares Outstanding Diluted,210000,365442,451934,479605,470872,627583,782125,893386,967541,1077778,1332527,1606440,1652768,1805268,2104634,2127987,2474774,3105738,4744815,6183909,22502166,40792510,39495185,54864945
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000107654206000016/0001076542-06-000016-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000002/0000721748-13-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000671/0000721748-13-000671-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000072174815000010/0000721748-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174816000975/0000721748-16-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315217001035/0001493152-17-001035-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218000491/0001493152-18-000491-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218018144/0001493152-18-018144-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000149315220000463/0001493152-20-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315220024396/0001493152-20-024396-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/0001493152-21-032215-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,62185,2584900,604761,1405,17903,160214,1616,43899,85887,7602,12434,2197,11016,51356,8587,545650,1993406,344138,227396,14056346,7839472,1079839,5783994
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,62185,2584900,604761,1405,17903,160214,1616,43899,85887,7602,12434,2197,11016,51356,8587,545650,1993406,344138,227396,14056346,7839472,1079839,5783994
34,Net Receivables,- -,- -,- -,- -,- -,28200,25797,9968,141498,6216,29957,10224,- -,- -,4888,8338,1006,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,20000,14916,9700,66150,23735,6020,22900,660,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,20000,- -,305556,121358,2431,16926,15489,68,5570,68,- -,- -,400,- -,- -,- -,6887,3232,47288,- -,- -,121371,258424,459832
37,Total Current Assets,40000,62185,2890456,746119,18752,72729,267650,35387,196987,115071,38219,22658,2597,11016,56244,16925,553543,1996638,391426,227396,14056346,7960843,1338263,6243826
38,PP&E,10000,3340,7397,135836,45007,32081,21021,7680,1037,622,- -,- -,- -,- -,- -,- -,- -,- -,13897,11170,20050,40182,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022591,817921,604301,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200106,1022591,817921,604301,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,193015,5031,5031,5031,291100,21600,17140,10355,5200,- -,- -,- -,- -,- -,- -,12218,12218,12218,7566,- -,510000
45,Total Non-Current Assets,- -,3340,7397,328851,50038,37112,26052,298780,22637,17762,10355,5200,- -,1200106,1022591,817921,604301,- -,26115,23388,32268,47748,- -,510000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491140,- -
47,Total Assets,40000,65525,2897853,1074970,68790,109841,293702,334167,219624,132833,48574,27858,2597,1211122,1078835,834846,1157844,1996638,417541,250784,14088614,8008591,1829403,6753826
48,Accounts Payable,- -,19917,25954,326367,765457,185725,148187,256578,249177,195423,164275,192507,- -,- -,- -,- -,656452,1100945,62270,- -,52043,650681,840234,- -
49,Short-Term Debt,- -,- -,- -,430000,75079,10000,- -,219150,292375,242175,- -,- -,- -,44535,21763,9796,53612,- -,- -,26678,- -,- -,349510,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25591,- -,- -,1125000,442000,308412,- -,28400,15417,- -
52,Other Current Liabilities,20000,8530,- -,- -,- -,477695,340984,519132,952846,886002,1194571,1402744,1788741,1941255,229736,397350,18,18,420334,564790,72489,142293,10000,1487732
53,Total Current Liabilities,20000,28447,25954,756367,840536,673420,489171,994860,1494398,1323600,1358846,1595251,1788741,1985790,277090,407146,710082,2225963,924604,899880,124532,821374,1215161,1487732
54,Long-Term Debt,110000,110000,- -,- -,- -,43250,43250,- -,124748,137055,149361,161668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341522,7836,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1200106,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,110000,110000,- -,- -,- -,43250,43250,- -,124748,137055,149361,161668,1,1200106,- -,- -,- -,- -,341522,7836,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752204,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736284,- -
61,Total Liabilities,130000,138447,25954,756367,840536,716670,532421,994860,1619146,1460655,1508207,1756919,1788742,3185896,277090,407146,710082,2225963,1266126,907716,124532,821374,1967365,1487732
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,40000,40000,40000,100000,100000,100000,10000,10000,10000,- -
63,Common Stock,250000,365443,471958,473675,515871,706338,843307,940955,991081,1219959,1372770,1652769,1652769,1805269,2119912,2146242,2834737,43567,52688,66351,407438,407925,407925,963421
64,Retained Earnings,-3170000,-3866310,-8385647,-18921847,-20805336,-21757900,-22709680,-23850462,-24795755,-25241477,-25491084,-25816256,-25873341,-26229970,-25911091,-26542265,-28255726,-43138826,-45780569,-50201730,-54622513,-61456536,- -,-71530891
65,Other Comprehensive Income/Loss,- -,-3340,-5133,-22188,-26306,-39232,-52366,-65707,-1037,-1452,-2074,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11072,-27999,- -,- -
66,Other Total Stockholders Equity,2830000,3431285,10790721,18788963,19544025,20483965,21680020,22314521,22406189,22695148,22660755,22434426,22434427,22409927,24552924,24783723,25828751,42765934,44779296,49378447,68180229,68253827,-555887,75833564
67,Total Stockholders Equity,-90000,-72922,2871899,318603,-771746,-606829,-238719,-660693,-1399522,-1327822,-1459633,-1729061,-1786145,-1974774,801745,427700,447762,-229325,-848585,-656932,13964082,7187217,-137962,5266094
68,Total Liabilities And Stockholders Equity,40000,65525,2897853,1074970,68790,109841,293702,334167,219624,132833,48574,27858,2597,1211122,1078835,834846,1157844,1996638,417541,250784,14088614,8008591,1829403,6753826
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40000,65525,2897853,1074970,68790,109841,293702,334167,219624,132833,48574,27858,2597,1211122,1078835,834846,1157844,1996638,417541,250784,14088614,8008591,1829403,6753826
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000107654206000016/0001076542-06-000016-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000002/0000721748-13-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000671/0000721748-13-000671-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000072174815000010/0000721748-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174816000975/0000721748-16-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315217001035/0001493152-17-001035-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218000491/0001493152-18-000491-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218018144/0001493152-18-018144-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000149315220000463/0001493152-20-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315220024396/0001493152-20-024396-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/0001493152-21-032215-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-770000,-700000,-4520000,-6240000,-1880000,-950000,-950000,-1140000,-950000,-450000,-250000,-360000,-10000,-360000,320000,-630000,-1710000,-13760000,-2641740,-4421160,-4420780,-6834020,-6970072,-3104283
74,Depreciation and Amortization,10000,1336,1792,19405,22847,12926,13134,13341,22324,17522,622,- -,- -,- -,180015,243470,244620,- -,2132,5524,5548,16927,18243,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624,36629,1625119,11733265,312694,2858422,1472601,57158,194896,- -
77,Change in Working Capital,20000,13738,2830764,-2874750,-811536,221093,379170,-737952,-337938,88882,-112098,-251966,-213551,-188630,1753928,-169375,233682,-72786,-303853,-139306,14604298,-6792345,-7016367,107126
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23741,19733,- -,- -,-4888,-3450,7332,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-20000,5084,5216,-56450,-4360,-112,-16880,22240,660,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,20000,33738,2864502,-10248,-821784,-600691,-221521,-959473,-1297411,-1208529,-1320627,-1572593,-1786144,-1974774,-220846,-390221,-156539,-229325,-533178,-672484,13931814,7139469,123102,-417
82,Other Non-Cash Items,400000,357926,2601788,5541319,1742048,13421,-322638,1265113,959272,367582,356829,658631,192033,327999,-2104250,382565,87826,1317889,63426,-92244,-13961126,7412465,13873300,-633649
83,Cash Provided by Operating Activities,-340000,-327000,914344,-3554026,-926641,-702560,-880334,-599498,-306342,23986,-4647,46665,-31518,-220631,150317,-136711,481247,-781632,-2567341,-1788764,-2299459,-6139815,100000,-3630806
84,CAPEX,- -,- -,-5849,-147843,- -,- -,-2074,- -,- -,- -,- -,- -,- -,- -,- -,-11500,-25000,- -,-16029,-2798,-14429,-37059,-28972,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10000,- -,-200000,- -,1390,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500,-25000,- -,-12218,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,10000,- -,-205849,-147843,1390,- -,-2074,- -,- -,- -,- -,- -,- -,- -,- -,-11500,-25000,- -,-28247,-2798,-14429,-37059,-28972,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45500,- -,- -,- -,- -,-23111,-59713,-53612,- -,-70000,-725000,- -,- -,-173378
91,Common Stock Issued,- -,367450,3986720,1291730,261992,- -,1054719,25000,20000,109800,- -,- -,- -,25000,68000,- -,37000,- -,946320,1383320,16625238,- -,- -,8558339
92,Common Stock Repurchased,370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10000,- -,-2172500,430000,59903,719058,-30000,415900,328625,-91798,-28138,-41833,21281,204050,-177977,128553,103529,2283000,- -,361500,242600,-40000,-84570,- -
95,Cash Used/Provided by Financing Activities,360000,367450,1814220,1721730,321895,719058,1024719,440900,348625,18002,-73638,-41833,21281,229050,-109977,105442,80816,2229388,946320,1674820,16142838,-40000,-84570,8334961
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20000,40450,2522715,-1980139,-603356,16498,142311,-158598,42283,41988,-78285,4832,-10237,8419,40340,-42769,537063,1447756,-1649268,-116742,13828950,-6216874,-6759633,4704155
98,Cash at the End of Period,20000,62185,2584900,604761,1405,17903,160214,1616,43899,85887,7602,12434,2197,11016,51356,8587,545650,1993406,344138,227396,14056346,7839472,1079839,5783994
99,Cash at the Beginning of Period,- -,21735,62185,2584900,604761,1405,17903,160214,1616,43899,85887,7602,12434,2597,11016,51356,8587,545650,1993406,344138,227396,14056346,7839472,1079839
100,Free Cash Flow,-340000,-327000,908495,-3701869,-926641,-702560,-882408,-599498,-306342,23986,-4647,46665,-31518,-220631,150317,-148211,456247,-781632,-2583370,-1791562,-2313888,-6176874,71028,-3630806
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000107654206000016/0001076542-06-000016-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000002/0000721748-13-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000671/0000721748-13-000671-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000072174815000010/0000721748-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174816000975/0000721748-16-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315217001035/0001493152-17-001035-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218000491/0001493152-18-000491-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315218018144/0001493152-18-018144-index.html,https://www.sec.gov/Archives/edgar/data/1022505/000149315220000463/0001493152-20-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315220024396/0001493152-20-024396-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/0001493152-21-032215-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
