,https://roic.ai/company/LKCO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,14506000,6337000,1451000,11562000,6186000,8819000,5233145,26082417,21042360,18779170,18263788
2,COGS,- -,- -,2352000,3408000,1689000,10544000,4222000,5618000,6315504,5547779,6938060,14976020,17479479
3,Gross Profit,- -,- -,12154000,2929000,-238000,1018000,1964000,3201000,-1082359,20534638,14104300,3803150,784309
4,Gross Profit Ratio,- -,- -,0.8379,0.4622,-0.1640,0.0880,0.3175,0.3630,-0.2068,0.7873,0.6703,0.2025,0.0429
5,Research and Development Exp.,- -,- -,179000,311000,201000,249000,202000,288000,2882202,1046198,1254980,3253330,9401883
6,General and Administrative Exp.,- -,- -,1635000,3276000,8278000,2805000,1940000,3508000,2108854,2451249,21355260,26450480,29925057
7,Selling and Marketing Exp.,- -,- -,341000,629000,685000,557000,364000,- -,6209804,23908733,- -,- -,1708222
8,"Selling, General and Administrative Exp.",- -,- -,1976000,3905000,8963000,3362000,2304000,3508000,8318658,26359982,21445582,26609175,31633279
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-0,- -,- -,2223590,5457416,- -
10,Operating Expenses,- -,- -,2155000,4216000,9164000,3611000,2506000,3796000,11200860,27406180,24924152,35319921,41035162
11,COGS and Expenses,- -,- -,4507000,7624000,10853000,14155000,6728000,9414000,17516364,32953959,31862220,50295940,58514641
12,Interest Income ,- -,- -,- -,162000,117000,79000,32000,29000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,218000,- -,- -,- -,- -,- -,4412,26611,80184,102084,3625748
14,Depreciation and Amortization,- -,- -,225000,530000,548000,592000,600000,608000,3245161,3316181,5120727,6477357,6005980
15,EBITDA,- -,- -,10288000,-475000,-8440000,-4541000,599000,1635000,-9799458,-3467662,-6652619,-25004729,-30233912
16,EBITDA ratio,- -,- -,0.7092,-0.0750,-5.8167,-0.3928,0.0968,0.1854,-1.8726,-0.1330,-0.3162,-1.3315,-1.6554
17,Operating Income,- -,- -,9999000,-1287000,-9402000,-2593000,-542000,-595000,-12283219,-6871542,-10819852,-31516765,-40250853
18,Operating Income ratio,- -,- -,0.6893,-0.2031,-6.4797,-0.2243,-0.0876,-0.0675,-2.3472,-0.2635,-0.5142,-1.6783,-2.2039
19,Total Other Income Expenses (Gains),- -,- -,-154000,282000,414000,-2540000,541000,1622000,-765812,61088,-1033678,-505435,193888
20,Income Before Tax,- -,- -,9845000,-1005000,-8988000,-5133000,-1000,1027000,-13049031,-6810454,-11853530,-32022200,-40056965
21,Income Before Tax Ratio,- -,- -,0.6787,-0.1586,-6.1943,-0.4440,-0.0002,0.1165,-2.4935,-0.2611,-0.5633,-1.7052,-2.1932
22,Income Tax expense (Gain),- -,- -,1608000,32000,- -,- -,- -,- -,- -,- -,74010,-70990,- -
23,Net Income,- -,- -,8237000,-1037000,-8988000,-5133000,-1000,1027000,-13049031,-6810454,-11927540,-31513180,-39865640
24,Net Income ratio,- -,- -,0.5678,-0.1636,-6.1943,-0.4440,-0.0002,0.1165,-2.4935,-0.2611,-0.5668,-1.6781,-2.1828
25,EPS,- -,- -,7.10,-0.70,-6.40,-3.65,-0.00,0.73,-9.29,-4.85,-0.16,-0.16,-0.18
26,EPS Diluted,- -,- -,7.10,-0.70,-6.40,-3.65,-0.00,0.73,-9.29,-4.85,-0.16,-0.16,-0.18
27,Weighted Average Shares Outstanding,- -,- -,1152747,1405000,1405000,1405000,1405000,1405000,1405000,1405000,72919624,201005995,221984037
28,Weighted Average Shares Outstanding Diluted,- -,- -,1152747,1405000,1405000,1405000,1405000,1405000,1405000,1405000,72919624,201005995,221984037
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,14909000,8750000,6440000,6130000,4170000,2743000,1239000,72379,1192220,3695690,71793
32,Short-Term Investments,- -,- -,- -,720000,1210000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,14909000,9470000,7650000,6130000,4170000,2743000,1239000,72379,1192220,3695690,71793
34,Net Receivables,- -,- -,7743000,9710000,5340000,10670000,12000000,4580000,11005000,23527361,29619980,36669690,3957812
35,Inventory,- -,- -,383000,230000,630000,690000,2140000,166000,90000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,771000,1060000,1770000,2100000,1080000,- -,- -,339701,726310,607180,8019508
37,Total Current Assets,- -,- -,23806000,20470000,15390000,19590000,19390000,7489000,12334000,23939441,31538510,40972560,12049113
38,PP&E,- -,- -,13637000,13480000,13540000,13360000,12890000,11895000,10863000,5044872,898010,1259490,884110
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,7239936,11728600,11728600,11957839
40,Intangible Assets,- -,- -,630000,630000,630000,630000,610000,571000,527000,1154197,52764000,47299120,42716594
41,Intangible Assets,- -,- -,630000,630000,630000,630000,610000,571000,527000,8394133,64492600,59027720,54674433
42,Investments,- -,- -,- -,696000,333000,- -,- -,- -,- -,- -,- -,- -,196798
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1244000,-3000,- -,- -,5739000,- -,204412,150280,16636400,61378420
45,Total Non-Current Assets,- -,- -,14267000,16050000,14500000,13990000,13500000,18205000,11390000,13643417,65540890,76923610,117133761
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,38073000,36520000,29890000,33580000,32890000,25694000,23724000,37582858,97079400,117896170,129182874
48,Accounts Payable,- -,- -,575000,940000,780000,1610000,1870000,2067000,1277000,2932158,758390,4314160,5841511
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5370535,4322106,1714098,40900021
50,Tax Payable,- -,- -,3421000,1542000,1673000,1545000,1273000,1551000,1406000,2192898,2477929,2103740,2221854
