,https://roic.ai/company/CXKJ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,1170168,1681541,2560473,1395161,505080,83851,- -,5587446
2,COGS,- -,- -,- -,489762,853679,1339314,638104,72590,12877,- -,1001777
3,Gross Profit,- -,- -,- -,680406,827862,1221159,757057,432490,70974,- -,4585669
4,Gross Profit Ratio,- -,- -,- -,0.5815,0.4923,0.4769,0.5426,0.8563,0.8464,- -,0.8207
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,359775,16604,14631,- -
6,General and Administrative Exp.,9794,11856,10121,647301,721533,1443324,747468,626826,333373,255152,2342161
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,80040,- -,- -,3741389
8,"Selling, General and Administrative Exp.",9794,11856,10121,647301,721533,1443324,747468,706866,333373,255152,6083550
9,Other Expenses,- -,- -,- -,2014,2161,3007,1390,- -,- -,- -,277427
10,Operating Expenses,9794,11856,10121,649315,723694,1446331,748858,1066641,349977,269783,6360977
11,COGS and Expenses,9794,11856,10121,1139077,1577373,2785645,1386962,1139231,362854,269783,7362754
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1062
13,Interest Expense (Gain),- -,- -,244,13575,5876,21307,35021,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,2014,2161,3007,1390,34129,20069,14643,319185
15,EBITDA,-9794,-11856,-10121,33105,106329,-222165,22485,-514237,-186676,-255140,-1293149
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.0283,0.0632,-0.0868,0.0161,-1.0181,-2.2263,-Infinity,-0.2314
17,Operating Income,- -,- -,-10121,31091,104168,-225172,8200,-634151,-279003,-269783,-1775308
18,Operating Income ratio,- -,- -,-Infinity,0.0266,0.0619,-0.0879,0.0059,-1.2555,-3.3274,-Infinity,-0.3177
19,Total Other Income Expenses (Gains),- -,- -,-244,-13575,-5876,-21307,-22126,85785,72258,3805,574
20,Income Before Tax,-9794,-11856,-10365,17516,98292,-246479,-13926,-548366,-206745,-265978,-1774734
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,0.0150,0.0585,-0.0963,-0.0100,-1.0857,-2.4656,-Infinity,-0.3176
22,Income Tax expense (Gain),- -,- -,- -,1545,1560,800,1890,- -,- -,- -,- -
23,Net Income,-9794,-11856,-10365,15971,96732,-247279,-15816,-548366,-206745,-265978,-1612334
24,Net Income ratio,-Infinity,-Infinity,-Infinity,0.0136,0.0575,-0.0966,-0.0113,-1.0857,-2.4656,-Infinity,-0.2886
25,EPS,-0.00,-0.00,-0.00,0.00,0.01,-0.02,-0.00,-0.04,-0.01,-0.01,-0.04
26,EPS Diluted,-0.00,-0.00,-0.00,0.00,0.01,-0.02,-0.00,-0.04,-0.01,-0.01,-0.04
