,https://roic.ai/company/IPIX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,733438,- -,- -,- -,- -,- -,- -,- -,423000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,733438,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,390587,2000996,1339186,2072624,632805,6344000,10531000,8952000,12783000,11368000,4343000,2792000,7016000
6,General and Administrative Exp.,- -,- -,- -,1040945,1345170,4383188,3564291,1473139,1694000,2425000,3054000,2553000,2575000,2108000,2266000,1999000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1040945,1345170,4383188,3564291,1473139,1694000,2425000,3054000,2553000,2575000,2108000,2266000,1999000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-1439819,877076,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,1431532,3346166,5722374,4197096,2983020,8038000,12956000,12006000,15336000,13943000,6451000,5058000,9015000
11,COGS and Expenses,34122,47161,510193,1431532,3346166,5772374,5722374,4197096,8038000,12956000,12654000,15336000,13943000,6451000,5058000,9015000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1000,4000,4000,2000,1000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,215923,257414,- -,210000,202000,202000,202000,202000,2197000,260000,4857000
14,Depreciation and Amortization,- -,750,- -,- -,- -,- -,25629,616,289000,404000,420000,405000,413000,371000,373000,378000
15,EBITDA,-34122,-46411,-510193,-1412089,-3328267,-5722374,-5655254,-4136828,-7672000,-12552000,-12234000,-14931000,-13530000,-6080000,-6015000,-8637000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.7106,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.2199,-Infinity
17,Operating Income,-34122,-47161,-510193,-1450975,-3364065,-5772374,-4197096,-2983020,-8038000,-12956000,-12654000,-15336000,-13943000,-6451000,-4635000,-9015000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7225,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.9574,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-34356,-69335,-165923,-1741201,-1911382,-209000,-189000,-198000,-200000,-2419000,-2230000,-2013000,-4857000
20,Income Before Tax,-34122,- -,- -,-1485331,-3433400,-5938297,-5938297,-4894402,-8247000,-13145000,-12852000,-15536000,-16362000,-8681000,-6648000,-13872000
21,Income Before Tax Ratio,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-8.0965,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.7163,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-34122,-47161,-510193,-1485331,-3433400,-5938297,-5938297,-4894402,-8247000,-13145000,-12852000,-15536000,-16362000,-8681000,-6648000,-13872000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.0965,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.7163,-Infinity
25,EPS,-0.00,-0.00,-0.01,-0.02,-0.04,-0.06,-0.06,-0.04,-0.10,-0.11,-0.11,-0.12,-0.10,-0.05,-0.03,-0.04
26,EPS Diluted,-0.00,-0.00,-0.01,-0.02,-0.04,-0.06,-0.06,-0.04,-0.10,-0.11,-0.11,-0.12,-0.10,-0.05,-0.03,-0.04
27,Weighted Average Shares Outstanding,9329750,9725400,52366221,91842452,91862596,90300957,90159045,94980552,105044985,115087368,119908145,127285861,144510021,178227405,237298768,386163208
28,Weighted Average Shares Outstanding Diluted,9329750,9725400,52366221,91842452,91862596,90300957,90159045,94980552,105044985,115087368,119908145,127285861,144510021,178227405,237298768,386163208
