,https://roic.ai/company/BPMC,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,11400000,27772000,21426000,44521000,66512000,793735000,180080000
2,COGS,- -,- -,- -,- -,- -,- -,- -,425000,17934000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,793310000,162146000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.9995,0.9004
5,Research and Development Exp.,15928000,31844000,48588000,81131000,144687000,243621000,331450000,326860000,601033000
6,General and Administrative Exp.,5072000,7890000,14456000,19218000,27986000,47928000,96388000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5072000,7890000,14456000,19218000,27986000,47928000,96388000,- -,195293000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,157743000,7801000
10,Operating Expenses,21000000,39734000,63044000,100349000,172673000,291549000,427838000,484603000,804127000
11,COGS and Expenses,21000000,39734000,63044000,100349000,172673000,291549000,427838000,485028000,822061000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),138000,453000,696000,469000,221000,73000,- -,- -,- -
14,Depreciation and Amortization,501000,622000,948000,1582000,1578000,4246000,5259000,6559000,6479000
15,EBITDA,-20273000,-39210000,-51125000,-70444000,-146320000,-232323000,-342435000,319383000,-634605000
16,EBITDA ratio,-Infinity,-Infinity,-4.4846,-2.5365,-6.8291,-5.2183,-5.1485,0.4024,-3.5240
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),88000,-551000,-1125000,82000,3128000,10386000,13632000,4117000,18831000
20,Income Before Tax,-20912000,-40285000,-52769000,-72495000,-148119000,-236642000,-347694000,312824000,-641084000
21,Income Before Tax Ratio,-Infinity,-Infinity,-4.6289,-2.6104,-6.9130,-5.3153,-5.2275,0.3941,-3.5600
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-1058000,3001000
23,Net Income,-20912000,-40285000,-52769000,-72495000,-148119000,-236642000,-347694000,313882000,-644085000
24,Net Income ratio,-Infinity,-Infinity,-4.6289,-2.6104,-6.9130,-5.3153,-5.2275,0.3954,-3.5767
25,EPS,-1.82,-3.07,-3.07,-2.64,-3.92,-5.39,-7.27,5.76,-11.81
26,EPS Diluted,-1.82,-3.07,-3.07,-2.64,-3.92,-5.39,-7.27,5.59,-11.47
27,Weighted Average Shares Outstanding,13083000,13083000,18236000,27492000,37793000,43867000,47829000,54534000,54534000
28,Weighted Average Shares Outstanding Diluted,13083000,13083000,18236000,27492000,37793000,43867000,47829000,56168000,56168000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1597264/000155837016004066/0001558370-16-004066-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837017001547/0001558370-17-001547-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837018000862/0001558370-18-000862-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837019001094/0001558370-19-001094-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837020000784/0001558370-20-000784-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837021001141/0001558370-21-001141-index.htm,https://www.sec.gov/Archives/edgar/data/1597264/000155837022001316/0001558370-22-001316-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1987000,47240000,162707000,52069000,400304000,68064000,113938000,684636000,209948000
32,Short-Term Investments,- -,- -,- -,162090000,273052000,425948000,369616000,187213000,267166000
33,Cash and Short-Term Investments,1987000,47240000,162707000,214159000,673356000,494012000,483554000,871849000,477114000
34,Net Receivables,- -,- -,3414000,3577000,- -,- -,23412000,25309000,37030000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,8581000,21817000
36,Other Current Assets,461000,1034000,4295000,2689000,12149000,5775000,9820000,22020000,18064000
37,Total Current Assets,2448000,48274000,170416000,220425000,685505000,499787000,516786000,927759000,554025000
38,PP&E,1404000,1482000,6661000,6188000,24363000,29627000,111114000,101668000,120862000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,54059000,- -,- -,64406000,677873000,557529000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,283000,169000,1821000,2123000,5869000,10710000,15388000,11093000,19809000
45,Total Non-Current Assets,1687000,1651000,8482000,62370000,30232000,40337000,190908000,790634000,698200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4135000,49925000,178898000,282795000,715737000,540124000,707694000,1718393000,1252225000
48,Accounts Payable,1414000,814000,2455000,2211000,3744000,3298000,4793000,4370000,8333000
49,Short-Term Debt,708000,1704000,3844000,3129000,3232000,1714000,6823000,7935000,8093000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,5898000,11426000,5373000,3600000,6160000,- -,11510000
52,Other Current Liabilities,1031000,4246000,6443000,11746000,30541000,51711000,88706000,118497000,121829000
53,Total Current Liabilities,3153000,6764000,18640000,28512000,42890000,60323000,106482000,130802000,149765000
54,Long-Term Debt,2155000,7338000,4072000,1518000,- -,- -,- -,81669000,103315000
55,Deferred Revenue,- -,- -,7742000,35809000,30000000,42567000,39913000,28599000,25066000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,323000,394000,4465000,3878000,18877000,18225000,96940000,7235000,3344000
58,Total Non-Current Liabilities,2478000,7732000,16279000,41205000,48877000,60792000,136853000,117503000,131725000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,3948000,3370000,16331000,14617000,95949000,89604000,111408000
61,Total Liabilities,5631000,14496000,34919000,69717000,91767000,121115000,243335000,248305000,281490000
62,Preferred Stock,39958000,114811000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,27000,33000,43000,44000,49000,58000,59000
64,Retained Earnings,-41921000,-82206000,-134975000,-207470000,-355589000,-597545000,-945238000,-631356000,-1275441000
65,Other Comprehensive Income/Loss,-924000,-1546000,-2077000,-18000,-269000,-180000,-2535000,-5214000,-4133000
66,Other Total Stockholders Equity,1390000,4368000,281004000,420533000,979785000,1016690000,1412083000,2106600000,2250250000
67,Total Stockholders Equity,-1496000,35429000,143979000,213078000,623970000,419009000,464359000,1470088000,970735000
68,Total Liabilities And Stockholders Equity,4135000,49925000,178898000,282795000,715737000,540124000,707694000,1718393000,1252225000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4135000,49925000,178898000,282795000,715737000,540124000,707694000,1718393000,1252225000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1597264/000155837016004066/0001558370-16-004066-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837017001547/0001558370-17-001547-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837018000862/0001558370-18-000862-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837019001094/0001558370-19-001094-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837020000784/0001558370-20-000784-index.html,https://www.sec.gov/Archives/edgar/data/1597264/000155837021001141/0001558370-21-001141-index.htm,https://www.sec.gov/Archives/edgar/data/1597264/000155837022001316/0001558370-22-001316-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-20912000,-40285000,-52769000,-72495000,-148119000,-236642000,-347694000,313882000,-644085000
74,Depreciation and Amortization,501000,622000,948000,1582000,1578000,4246000,5259000,6559000,6479000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,351000,2326000,5180000,6140000,12523000,30534000,54653000,75526000,91630000
77,Change in Working Capital,1013000,42215000,110266000,40137000,450702000,-203151000,-29160000,386653000,-23680000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-599000,-6387000,-18143000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-6707000,-12561000
80,Accounts Payable,541000,-512000,1391000,4000,1532000,-445000,1448000,-791000,4221000
81,Other Working Capital,-705000,41510000,151776000,191913000,642615000,439464000,410304000,796957000,-4582000
82,Other Non-Cash Items,22000,-40278000,-95301000,123000,-436549000,230004000,38927000,-395585000,271003000
83,Cash Provided by Operating Activities,-19025000,-35400000,-31676000,-24513000,-119865000,-175009000,-278015000,387035000,-298653000
84,CAPEX,-257000,-700000,-4883000,-2354000,-15512000,-12677000,-14013000,-3159000,-261241000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-264467000,-360835000,-801236000,-738387000,-969437000,-655449000
87,Sales/Maturities of Investments,- -,- -,- -,48000000,304000000,652825000,735934000,538347000,690830000
88,Other Investing Activites,- -,- -,-1196000,119000,-3501000,- -,- -,- -,-258152000
89,Cash Used for Investing Activites,-257000,-700000,-6079000,-218702000,-75848000,-161088000,-16466000,-434249000,-225860000
90,Debt Repayment,- -,-750000,-1806000,-3333000,-2583000,-1690000,- -,- -,- -
91,Common Stock Issued,53000,268000,157074000,136053000,547496000,6425000,341038000,582494000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17939000,81835000,-2046000,-143000,-965000,-281000,-400000,35265000,50716000
