,https://roic.ai/company/ABEO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2945000,167000,435000,100000,15000,107000,243000,1147000,1295000,549000,- -,- -,57000,291000,352000,481000,1848000,4404000,2042000,925000,1040000,889000,837000,2998000,- -,10000000,3000000
2,COGS,- -,8314000,580000,- -,- -,- -,- -,107000,277000,239000,- -,- -,- -,- -,- -,140000,1216000,267000,125000,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,-8147000,-145000,100000,- -,107000,243000,1040000,1018000,310000,- -,- -,57000,291000,352000,341000,632000,4137000,1917000,925000,- -,- -,- -,- -,- -,- -,3000000
4,Gross Profit Ratio,- -,-48.7844,-0.3333,1.0000,- -,1.0000,1.0000,0.9067,0.7861,0.5647,- -,- -,1.0000,1.0000,1.0000,0.7089,0.3420,0.9394,0.9388,1.0000,- -,- -,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,1253000,1405000,2433000,1800000,1608000,4007000,4174000,7024000,6096000,5417000,2783000,2053000,2602000,12613000,2657000,3349000,4200000,2010000,884000,333000,4715000,10655000,16989000,38698000,48566000,30139000,34325000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4340000,7112000,4511000,- -,6024000,- -,- -,14320000,13290000,10943000,20106000,20705000,23779000,22795000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4340000,7112000,4511000,- -,6024000,- -,- -,14320000,13290000,10943000,20106000,20705000,23779000,22795000
9,Other Expenses,1351000,2061000,1946000,1700000,1756000,2158000,2377000,2716000,3135000,3972000,6839000,3122000,4355000,253000,259000,238000,4308000,419000,4837000,3723000,551000,825000,741000,2360000,7819000,4586000,- -
10,Operating Expenses,2604000,3466000,4379000,3500000,3364000,6165000,6551000,9740000,9231000,9389000,9622000,5175000,6957000,17206000,10028000,8098000,8508000,8453000,5721000,4056000,19586000,24770000,28673000,61164000,77090000,58504000,57120000
11,COGS and Expenses,2604000,11780000,4959000,3500000,3364000,6165000,6551000,9847000,9508000,9628000,9622000,5175000,6957000,17206000,10028000,8238000,9724000,8720000,5846000,4056000,19586000,24770000,28673000,61164000,77090000,58504000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,29000,2046000,1334000,242000,251000,45000,4026000,2014000,525000,1506000,1208000,1301000,- -
13,Interest Expense (Gain),- -,45000,- -,- -,- -,342000,1170000,1278000,1281000,1385000,2100000,7436000,3514000,478000,539000,607000,963000,608000,279000,582000,6000,6000,8000,11000,400000,4115000,3670000
14,Depreciation and Amortization,15000,123000,162000,200000,285000,476000,627000,686000,898000,1076000,1574000,7058000,2595000,253000,259000,238000,233000,419000,3000,11000,551000,825000,741000,2360000,8677000,5601000,3250000
15,EBITDA,356000,-11294000,-4279000,-3200000,-3023000,-4610000,-4230000,-7420000,-4756000,-7777000,-6180000,2990000,-15808000,-16484000,-16542000,-6692000,-1319000,-9505000,4731000,-26185000,-13969000,-21042000,-26570000,-54300000,-67205000,-74518000,-78016000
16,EBITDA ratio,0.1209,-67.6287,-9.8368,-32.0000,-201.5333,-43.0841,-17.4074,-6.4690,-3.6726,-14.1658,-Infinity,Infinity,-277.3333,-56.6460,-46.9943,-13.9127,-0.7137,-2.1583,2.3168,-28.3081,-13.4317,-23.6693,-31.7443,-18.1121,-Infinity,-7.4518,-26.0053
17,Operating Income,341000,-11613000,-4524000,-3400000,-3349000,-6058000,-6308000,-8700000,-8213000,-9079000,-9622000,-5175000,-6900000,-16915000,-9676000,-7757000,-7876000,-4316000,-3804000,-3131000,-18546000,-23881000,-27836000,-58166000,-77090000,-81420000,-89836000
18,Operating Income ratio,0.1158,-69.5389,-10.4000,-34.0000,-223.2667,-56.6168,-25.9588,-7.5850,-6.3421,-16.5373,-Infinity,-Infinity,-121.0526,-58.1271,-27.4886,-16.1268,-4.2619,-0.9800,-1.8629,-3.3849,-17.8327,-26.8628,-33.2569,-19.4016,-Infinity,-8.1420,-29.9453
19,Total Other Income Expenses (Gains),- -,151000,83000,- -,41000,630000,281000,-684000,1278000,-1159000,-2000000,18599000,-15017000,-300000,-7154000,-1219000,5361000,-6216000,8253000,-23647000,4020000,2008000,517000,1495000,808000,-2814000,4900000
20,Income Before Tax,341000,-11462000,-4441000,- -,-3308000,-5428000,-6027000,-9384000,-6935000,-10238000,-11622000,13424000,-21917000,-17215000,- -,- -,-2515000,-10532000,4449000,-26778000,-14526000,-21873000,-27319000,-56671000,-76282000,-84234000,-84936000
21,Income Before Tax Ratio,0.1158,-68.6347,-10.2092,- -,-220.5333,-50.7290,-24.8025,-8.1813,-5.3552,-18.6485,-Infinity,Infinity,-384.5088,-59.1581,- -,- -,-1.3609,-2.3915,2.1787,-28.9492,-13.9673,-24.6040,-32.6392,-18.9029,-Infinity,-8.4234,-28.3120
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4067000,-173000,-61000,- -,- -,- -,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,341000,-11462000,-4441000,-3400000,-3308000,-5428000,-6027000,-9384000,-6935000,-10238000,-1700000,-12874000,-21856000,-17215000,-17340000,-7537000,-2532000,-10532000,4449000,-26778000,-14526000,-21873000,-27319000,-56671000,-76282000,-84234000,-84936000
24,Net Income ratio,0.1158,-68.6347,-10.2092,-34.0000,-220.5333,-50.7290,-24.8025,-8.1813,-5.3552,-18.6485,-Infinity,-Infinity,-383.4386,-59.1581,-49.2614,-15.6694,-1.3701,-2.3915,2.1787,-28.9492,-13.9673,-24.6040,-32.6392,-18.9029,-Infinity,-8.4234,-28.3120
25,EPS,1502.20,-36619.81,-11874.33,-320.00,-180.00,-122.50,-117.50,-180.00,-130.00,-170.00,-25.00,-182.50,-516.00,-175.50,-81.50,-30.00,-11.00,-26.00,3.00,-15.26,-0.53,-0.64,-0.66,-1.19,-1.51,-0.91,-0.92
26,EPS Diluted,1502.20,-36619.81,-11874.33,-320.00,-180.00,-122.50,-117.50,-180.00,-130.00,-170.00,-25.00,-182.50,-516.00,-175.50,-81.50,-30.00,-11.00,-26.00,3.00,-15.26,-0.53,-0.64,-0.66,-1.19,-1.51,-0.91,-0.92
