,https://roic.ai/company/SSSS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,162328,-15722637,48559045,1619595,19836584,-71551689,19027810,-6700337,35454102,89428164,157779856
2,COGS,1173097,6804109,19039808,10762392,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-1010769,-22526746,29519237,-9142797,- -,- -,- -,- -,- -,1824127000,- -
4,Gross Profit Ratio,-6.2267,1.4328,0.6079,-5.6451,- -,- -,- -,- -,- -,20.3977,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,968058,4111613,4854841,5095261,4921161,5559990,4872318,4534082,8065174,5245311,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",968058,4111613,4854841,5095261,4921161,5559990,4872318,4534082,8065174,5245311,- -
9,Other Expenses,55037,- -,- -,- -,880778,- -,-655371,-5409427,4320797,8845415,- -
10,Operating Expenses,1023095,4111613,4854841,5095261,5801939,5559990,4216947,-875345,12385971,14090726,- -
11,COGS and Expenses,2196192,8397712,20705878,17070096,- -,- -,- -,- -,- -,16338543000,- -
12,Interest Income ,- -,222047,25871,185059,244115,523488,304672,992836,995724,1006510,897772
13,Interest Expense (Gain),- -,- -,1278997,5503843,4961169,4731430,4696819,4545471,2372570,2247817,693526
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73410631,- -
15,EBITDA,-3613664,-19834250,44983201,2028177,18995814,-72380249,19507682,-1279521,25440701,4174624,- -
16,EBITDA ratio,-22.2615,1.2615,0.9264,1.2523,0.9576,1.0116,1.0252,0.1910,0.7176,0.0467,- -
17,Operating Income,-2033864,-8282881,-22034924,-12779891,- -,- -,- -,- -,- -,-14514416000,9347
18,Operating Income ratio,-12.5293,0.5268,-0.4538,-7.8908,- -,- -,- -,- -,- -,-162.3025,0.0001
19,Total Other Income Expenses (Gains),-1579800,-11551369,65739128,9304225,- -,- -,- -,- -,- -,14589753438,- -
20,Income Before Tax,- -,-19834250,43704204,-3475666,14034645,-77111679,14810863,-5824992,23068131,75337438,- -
21,Income Before Tax Ratio,- -,1.2615,0.9000,-2.1460,0.7075,1.0777,0.7784,0.8694,0.6506,0.8424,- -
22,Income Tax expense (Gain),- -,- -,8320561,-1412895,5568488,-2116784,-2757070,-6716735,-885566,- -,- -
23,Net Income,-3613664,-19834250,35383643,-2062771,8466157,-74994895,17567933,891743,23953697,75337438,- -
24,Net Income ratio,-22.2615,1.2615,0.7287,-1.2736,0.4268,1.0481,0.9233,-0.1331,0.6756,0.8424,- -
25,EPS,-1.07,-1.23,1.83,-0.11,0.44,-3.38,0.80,0.04,1.24,4.21,5.69
26,EPS Diluted,-1.07,-1.23,1.78,-0.11,0.44,-3.38,0.80,0.04,1.14,3.56,5.52
27,Weighted Average Shares Outstanding,3377429,16096330,19320100,19320100,19327938,22181003,21924490,20617890,19328414,17910353,25861642
28,Weighted Average Shares Outstanding Diluted,3377429,16096330,20541014,19320100,19327938,22181003,21924490,20617890,23069622,21790898,26758367
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1509470/000114420412014453/0001144204-12-014453-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420413014937/0001144204-13-014937-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1509470/000114420416088256/0001144204-16-088256-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420417015088/0001144204-17-015088-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420418015279/0001144204-18-015279-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828019004418/0001628280-19-004418-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000150947020000003/0001509470-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828021004632/0001628280-21-004632-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000162828022005867/0001628280-22-005867-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,385995,11318525,7219203,3472880,13349877,8332634,59838600,28184163,44861263,45793724,198437078
32,Short-Term Investments,91078194,- -,366248853,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,91464189,11318525,373468056,3472880,13349877,8332634,59838600,28184163,44861263,45793724,198437078
34,Net Receivables,182171,324020,187895,316852,374324,92946,639437,2750252,349933,1019460,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,95446,91098,4291607,3573949,- -,- -,- -,- -,44816051804,-1019460,- -
37,Total Current Assets,91741806,11733643,377947558,7363681,- -,- -,- -,- -,44861263000,45793724,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,241397085,366248853,478282415,383485460,292013636,320582493,298809829,241585578,430779774,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,56436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,56436,241397085,- -,478282415,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,399790643,300964426,381682536,330219554,- -,433081980,462315827
47,Total Assets,91798242,253130728,377947558,485646096,399790643,300964426,381682536,330219554,288564089,478875704,462315827
48,Accounts Payable,206357,204093,1438728,91434100,27661507,27890924,91000591,90445790,48473292,139861344,- -
49,Short-Term Debt,- -,- -,799000,18001000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,35850,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20088637,343834,19408091,21844970,35521573,13431896,17536529,5961100,1369868,-139099032,- -
53,Total Current Liabilities,20294994,547927,21645819,131280070,63183080,41322820,108537120,96406890,49843160,762312,- -
54,Long-Term Debt,- -,- -,68335295,68462353,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
