,https://roic.ai/company/PFTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1327230,1352663,708028,580480,1172567,1472307,2137118,1906517,2472059,2475285,3072947,3082873,2695640,1911451,3106492,2679446,2569499,2538613,3112636,1974799,1949130,2250141,4203556,1526429
2,COGS,956628,1019317,579508,482625,1079571,1746356,2058439,2282450,2525981,2420145,2566572,2831560,2455916,1766434,2355198,2072923,1947484,1805268,2005500,1459308,1463798,1758974,2463208,1307622
3,Gross Profit,370602,333346,128520,97855,92996,-274049,78679,-375933,-53922,55140,506375,251313,239724,145017,751294,606523,622015,733345,1107136,515491,485332,491167,1740348,218807
4,Gross Profit Ratio,0.2792,0.2464,0.1815,0.1686,0.0793,-0.1861,0.0368,-0.1972,-0.0218,0.0223,0.1648,0.0815,0.0889,0.0759,0.2418,0.2264,0.2421,0.2889,0.3557,0.2610,0.2490,0.2183,0.4140,0.1433
5,Research and Development Exp.,- -,183468,152016,71793,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1022475,1121888,630502,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572832,1882337,2128238,2046152,2064474,2050531,2012865,1433347,1579835,1447745,1523613,1431980
7,Selling and Marketing Exp.,1290563,2740188,1059573,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119950,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2313038,3862076,1690075,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572832,1882337,2128238,2046152,2064474,2050531,2012865,1553297,1579835,1447745,1523613,1431980
9,Other Expenses,17323,314723,- -,950302,7518745,4737858,3394060,1649,3253023,2848826,2691986,2136347,- -,- -,- -,- -,- -,- -,- -,113598,- -,- -,- -,- -
