,https://roic.ai/company/MHO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,446100000,491700000,527800000,577200000,614000000,739600000,852400000,935039000,976766000,1033025000,1069563000,1174635000,1347646000,1359293000,1016460000,607659000,569949000,616377000,566424000,761905000,1036782000,1215180000,1418395000,1691327000,1961971000,2286282000,2500290000,3046145000,3745887000
2,COGS,363900000,402000000,430200000,466700000,493000000,586700000,665700000,733944000,755212000,783752000,796726000,875614000,1007523000,1014519000,832596000,685464000,494989000,511408000,467130000,610540000,824508000,958991000,1114663000,1358183000,1561022000,1836704000,2005861000,2361367000,2836972000
3,Gross Profit,82200000,89700000,97600000,110500000,121000000,152900000,186700000,201095000,221554000,249273000,272837000,299021000,340123000,344774000,183864000,-77805000,74960000,104969000,99294000,151365000,212274000,256189000,303732000,333144000,400949000,449578000,494429000,684778000,908915000
4,Gross Profit Ratio,0.1843,0.1824,0.1849,0.1914,0.1971,0.2067,0.2190,0.2151,0.2268,0.2413,0.2551,0.2546,0.2524,0.2536,0.1809,-0.1280,0.1315,0.1703,0.1753,0.1987,0.2047,0.2108,0.2141,0.1970,0.2044,0.1966,0.1977,0.2248,0.2426
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,65200000,72900000,78200000,91400000,101400000,108054000,120344000,126263000,128101000,139382000,164588000,196658000,171020000,77458000,59170000,53958000,52664000,62627000,79494000,88830000,93208000,111600000,126282000,137779000,147954000,177547000,192009000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54219000,43950000,48084000,43534000,56406000,68282000,81148000,95092000,108809000,128327000,142829000,154384000,179535000,198610000
8,"Selling, General and Administrative Exp.",- -,- -,65200000,72900000,78200000,91400000,101400000,108054000,120344000,126263000,128101000,139382000,164588000,196658000,171020000,131677000,103120000,102042000,96198000,119033000,147776000,169978000,188300000,220409000,254609000,280608000,302338000,357082000,390619000
9,Other Expenses,53600000,60600000,1800000,1400000,1600000,1800000,2200000,2123000,- -,- -,- -,- -,- -,- -,- -,- -,941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,53600000,60600000,67000000,74300000,79800000,93200000,103600000,110177000,120344000,126263000,128101000,139382000,164588000,196658000,171020000,131677000,104061000,102042000,96198000,119033000,147776000,169978000,188300000,220409000,254609000,280608000,302338000,357082000,390619000
11,COGS and Expenses,417500000,462600000,497200000,541000000,572800000,679900000,769300000,844121000,875556000,910015000,924827000,1014996000,1172111000,1211177000,1003616000,817141000,599050000,613450000,563328000,729573000,972284000,1128969000,1302963000,1578592000,1815631000,2117312000,2308199000,2718449000,3227591000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11197000,8467000,9415000,15005000,16071000,15938000,13365000,17521000,17598000,18874000,20484000,21375000,9684000,2156000
14,Depreciation and Amortization,1600000,1600000,1800000,1400000,1600000,1800000,2200000,2123000,2009000,2239000,2382000,2448000,4498000,6731000,7993000,7754000,7871000,7756000,7574000,6363000,4973000,5950000,7622000,10204000,10699000,11740000,13238000,15063000,14331000
15,EBITDA,20200000,20800000,18300000,23200000,31000000,48400000,71000000,74687000,89732000,111439000,137481000,153745000,165925000,66850000,-178529000,-196206000,-76651000,-10233000,-11323000,35193000,62246000,89051000,112072000,119587000,149897000,173513000,200638000,334790000,525601000
