,https://roic.ai/company/CABO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,804992000,825707000,814812000,807266000,819625000,960029000,1072295000,1167997000,1325229000,1605836000
2,COGS,346870000,351182000,327974000,310925000,304438000,337040000,370269000,388552000,418704000,455352000
3,Gross Profit,458122000,474525000,486838000,496341000,515187000,622989000,702026000,779445000,906525000,1150484000
4,Gross Profit Ratio,0.5691,0.5747,0.5975,0.6148,0.6286,0.6489,0.6547,0.6673,0.6841,0.7164
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,180777000,184370000,188858000,193964000,184797000,204799000,222216000,245120000,255163000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",180777000,184370000,188858000,193964000,184797000,204799000,222216000,245120000,255163000,347058000
9,Other Expenses,473628000,476891000,462141000,451560000,446621000,518659000,568000000,605239000,265658000,339025000
10,Operating Expenses,654405000,661261000,650999000,645524000,631418000,723458000,790216000,850359000,520821000,686083000
11,COGS and Expenses,654405000,661261000,650999000,645524000,631418000,723458000,790216000,850359000,939525000,1141435000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,16090000,30221000,46864000,60415000,71729000,73607000,113449000
14,Depreciation and Amortization,126758000,125709000,134167000,140635000,142183000,181619000,197731000,216687000,265658000,339025000
15,EBITDA,276969000,290020000,372176000,302145000,335511000,418284000,470130000,522231000,719973000,790063000
16,EBITDA ratio,0.3441,0.3512,0.4568,0.3743,0.4093,0.4357,0.4384,0.4471,0.5433,0.4920
17,Operating Income,150587000,164446000,163813000,161742000,188207000,235997000,267912000,310451000,469350000,456572000
18,Operating Income ratio,0.1871,0.1992,0.2010,0.2004,0.2296,0.2458,0.2498,0.2658,0.3542,0.2843
19,Total Other Income Expenses (Gains),-376000,-135000,74196000,-16322000,-25100000,-46196000,-55928000,-76636000,-90018000,-119451000
20,Income Before Tax,150211000,164311000,238009000,145420000,163107000,189801000,211984000,233815000,379332000,337121000
21,Income Before Tax Ratio,0.1866,0.1990,0.2921,0.1801,0.1990,0.1977,0.1977,0.2002,0.2862,0.2099
22,Income Tax expense (Gain),56300000,59800000,90700000,56387000,64168000,-44227000,47224000,55233000,76317000,45765000
23,Net Income,93911000,104511000,147309000,89033000,98939000,234028000,164760000,178582000,304391000,291824000
24,Net Income ratio,0.1167,0.1266,0.1808,0.1103,0.1207,0.2438,0.1537,0.1529,0.2297,0.1817
25,EPS,16.11,17.93,25.27,15.21,17.23,41.20,28.98,31.45,51.73,48.48
26,EPS Diluted,16.11,17.93,25.27,15.19,17.14,40.72,28.77,31.12,51.27,45.17
27,Weighted Average Shares Outstanding,5830000,5830000,5830000,5853283,5743568,5680073,5684375,5678990,5884780,6019517
28,Weighted Average Shares Outstanding Diluted,5830000,5830000,5830000,5860089,5770960,5747037,5725963,5737856,5937582,6460875
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1632127/000143774916026995/0001437749-16-026995-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774917003513/0001437749-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774918003668/0001437749-18-003668-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774919003504/0001437749-19-003504-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774920003799/0001437749-20-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774921004160/0001437749-21-004160-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774922004364/0001437749-22-004364-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6238000,6410000,119199000,138040000,161752000,264113000,125271000,574909000,388802000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,807781000,- -
33,Cash and Short-Term Investments,- -,6238000,6410000,119199000,138040000,161752000,264113000,125271000,1382690000,388802000
34,Net Receivables,- -,30356000,29729000,34705000,37073000,72472000,40660000,40598000,80013000,80446000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10174000,13982000,12449000,10824000,8160000,13090000,15619000,-789890000,31705000
37,Total Current Assets,- -,46768000,50121000,166353000,185937000,242384000,317863000,181488000,672813000,500953000
38,PP&E,- -,595057000,616230000,640567000,619621000,831892000,847979000,1201271000,1278868000,1869605000
39,Goodwill,- -,85488000,85488000,85488000,84928000,172129000,172129000,429597000,430543000,967913000
40,Intangible Assets,- -,519183000,496892000,496770000,497480000,965745000,953851000,1312381000,1278198000,2861137000
41,Intangible Assets,- -,604671000,582380000,582258000,582408000,1137874000,1125980000,1741978000,1708741000,3829050000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,807781000,727565000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1848000,13309000,19417000,9305000,6179000,11412000,27094000,20135000,26821000
45,Total Non-Current Assets,- -,1201576000,1211919000,1242242000,1211334000,1975945000,1985371000,2970343000,3815525000,6453041000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1248344000,1262040000,1408595000,1397271000,2218329000,2303234000,3151831000,4488338000,6953994000
