,https://roic.ai/company/VBLT,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,13864000,585000,562000,922000
2,COGS,- -,- -,- -,- -,- -,340000,235000,163000,394000
3,Gross Profit,- -,- -,- -,- -,- -,13524000,350000,399000,528000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9755,0.5983,0.7100,0.5727
5,Research and Development Exp.,10572000,13508000,10974000,11198000,12447000,17770000,15940000,15470000,19656000
6,General and Administrative Exp.,1885000,2409000,3771000,3639000,3786000,5797000,5150000,4828000,5355000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,562000,397000,- -,- -
8,"Selling, General and Administrative Exp.",1885000,2409000,3771000,3639000,3786000,6359000,5547000,4828000,5355000
9,Other Expenses,12000,43000,33000,34000,42000,50000,70000,115000,- -
10,Operating Expenses,12469000,15960000,14778000,14871000,16275000,24179000,21557000,20413000,25011000
11,COGS and Expenses,12469000,15960000,14778000,14871000,16275000,24519000,21792000,20576000,25405000
12,Interest Income ,236000,27000,15000,100000,263000,335000,908000,870000,363000
13,Interest Expense (Gain),- -,- -,- -,117000,- -,- -,- -,313000,105000
14,Depreciation and Amortization,197000,169000,135000,122000,130000,156000,1156000,1714000,1194000
15,EBITDA,-12294000,-16004000,-14353000,-14648000,-16167000,-9982000,-19302000,-17430000,-22926000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7200,-32.9949,-31.0142,-24.8655
17,Operating Income,-12469000,-15960000,-14778000,-14871000,-16275000,-10655000,-21207000,20014000,24483000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7685,-36.2513,35.6121,26.5542
19,Total Other Income Expenses (Gains),244000,-1410000,-2629000,-17000,273000,517000,749000,-39471000,-48708000
20,Income Before Tax,-12225000,-17370000,-17407000,-14888000,-16002000,-10138000,-20458000,-19457000,-24225000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7312,-34.9709,-34.6210,-26.2744
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-12225000,-17370000,-17407000,-14888000,-16002000,-10138000,-20458000,-19457000,-24225000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7312,-34.9709,-34.6210,-26.2744
25,EPS,-1.01,-1.31,-3.09,-0.73,-0.64,-0.37,-0.62,-0.54,-0.55
26,EPS Diluted,-1.01,-1.31,-3.09,-0.73,-0.64,-0.37,-0.62,-0.54,-0.55
27,Weighted Average Shares Outstanding,12051911,12051911,5627324,20309596,24970585,27398169,32969094,35881256,43668155
28,Weighted Average Shares Outstanding Diluted,12051911,12051911,5627324,20309596,24970585,27398169,32969094,35881256,43668155
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603207/000119312515104535/0001193125-15-104535-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312516520317/0001193125-16-520317-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312517096449/0001193125-17-096449-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315218003377/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315219004066/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315220004312/form20-f.htm,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,5936000,9377000,36783000,7090000,11585000,6694000,29347000,9436000,13184000
32,Short-Term Investments,8023000,1494000,- -,30056000,33669000,48035000,21135000,27100000,17110000
33,Cash and Short-Term Investments,13959000,10871000,36783000,37146000,45254000,54729000,50482000,36536000,30294000
34,Net Receivables,580000,379000,595000,909000,912000,3347000,521000,629000,322000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,83000,128000,366000,537000,408000,382000,706000,613000,1377000
37,Total Current Assets,14622000,11378000,37744000,38592000,46574000,58458000,51709000,37778000,31993000
38,PP&E,573000,436000,358000,326000,687000,7128000,8921000,10037000,8756000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,29000,13000,36000,320000,13000,103000,48000,806000,957000
45,Total Non-Current Assets,602000,449000,394000,646000,700000,7231000,8969000,10843000,9713000
