,https://roic.ai/company/RBLX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,312773000,488223000,923885000,1919181000
2,COGS,69896000,117227000,239898000,496870000
3,Gross Profit,242877000,370996000,683987000,1422311000
4,Gross Profit Ratio,0.7765,0.7599,0.7403,0.7411
5,Research and Development Exp.,87051000,107095000,201433000,533207000
6,General and Administrative Exp.,211937000,310620000,690307000,1297839000
7,Selling and Marketing Exp.,40542000,44737000,58384000,86363000
8,"Selling, General and Administrative Exp.",252479000,355357000,748691000,1384202000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,339530000,462452000,950124000,1917409000
11,COGS and Expenses,409426000,579679000,1190022000,2414279000
12,Interest Income ,3759000,6546000,1822000,92000
13,Interest Expense (Gain),- -,- -,- -,6998000
14,Depreciation and Amortization,11941000,27664000,43808000,75622000
15,EBITDA,-85232000,-58311000,-216102000,-409351000
16,EBITDA ratio,-0.2725,-0.1194,-0.2339,-0.2133
17,Operating Income,-87552000,-76440000,-266137000,-495098000
18,Operating Income ratio,-0.2799,-0.1566,-0.2881,-0.2580
19,Total Other Income Expenses (Gains),-9621000,-9681000,1790000,-8702000
20,Income Before Tax,-97173000,-86121000,-264347000,-503800000
21,Income Before Tax Ratio,-0.3107,-0.1764,-0.2861,-0.2625
22,Income Tax expense (Gain),3000,9000,-6656000,-320000
23,Net Income,-97176000,-85984000,-253254000,-491651000
24,Net Income ratio,-0.3107,-0.1761,-0.2741,-0.2562
25,EPS,-0.17,-0.13,-0.48,-0.97
26,EPS Diluted,-0.17,-0.13,-0.48,-0.97
27,Weighted Average Shares Outstanding,526227000,526227000,526227000,505858000
28,Weighted Average Shares Outstanding Diluted,526227000,526227000,526227000,505858000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/0001315098-22-000058-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,227647000,301493000,893943000,3004300000
32,Short-Term Investments,56670000,57047000,- -,- -
33,Cash and Short-Term Investments,284317000,358540000,893943000,3004300000
34,Net Receivables,51205000,91255000,246986000,307349000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,85433000,132149000,283202000,438116000
37,Total Current Assets,420955000,581944000,1424131000,3749765000
38,PP&E,94115000,143299000,206415000,492637000
39,Goodwill,- -,- -,59568000,118071000
40,Intangible Assets,508000,2455000,42326000,59666000
41,Intangible Assets,508000,2455000,101894000,177737000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,34771000,45652000,115360000,140457000
45,Total Non-Current Assets,129394000,191406000,423669000,810831000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,550349000,773350000,1847800000,4560596000
48,Accounts Payable,18064000,3422000,12012000,64395000
49,Short-Term Debt,- -,- -,- -,51303000
50,Tax Payable,- -,- -,- -,43286000
51,Deferred Revenue,322559000,465803000,1070230000,1758022000
52,Other Current Liabilities,35144000,67458000,146304000,293372000
53,Total Current Liabilities,375767000,536683000,1228546000,2167092000
54,Long-Term Debt,- -,- -,- -,1182339000
55,Deferred Revenue,113228000,178069000,484699000,616834000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,201247000,213267000,366936000,1408000
58,Total Non-Current Liabilities,314475000,391336000,851635000,1800581000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,245919000
61,Total Liabilities,690242000,928019000,2080181000,3967673000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,16000,17000,20000,58000
64,Retained Earnings,-194772000,-280756000,-492290000,-983941000
65,Other Comprehensive Income/Loss,-19711000,-47368000,-89970000,62000
66,Other Total Stockholders Equity,101278000,190798000,329852000,- -
67,Total Stockholders Equity,-113189000,-137309000,-252388000,584817000
68,Total Liabilities And Stockholders Equity,577053000,790710000,1827793000,4552490000
69,Minority Interest,-26704000,-17360000,20007000,8106000
70,Total Liabilities & Equity,550349000,773350000,1847800000,4560596000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/0001315098-22-000058-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-97176000,-85984000,-253254000,-491651000
74,Depreciation and Amortization,11941000,27664000,43808000,75622000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,36310000,17634000,79158000,341942000
77,Change in Working Capital,137240000,73000,150324000,700335000
78,Accounts Receivable,-5299000,-40092000,-156865000,-61044000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1284000,-113000,4488000,23369000
81,Other Working Capital,45188000,45261000,195585000,647099000
82,Other Non-Cash Items,12723000,139798000,504304000,32861000
83,Cash Provided by Operating Activities,101038000,99185000,524340000,659109000
84,CAPEX,-66072000,-84729000,-113120000,-101129000
85,Acquisitions Net,- -,- -,- -,-45692000
86,Purchases of Investments,-104078000,-89601000,-5991000,- -
87,Sales/Maturities of Investments,87000000,90000000,63000000,- -
88,Other Investing Activites,-508000,- -,-49886000,-7856000
89,Cash Used for Investing Activites,-83150000,-84330000,-97030000,-146821000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,2107000,3112000,15156000,76177000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,149670000,50000000,149816000,1521947000
95,Cash Used/Provided by Financing Activities,151777000,53112000,164972000,1598124000
96,Effect of Forex Changes on Cash,- -,12000,168000,-55000
97,Net Change In Cash,169665000,67979000,592450000,2110357000
98,Cash at the End of Period,233514000,301493000,893943000,3004300000
99,Cash at the Beginning of Period,63849000,233514000,301493000,893943000
100,Free Cash Flow,34966000,14456000,411220000,557980000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/0001315098-22-000058-index.htm
102,false,,,,
