,https://roic.ai/company/FND,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,276358000,335088000,441394000,584588000,784012000,1050759000,1384767000,1709848000,2045456000,2425788000,3433533000
2,COGS,163395000,199900000,270103000,355051000,471390000,621497000,812203000,1007580000,1182442000,1390896000,2011267000
3,Gross Profit,112963000,135188000,171291000,229537000,312622000,429262000,572564000,702268000,863014000,1034892000,1422266000
4,Gross Profit Ratio,0.4088,0.4034,0.3881,0.3926,0.3987,0.4085,0.4135,0.4107,0.4219,0.4266,0.4142
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16352000,21572000,31736000,38984000,49917000,64025000,101146000,131472000,156980000,144715000,199401000
7,Selling and Marketing Exp.,73340000,86025000,107097000,146485000,202637000,271876000,353647000,439495000,546853000,654100000,849440000
8,"Selling, General and Administrative Exp.",89692000,107597000,138833000,185469000,252554000,335901000,454793000,570967000,703833000,798815000,1048841000
9,Other Expenses,2250000,1544000,5196000,7412000,7380000,13732000,5442000,- -,0,21498000,34433000
10,Operating Expenses,91942000,109141000,144029000,192881000,259934000,349633000,460235000,570967000,703833000,820313000,1083274000
11,COGS and Expenses,255337000,309041000,414132000,547932000,731324000,971130000,1272438000,1578547000,1886275000,2211209000,3094541000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7031000,6528000,7684000,8949000,9386000,12803000,13777000,8917000,8801000,8389000,4924000
14,Depreciation and Amortization,4817000,5705000,8007000,13704000,19684000,28604000,38062000,51992000,74001000,91640000,118196000
15,EBITDA,24037000,33173000,33631000,47385000,72076000,95920000,150391000,183293000,233182000,307234000,457188000
16,EBITDA ratio,0.0870,0.0990,0.0762,0.0811,0.0919,0.0913,0.1086,0.1072,0.1140,0.1267,0.1332
17,Operating Income,21021000,27468000,27262000,33681000,52392000,69129000,117771000,131301000,159181000,214579000,338992000
18,Operating Income ratio,0.0761,0.0820,0.0618,0.0576,0.0668,0.0658,0.0850,0.0768,0.0778,0.0885,0.0987
19,Total Other Income Expenses (Gains),-8832000,-6528000,-9322000,-8949000,-9386000,-14616000,-19219000,-8917000,-8801000,-7374000,-4924000
20,Income Before Tax,12189000,20940000,17940000,24732000,43006000,54513000,98552000,122384000,150380000,207205000,334068000
21,Income Before Tax Ratio,0.0441,0.0625,0.0406,0.0423,0.0549,0.0519,0.0712,0.0716,0.0735,0.0854,0.0973
22,Income Tax expense (Gain),4702000,8102000,6857000,9634000,16199000,11474000,-4236000,6197000,-251000,12224000,50838000
23,Net Income,7487000,12838000,11083000,15098000,26807000,43039000,102788000,116187000,150631000,194981000,283230000
24,Net Income ratio,0.0271,0.0383,0.0251,0.0258,0.0342,0.0410,0.0742,0.0680,0.0736,0.0804,0.0825
25,EPS,0.08,0.14,0.12,0.16,0.29,0.48,1.13,1.20,1.51,1.90,2.70
26,EPS Diluted,0.08,0.13,0.11,0.16,0.28,0.45,1.03,1.11,1.44,1.84,2.64
27,Weighted Average Shares Outstanding,92255657,92255657,92255657,92255657,92255657,92255657,90951000,96770000,99435000,102690000,104899000
28,Weighted Average Shares Outstanding Diluted,97254487,97254487,97254487,97254487,97254487,97254487,99660000,104561000,104962000,106142000,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507079/000155837018001485/0001558370-18-001485-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837019000956/0001558370-19-000956-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837020001086/0001558370-20-001086-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000150707921000005/0001507079-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1507079/000150707922000009/0001507079-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,172000,175000,279000,318000,451000,556000,644000,27037000,307772000,139444000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,172000,175000,279000,318000,451000,556000,644000,27037000,307772000,139444000
34,Net Receivables,- -,6057000,11884000,15743000,26224000,34533000,66513000,71851000,72169000,50427000,84970000
35,Inventory,- -,106225000,155596000,201581000,272569000,293702000,427950000,471014000,581865000,654000000,1008151000
36,Other Current Assets,- -,5266000,8079000,3708000,6079000,7529000,8193000,15949000,20415000,28257000,40780000
37,Total Current Assets,- -,117720000,175734000,221311000,305190000,336215000,503212000,559458000,701486000,1040456000,1273345000
38,PP&E,- -,25869000,43985000,72932000,102983000,150471000,220952000,328366000,1278545000,1495684000,2032833000
39,Goodwill,- -,227447000,227447000,227447000,227447000,227447000,227447000,227447000,227447000,227447000,255473000
40,Intangible Assets,- -,110150000,110109000,109753000,109426000,109394000,109362000,109330000,109299000,109269000,151935000
41,Intangible Assets,- -,337597000,337556000,337200000,336873000,336841000,336809000,336777000,336746000,336716000,407408000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,27218000,26838000,18378000,- -,9832000
44,Other Non-Current Assets,- -,2254000,5067000,4055000,3842000,7639000,-20199000,-17348000,-10846000,7569000,7277000
45,Total Non-Current Assets,- -,365720000,386608000,414187000,443698000,494951000,564780000,674633000,1622823000,1839969000,2457350000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,483440000,562342000,635498000,748888000,831166000,1067992000,1234091000,2324309000,2880425000,3730695000
48,Accounts Payable,- -,47830000,59087000,106867000,147321000,158466000,258730000,313503000,368459000,417898000,661883000
49,Short-Term Debt,- -,9010000,1467000,1667000,1267000,3500000,3500000,3500000,74592000,96149000,106705000
50,Tax Payable,- -,1382000,- -,2321000,- -,5787000,- -,12046000,22632000,56564000,45379000
51,Deferred Revenue,- -,4463000,5125000,7148000,12145000,14456000,22523000,5244000,6683000,10115000,14492000
52,Other Current Liabilities,- -,13679000,16211000,28440000,35841000,67292000,74547000,82038000,102807000,174674000,248935000
53,Total Current Liabilities,- -,74982000,81890000,144122000,196574000,243714000,359300000,404285000,552541000,698836000,1032015000
54,Long-Term Debt,- -,81668000,158200000,150753000,176323000,387243000,185562000,141834000,142606000,207157000,1316752000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,25570000,36980000,- -,- -,- -
56,Deferred Tax Liabilities,- -,37328000,39408000,33232000,33724000,28265000,27218000,26838000,18378000,27990000,40958000
57,Other Non-Current Liabilities,- -,14276000,18712000,25155000,29902000,37661000,27482000,39845000,846448000,949054000,17771000
58,Total Non-Current Liabilities,- -,133272000,216320000,209140000,239949000,453169000,265832000,245497000,1007432000,1184201000,1375481000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,135000,- -,- -,- -,- -,- -,- -,918861000,1035627000,1225592000
61,Total Liabilities,- -,208254000,298210000,353262000,436523000,696883000,625132000,649782000,1559973000,1883037000,2407496000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,83000,96000,98000,101000,104000,106000
64,Retained Earnings,- -,16189000,6189000,21287000,48094000,16754000,119550000,243563000,394015000,588996000,872226000
65,Other Comprehensive Income/Loss,- -,- -,-157000,-143000,-100000,176000,-205000,186000,-193000,164000,535000
66,Other Total Stockholders Equity,- -,268518000,274682000,289292000,310675000,117270000,323419000,340462000,370413000,408124000,450332000
67,Total Stockholders Equity,- -,275186000,264132000,282236000,312365000,134283000,442860000,584309000,764336000,997388000,1323199000
68,Total Liabilities And Stockholders Equity,- -,483440000,562342000,635498000,748888000,831166000,1067992000,1234091000,2324309000,2880425000,3730695000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,483440000,562342000,635498000,748888000,831166000,1067992000,1234091000,2324309000,2880425000,3730695000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507079/000155837018001485/0001558370-18-001485-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837019000956/0001558370-19-000956-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837020001086/0001558370-20-001086-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000150707921000005/0001507079-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1507079/000150707922000009/0001507079-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,7487000,12838000,11083000,15098000,26807000,43039000,102788000,116187000,150631000,194981000,283230000
74,Depreciation and Amortization,4817000,5705000,8007000,13704000,19684000,28604000,38062000,51992000,74001000,91640000,118196000
75,Deferred Income Tax,-279000,-3627000,392000,-1426000,464000,-5536000,-557000,-968000,-10584000,9614000,3042000
76,Stock Based Compensation,740000,978000,1869000,2323000,3258000,3229000,4959000,6514000,8711000,16115000,20528000
77,Change in Working Capital,-6387000,43690000,51106000,-16655000,31427000,-16115000,51411000,11261000,-6228000,192675000,-124449000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-18358000,-22184000,-49371000,-45985000,-70988000,-21133000,-134248000,-53557000,-110851000,-72135000,-349678000
80,Accounts Payable,10885000,14439000,11257000,47780000,40454000,11145000,100264000,54773000,54956000,49439000,232761000
81,Other Working Capital,-952000,42738000,93844000,77189000,108616000,92501000,143912000,155173000,148945000,341620000,-24448000
82,Other Non-Cash Items,1569000,-36248000,-87885000,30550000,-61260000,36235000,-87456000,638000,-11873000,-98861000,795000
83,Cash Provided by Operating Activities,7947000,23336000,-15428000,43594000,20380000,89456000,109207000,185624000,204658000,406164000,301342000
84,CAPEX,-9561000,-10709000,-25056000,-39069000,-45037000,-74648000,-102253000,-151397000,-196008000,-212448000,-407671000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63567000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-314000,- -,16000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-9561000,-10709000,-25056000,-39069000,-45021000,-74648000,-102253000,-151397000,-196008000,-212448000,-471238000
90,Debt Repayment,-72700000,-19777000,-101303000,-124867000,-179567000,-313263000,-443200000,-261550000,-103600000,-277697000,-92171000
91,Common Stock Issued,- -,- -,1116000,- -,- -,- -,192336000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-25000000,- -,- -,-225000000,- -,- -,- -,- -,- -
94,Other Financing Activites,76201000,4000000,165674000,120446000,204247000,523588000,244015000,227411000,121343000,364716000,93739000
95,Cash Used/Provided by Financing Activities,3501000,-15777000,40487000,-4421000,24680000,-14675000,-6849000,-34139000,17743000,87019000,1568000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1887000,-3150000,3000,104000,39000,133000,105000,88000,26393000,280735000,-168328000
98,Cash at the End of Period,3322000,172000,175000,279000,318000,451000,556000,644000,27037000,307772000,139444000
99,Cash at the Beginning of Period,1435000,3322000,172000,175000,279000,318000,451000,556000,644000,27037000,307772000
100,Free Cash Flow,-1614000,12627000,-40484000,4525000,-24657000,14808000,6954000,34227000,8650000,193716000,-106329000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507079/000155837018001485/0001558370-18-001485-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837019000956/0001558370-19-000956-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000155837020001086/0001558370-20-001086-index.html,https://www.sec.gov/Archives/edgar/data/1507079/000150707921000005/0001507079-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1507079/000150707922000009/0001507079-22-000009-index.htm
102,false,,,,,,,,,,,
