,https://roic.ai/company/IR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,2570005000,2126900000,1939436000,2375400000,2689800000,2451900000,4910200000,5152400000
2,COGS,1633224000,1347800000,1222705000,1477500000,1677300000,1540200000,3296800000,3163900000
3,Gross Profit,936781000,779100000,716731000,897900000,1012500000,911700000,1613400000,1988500000
4,Gross Profit Ratio,0.3645,0.3663,0.3696,0.3780,0.3764,0.3718,0.3286,0.3859
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,194200000,-2300000,- -,- -,- -
7,Selling and Marketing Exp.,476000000,427000000,414339000,446000000,434000000,436000000,894800000,1028000000
8,"Selling, General and Administrative Exp.",476000000,427000000,414339000,640200000,431700000,436400000,894800000,1028000000
9,Other Expenses,129640000,130300000,145765000,132800000,127800000,126200000,401900000,338100000
10,Operating Expenses,605640000,557300000,560104000,773000000,559500000,562600000,1296700000,1366100000
11,COGS and Expenses,2238864000,1905100000,1782809000,2351200000,2247900000,2176800000,4593500000,4530000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),164376000,162900000,170338000,215800000,220700000,-88000000,111100000,87700000
14,Depreciation and Amortization,160350000,163000000,172725000,173800000,180400000,178100000,500900000,422100000
15,EBITDA,212699000,-40000000,274583000,488200000,951800000,281000000,591700000,1050500000
16,EBITDA ratio,0.0828,-0.0188,0.1416,0.2055,0.3539,0.1146,0.1205,0.2039
17,Operating Income,48233000,-205400000,104344000,108700000,443000000,275300000,85700000,565700000
18,Operating Income ratio,0.0188,-0.0966,0.0538,0.0458,0.1647,0.1123,0.0175,0.1098
19,Total Other Income Expenses (Gains),-161162000,-161300000,-167494000,-221400000,-93500000,-84400000,-105100000,-52700000
20,Income Before Tax,-112929000,-366700000,-63150000,-112700000,349500000,190900000,-19400000,513000000
21,Income Before Tax Ratio,-0.0439,-0.1724,-0.0326,-0.0474,0.1299,0.0779,-0.0040,0.0996
22,Income Tax expense (Gain),22996000,-14700000,-31860000,80200000,281300000,31800000,13000000,-21800000
23,Net Income,-135023000,-351200000,-36620000,18400000,269400000,159100000,-33300000,562500000
24,Net Income ratio,-0.0525,-0.1651,-0.0189,0.0077,0.1002,0.0649,-0.0068,0.1092
25,EPS,-0.71,-1.85,-0.19,0.10,1.34,0.78,-0.09,1.37
26,EPS Diluted,-0.71,-1.85,-0.19,0.10,1.29,0.76,-0.09,1.35
27,Weighted Average Shares Outstanding,189732248,189732248,189732248,184000000,201044776,203500000,382800000,412300000
28,Weighted Average Shares Outstanding Diluted,189732248,189732248,189732248,184000000,208837209,208900000,382800000,418500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1699150/000114036118008833/0001140361-18-008833-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036119004014/0001140361-19-004014-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036120004146/0001140361-20-004146-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000162828021003454/0001628280-21-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1699150/000162828022003991/0001628280-22-003991-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,228322000,255803000,393300000,221200000,505500000,1750900000,2109600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,228322000,255803000,393300000,221200000,505500000,1750900000,2109600000
34,Net Receivables,- -,403250000,441578000,536300000,525400000,459100000,966600000,948600000
35,Inventory,- -,474950000,443949000,494500000,523900000,502500000,943600000,854200000
36,Other Current Assets,- -,50836000,47183000,39500000,60700000,76800000,201000000,202500000
37,Total Current Assets,- -,1157358000,1188513000,1463600000,1331200000,1543900000,3862100000,4114900000
38,PP&E,- -,340765000,358391000,363200000,356600000,380400000,797300000,648600000
39,Goodwill,- -,1191005000,1154652000,1227600000,1289500000,1287700000,6303600000,5981600000
40,Intangible Assets,- -,1644179000,1469922000,1431200000,1368400000,1255000000,4732600000,3912700000
41,Intangible Assets,- -,2835184000,2624574000,2658800000,2657900000,2542700000,11036200000,9894300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,9438000,1376000,237500000,265500000,251000000,16100000,28000000
44,Other Non-Current Assets,- -,119301000,143094000,-101900000,-124100000,-89600000,346900000,468700000
45,Total Non-Current Assets,- -,3304688000,3127435000,3157600000,3155900000,3084500000,12196500000,11039600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4462046000,4315948000,4621200000,4487100000,4628400000,16058600000,15154500000
48,Accounts Payable,- -,156868000,214856000,269700000,340000000,322900000,671100000,670500000
49,Short-Term Debt,- -,25388000,24465000,20900000,7900000,24700000,97800000,73700000
50,Tax Payable,- -,29098000,37117000,34500000,24300000,22500000,118700000,41600000
51,Deferred Revenue,- -,58005000,42999000,237000000,265000000,251000000,172800000,242100000
52,Other Current Liabilities,- -,191018000,215529000,34200000,-16500000,-24000000,556900000,481400000
53,Total Current Liabilities,- -,431279000,497849000,561800000,596400000,574600000,1498600000,1467700000
54,Long-Term Debt,- -,2769459000,2753794000,2019300000,1664200000,1603800000,3859100000,3401800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,578958000,487632000,501200000,331400000,- -,875700000,708600000
57,Other Non-Current Liabilities,- -,276815000,304915000,62100000,219100000,580100000,635700000,505200000
58,Total Non-Current Liabilities,- -,3625232000,3546341000,2582600000,2214700000,2183900000,5370500000,4615600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,17100000,57400000,34900000
61,Total Liabilities,- -,4056511000,4044190000,3144400000,2811100000,2758500000,6869100000,6083300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
