,https://roic.ai/company/JHX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,526300000,606900000,803700000,981000000,1210000000,1488000000,1542000000,1468000000,1202000000,1124000000,1167000000,1237000000,1321000000,- -,1656000000,1728000000,1728000000,1920000000,2506000000,2606000000,2908700000
2,COGS,- -,401600000,501900000,623000000,784000000,937000000,969000000,938000000,813000000,708000000,775000000,830000000,902000000,- -,1078000000,1096000000,1096000000,1246000000,1675000000,1673000000,1857000000
3,Gross Profit,- -,205300000,301800000,358000000,426000000,551000000,573000000,530000000,389000000,416000000,392000000,407000000,419000000,- -,578000000,632000000,632000000,674000000,831000000,933000000,1051700000
4,Gross Profit Ratio,- -,0.3383,0.3755,0.3649,0.3521,0.3703,0.3716,0.3610,0.3236,0.3701,0.3359,0.3290,0.3172,- -,0.3490,0.3657,0.3657,0.3510,0.3316,0.3580,0.3616
5,Research and Development Exp.,- -,14100000,18100000,-22000000,-21000000,-28000000,-25000000,-27000000,-23000000,-27000000,-28000000,-30000000,-37000000,- -,-31000000,-29000000,-29000000,-30000000,-37000000,-32000000,34300000
6,General and Administrative Exp.,- -,- -,- -,-162000000,-174000000,-209000000,-214000000,-228000000,-208000000,-185000000,-173000000,-191000000,-218000000,- -,-245000000,-254000000,-254000000,-291000000,-403000000,-415000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,-162000000,-174000000,-209000000,-214000000,-228000000,-208000000,-185000000,-173000000,-191000000,-218000000,- -,-245000000,-254000000,-254000000,-291000000,-403000000,-415000000,- -
9,Other Expenses,485800000,116200000,153100000,370700000,425200000,352900000,898600000,821600000,446200000,649100000,488200000,442400000,510800000,257500000,553200000,566700000,604900000,665600000,881500000,895600000,389600000
10,Operating Expenses,485800000,130300000,171200000,186700000,230200000,115900000,659600000,566600000,215200000,437100000,287200000,221400000,255800000,257500000,277200000,283700000,321900000,344600000,441500000,448600000,423900000
11,COGS and Expenses,485800000,531900000,673100000,621000000,778000000,700000000,730000000,683000000,582000000,496000000,574000000,609000000,647000000,- -,802000000,813000000,813000000,925000000,1235000000,1226000000,2280900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,8200000,3700000,4600000,3800000,7900000,3400000,2300000,1000000,1000000,3400000,4100000,3100000,700000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,11200000,7700000,9000000,11200000,5500000,4500000,9800000,26600000,28500000,32900000,54200000,57500000,48500000
14,Depreciation and Amortization,20600000,39900000,28000000,36000000,36000000,45000000,50000000,56000000,56000000,61000000,62000000,65000000,61000000,61000000,70000000,79000000,83000000,83000000,92000000,119000000,135000000
15,EBITDA,58600000,73100000,225500000,125000000,101000000,-390000000,444000000,21000000,184200000,50700000,167000000,1133200000,122500000,61000000,339800000,263600000,269500000,482900000,446200000,464500000,595500000
16,EBITDA ratio,0.1113,0.1204,0.2806,0.1274,0.0835,-0.2621,0.2879,0.0143,0.1532,0.0451,0.1431,0.9161,0.0927,Infinity,0.2052,0.1525,0.1560,0.2515,0.1781,0.1782,0.2047
17,Operating Income,40500000,46900000,131600000,172200000,196200000,434900000,-86600000,-36600000,173600000,-21000000,104700000,155500000,29500000,53100000,335000000,354000000,393200000,229200000,351600000,342500000,472800000
18,Operating Income ratio,0.0770,0.0773,0.1637,0.1755,0.1621,0.2923,-0.0562,-0.0249,0.1444,-0.0187,0.0897,0.1257,0.0223,Infinity,0.2023,0.2049,0.2275,0.1194,0.1403,0.1314,0.1625
19,Total Other Income Expenses (Gains),-11600000,-16400000,-19200000,-7200000,-7200000,-869900000,-6400000,1600000,-18600000,3000000,-8700000,-4500000,3500000,- -,-13000000,-24000000,-63200000,137800000,-51600000,-54500000,-60800000
20,Income Before Tax,28900000,30500000,112400000,165000000,189000000,-435000000,-93000000,-35000000,155000000,-18000000,96000000,151000000,33000000,- -,322000000,330000000,330000000,367000000,300000000,288000000,412000000
21,Income Before Tax Ratio,0.0549,0.0503,0.1399,0.1682,0.1562,-0.2923,-0.0603,-0.0238,0.1290,-0.0160,0.0823,0.1221,0.0250,- -,0.1944,0.1910,0.1910,0.1911,0.1197,0.1105,0.1416
22,Income Tax expense (Gain),-600000,3900000,27000000,-40000000,-61000000,-71000000,243000000,-36000000,-19000000,-66000000,-443000000,453000000,11000000,- -,-31000000,-86000000,-86000000,-90000000,-71000000,-46000000,149200000
23,Net Income,38600000,29300000,170500000,129000000,126000000,-364000000,151000000,1000000,136000000,48000000,539000000,604000000,45000000,- -,291000000,244000000,244000000,457000000,371000000,334000000,262800000
24,Net Income ratio,0.0733,0.0483,0.2121,0.1315,0.1041,-0.2446,0.0979,0.0007,0.1131,0.0427,0.4619,0.4883,0.0341,- -,0.1757,0.1412,0.1412,0.2380,0.1480,0.1282,0.0903
25,EPS,0.09,0.07,0.37,0.28,0.28,-1.10,0.33,-0.16,0.32,-0.20,-0.80,1.39,0.10,0.22,0.65,0.55,0.62,0.33,0.52,0.55,0.59
26,EPS Diluted,0.09,0.07,0.37,0.28,0.28,-1.10,0.33,-0.16,0.31,-0.20,-0.80,1.38,0.10,0.22,0.65,0.55,0.62,0.33,0.52,0.54,0.59
27,Weighted Average Shares Outstanding,409600000,438400000,456700000,458100000,458900000,461700000,464600000,455000000,432300000,432700000,436386587,436200000,439200000,442600000,445000000,445300000,442700000,441200000,441900000,442600000,443700000
28,Weighted Average Shares Outstanding Diluted,409600000,440400000,459400000,461400000,461000000,461700000,466400000,455000000,434500000,432700000,436386587,437900000,440600000,444600000,446400000,447200000,443900000,442300000,443000000,444100000,445400000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159152/000095013704010297/0000950137-04-010297-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256905000484/0000892569-05-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095013706010539/0000950137-06-010539-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256907000916/0000892569-07-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256908000975/0000892569-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095012309017360/0000950123-09-017360-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012310062873/0000950123-10-062873-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012311062797/0000950123-11-062797-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312512292232/0001193125-12-292232-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000119312513274942/0001193125-13-274942-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312514251077/0001193125-14-251077-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312515195809/0001193125-15-195809-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312516595132/0001193125-16-595132-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312517174339/0001193125-17-174339-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915218000030/0001159152-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915219000045/0001159152-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915220000036/0001159152-20-000036-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,55000000,72000000,113000000,315000000,34000000,35000000,42000000,19000000,18000000,265000000,153000000,167000000,67000000,107000000,78000000,78000000,281000000,78000000,208500000
32,Short-Term Investments,- -,- -,6000000,3000000,- -,- -,- -,77000000,52000000,13000000,5000000,6000000,7000000,- -,- -,- -,- -,- -,38000000,17000000,- -
33,Cash and Short-Term Investments,- -,- -,61000000,75000000,113000000,315000000,34000000,112000000,94000000,32000000,23000000,271000000,160000000,167000000,67000000,107000000,78000000,78000000,319000000,95000000,208500000
34,Net Receivables,- -,- -,91000000,118000000,127000000,153000000,163000000,131000000,111000000,155000000,138000000,137000000,143000000,139000000,133000000,173000000,199000000,199000000,202000000,254000000,339800000
35,Inventory,- -,- -,75000000,103000000,99000000,124000000,147000000,179000000,128000000,149000000,161000000,189000000,172000000,190000000,218000000,193000000,202000000,202000000,255000000,317000000,218300000
36,Other Current Assets,- -,- -,44000000,69000000,39000000,64000000,232000000,110000000,131000000,128000000,136000000,278000000,216000000,157000000,106000000,62000000,153000000,153000000,66000000,88000000,177000000
37,Total Current Assets,- -,- -,271000000,365000000,378000000,656000000,576000000,532000000,464000000,464000000,458000000,875000000,691000000,653000000,524000000,535000000,632000000,632000000,842000000,754000000,943600000
38,PP&E,- -,- -,521000000,567000000,685000000,775000000,827000000,756000000,700000000,710000000,707000000,665000000,658000000,711000000,880000000,867000000,879000000,879000000,992000000,1388000000,1421400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,201000000,209300000
40,Intangible Assets,- -,- -,3000000,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,174000000,173900000
41,Intangible Assets,- -,- -,3000000,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,375000000,383200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274200000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66600000
45,Total Non-Current Assets,- -,- -,524000000,570000000,688000000,775000000,827000000,756000000,700000000,710000000,707000000,665000000,658000000,711000000,880000000,867000000,879000000,879000000,1008000000,1763000000,3145400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,795000000,935000000,1066000000,1431000000,1403000000,1288000000,1164000000,1174000000,1165000000,1540000000,1349000000,1364000000,1404000000,1402000000,1511000000,1511000000,1850000000,2517000000,4089000000
48,Accounts Payable,- -,- -,75000000,78000000,94000000,117000000,100000000,107000000,89000000,100000000,106000000,92000000,98000000,142000000,149000000,127000000,173000000,173000000,193000000,255000000,174000000
49,Short-Term Debt,- -,- -,8800000,28400000,37600000,302700000,83000000,90000000,93300000,95000000,- -,30900000,- -,47000000,13600000,50700000,52400000,- -,- -,14800000,8800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1400000,34900000,3900000,81700000,6000000,5400000,1800000,4800000,1900000,3200000,13400000,8900000,6600000
51,Deferred Revenue,- -,- -,- -,65000000,77000000,30000000,27000000,8000000,32000000,24000000,21000000,15000000,24000000,21000000,17000000,25000000,26000000,26000000,29000000,1092000000,- -
52,Other Current Liabilities,- -,- -,52200000,-2400000,-10600000,56300000,107000000,144000000,100700000,195000000,195000000,265100000,195000000,327000000,197400000,196300000,176600000,229000000,172000000,-878800000,718300000
53,Total Current Liabilities,- -,- -,136000000,169000000,198000000,506000000,317000000,349000000,315000000,414000000,322000000,403000000,317000000,537000000,377000000,399000000,428000000,428000000,394000000,483000000,901100000
54,Long-Term Debt,- -,- -,165000000,17000000,25000000,121000000,105000000,174000000,230000000,95000000,59000000,30000000,- -,47000000,397000000,512000000,564000000,564000000,884000000,1380000000,858600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1182200000
58,Total Non-Current Liabilities,- -,- -,165000000,17000000,25000000,121000000,105000000,174000000,230000000,95000000,59000000,30000000,- -,47000000,397000000,512000000,564000000,564000000,884000000,1380000000,2127100000
59,Other Liabilities,- -,- -,421000000,314000000,291000000,965000000,1657000000,2207000000,1813000000,1977000000,2152000000,1810000000,1772000000,1815000000,2267000000,2378000000,2360000000,2360000000,3062000000,3955000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57700000,64000000
61,Total Liabilities,- -,- -,392000000,466000000,464000000,1350000000,1869000000,2382000000,1898000000,2296000000,2415000000,2183000000,2089000000,2305000000,2247000000,2265000000,2224000000,2224000000,2572000000,3058000000,3028200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,269000000,245000000,245000000,253000000,251000000,219000000,219000000,221000000,222000000,224000000,227000000,230000000,231000000,231000000,229000000,229000000,229000000,230000000,231400000
64,Retained Earnings,- -,- -,44000000,151000000,264000000,-288000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000000,611400000
65,Other Comprehensive Income/Loss,- -,- -,-50700000,-25600000,-24800000,-28800000,5400000,16900000,2200000,59200000,55200000,49400000,47400000,33100000,-400000,800000,-2200000,-1300000,-30300000,-62100000,-6600000
66,Other Total Stockholders Equity,- -,- -,172400000,134300000,140500000,158700000,2300000,-438500000,-329900000,-398100000,-731700000,-147000000,-256200000,-462100000,-433200000,-457000000,-439000000,-449200000,775700000,290400000,224600000
67,Total Stockholders Equity,- -,- -,434700000,504700000,624700000,94900000,258700000,-202600000,-108700000,-117900000,-454500000,126400000,18200000,-199000000,-202600000,-225200000,-212200000,-221500000,974400000,1035300000,1060800000
