,https://roic.ai/company/ROG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125300000,128800000,145300000,162500000,174900000,190300000,182400000,172400000,123200000,- -,140300000,141500000,189700000,- -,216600000,248215000,216000000,219400000,243300000,- -,365000000,454562000,431400000,365362000,291821000,379188000,553150000,498761000,537482000,610911000,641443000,656314000,821043000,879091000,898260000,802583000,932886000
2,COGS,91500000,90800000,101100000,117900000,126700000,139400000,134000000,129900000,82600000,- -,90800000,97300000,133700000,- -,158500000,165710000,149200000,150200000,164800000,- -,251800000,311661000,315700000,251399000,212546000,242487000,374070000,340015000,349782000,376972000,406081000,406829000,502468000,568308000,583968000,510763000,583747000
3,Gross Profit,33800000,38000000,44200000,44600000,48200000,50900000,48400000,42500000,40600000,- -,49500000,44200000,56000000,- -,58100000,82505000,66800000,69200000,78500000,- -,113200000,142901000,115700000,113963000,79275000,136701000,179080000,158746000,187700000,233939000,235362000,249485000,318575000,310783000,314292000,291820000,349139000
4,Gross Profit Ratio,0.2698,0.2950,0.3042,0.2745,0.2756,0.2675,0.2654,0.2465,0.3295,- -,0.3528,0.3124,0.2952,- -,0.2682,0.3324,0.3093,0.3154,0.3226,- -,0.3101,0.3144,0.2682,0.3119,0.2717,0.3605,0.3237,0.3183,0.3492,0.3829,0.3669,0.3801,0.3880,0.3535,0.3499,0.3636,0.3743
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,9600000,- -,10400000,12493000,12600000,13600000,13700000,- -,20500000,24364000,24700000,21885000,17395000,19789000,21617000,19311000,21646000,22878000,27644000,28582000,29547000,33075000,31685000,29320000,29904000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,21300000,26100000,- -,28100000,40529000,39200000,39300000,43300000,- -,58400000,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182283000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27700000,27100000,30100000,32300000,32600000,42100000,37700000,56900000,25500000,- -,30800000,30500000,26100000,- -,28100000,40529000,39247000,39335000,43304000,- -,58410000,63006000,73200000,82215000,68549000,89554000,104219000,99689000,106398000,125244000,131463000,136317000,160011000,164046000,168682000,182283000,193153000
9,Other Expenses,5900000,7300000,8600000,9600000,10600000,11200000,11700000,10900000,6700000,- -,5700000,-9300000,-100000,- -,-100000,- -,1953000,2165000,-4000,- -,-10000,11272000,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2956000,1907000,-145000,- -
10,Operating Expenses,33600000,34400000,38700000,41900000,43200000,53300000,49400000,67800000,32200000,- -,36500000,30400000,35600000,- -,38400000,53022000,53800000,55100000,57000000,- -,78900000,98642000,101400000,104100000,85944000,109343000,125836000,119000000,128044000,148122000,159107000,164899000,189558000,200077000,202274000,211458000,223057000
11,COGS and Expenses,125100000,125200000,139800000,159800000,169900000,192700000,183400000,197700000,114800000,- -,127300000,127700000,169300000,- -,196900000,218732000,203000000,205300000,221800000,- -,330700000,410303000,417100000,355499000,298490000,351830000,499906000,459015000,477826000,525094000,565188000,571728000,692026000,768385000,786242000,722221000,806804000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1610000,939000,541000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7927000,7481000,1296000
14,Depreciation and Amortization,5900000,7300000,8600000,9600000,10600000,11200000,11700000,10900000,6700000,- -,5700000,5800000,6600000,- -,8400000,12507000,13712000,13571000,13615000,- -,18068000,19529000,25718000,18397000,17961000,16111000,26308000,27130000,26351000,26268000,34054000,37847000,44099000,50073000,49162000,71425000,43284000
15,EBITDA,5000000,9900000,13500000,11000000,12800000,7600000,8300000,-23300000,13400000,- -,21100000,23400000,28600000,- -,27600000,50141000,34612000,38371000,48715000,- -,64868000,77860000,51135000,48401000,-2188000,56297000,74645000,49331000,75338000,106678000,100227000,120127000,177024000,160662000,112215000,147440000,170860000
16,EBITDA ratio,0.0399,0.0769,0.0929,0.0677,0.0732,0.0399,0.0455,-0.1352,0.1088,- -,0.1504,0.1654,0.1508,- -,0.1274,0.2020,0.1602,0.1749,0.2002,- -,0.1777,0.1713,0.1185,0.1325,-0.0075,0.1485,0.1349,0.0989,0.1402,0.1746,0.1563,0.1830,0.2156,0.1828,0.1249,0.1837,0.1832
17,Operating Income,200000,3600000,5500000,2700000,5000000,-2400000,-1000000,-25300000,8400000,- -,13000000,13700000,20400000,- -,19600000,29483000,13046000,14174000,21571000,- -,34291000,44259000,14256000,9863000,-29572000,27358000,52803000,25664000,49280000,80427000,76255000,83852000,130779000,112711000,110481000,67334000,117182000
18,Operating Income ratio,0.0016,0.0280,0.0379,0.0166,0.0286,-0.0126,-0.0055,-0.1468,0.0682,- -,0.0927,0.0968,0.1075,- -,0.0905,0.1188,0.0604,0.0646,0.0887,- -,0.0939,0.0974,0.0330,0.0270,-0.1013,0.0721,0.0955,0.0515,0.0917,0.1317,0.1189,0.1278,0.1593,0.1282,0.1230,0.0839,0.1256
19,Total Other Income Expenses (Gains),-1100000,-1000000,-600000,-1300000,-2800000,-1200000,-2400000,-2700000,1000000,- -,2400000,4000000,1600000,- -,-500000,8151000,7954000,10626000,13429000,- -,12509000,14072000,10944000,15243000,9423000,12828000,2285000,-3014000,-395000,-17000,-10082000,-1572000,2146000,-2122000,-55355000,1200000,9098000
20,Income Before Tax,-900000,2600000,4900000,1400000,2200000,-3600000,-3400000,-28000000,- -,- -,15400000,17700000,22000000,- -,19100000,37634000,21000000,24800000,35000000,- -,46800000,58331000,25200000,25106000,-20149000,40186000,55088000,22650000,48885000,80410000,66173000,82280000,132925000,110589000,55126000,68534000,126280000
21,Income Before Tax Ratio,-0.0072,0.0202,0.0337,0.0086,0.0126,-0.0189,-0.0186,-0.1624,- -,- -,0.1098,0.1251,0.1160,- -,0.0882,0.1516,0.0972,0.1130,0.1439,- -,0.1282,0.1283,0.0584,0.0687,-0.0690,0.1060,0.0996,0.0454,0.0910,0.1316,0.1032,0.1254,0.1619,0.1258,0.0614,0.0854,0.1354
22,Income Tax expense (Gain),-1700000,300000,1500000,400000,600000,-1200000,-1100000,-1600000,- -,- -,2300000,3700000,5500000,- -,5400000,10914000,5200000,6200000,8800000,- -,6700000,11875000,3317000,3489000,42721000,5615000,11282000,-46484000,11226000,27527000,19853000,33997000,52466000,22938000,7807000,18544000,18147000
23,Net Income,800000,2300000,3400000,1000000,1600000,-2400000,-2300000,-32600000,6700000,- -,13100000,13900000,16500000,- -,13800000,26720000,15700000,18600000,26300000,- -,40100000,46456000,22100000,26515000,-62870000,34571000,37055000,68685000,37761000,52883000,46320000,48283000,80459000,87651000,47319000,49990000,108133000
24,Net Income ratio,0.0064,0.0179,0.0234,0.0062,0.0091,-0.0126,-0.0126,-0.1891,0.0544,- -,0.0934,0.0982,0.0870,- -,0.0637,0.1076,0.0727,0.0848,0.1081,- -,0.1099,0.1022,0.0512,0.0726,-0.2154,0.0912,0.0670,0.1377,0.0703,0.0866,0.0722,0.0736,0.0980,0.0997,0.0527,0.0623,0.1159
25,EPS,0.02,0.05,0.07,0.02,0.04,-0.05,-0.05,-0.66,0.14,- -,0.84,0.92,1.10,- -,0.91,1.79,1.03,1.20,1.67,- -,2.45,2.77,1.34,1.69,-4.01,2.19,2.31,4.18,2.20,2.91,2.52,2.68,4.43,4.77,2.55,2.68,5.77
26,EPS Diluted,0.02,0.05,0.07,0.02,0.04,-0.05,-0.05,-0.66,0.13,- -,0.84,0.92,1.05,- -,0.87,1.69,0.98,1.16,1.61,- -,2.34,2.69,1.32,1.67,-4.01,2.16,2.21,4.04,2.13,2.83,2.48,2.65,4.34,4.70,2.53,2.67,5.73
27,Weighted Average Shares Outstanding,11832000,11876000,11924000,12000000,12252000,12300000,12340000,12404000,12888000,- -,15438188,15254368,14949984,- -,15202470,14896227,15274479,15470697,15774744,- -,16380972,16747444,16555656,15714884,15691579,15800913,16035882,16426209,17197840,18177178,18371000,17991000,18154000,18374000,18573000,18681000,18740000
28,Weighted Average Shares Outstanding Diluted,11832000,11876000,11924000,12000000,12252000,12300000,12340000,12404000,12888000,- -,15468908,15281744,15726168,- -,15799826,15848736,16001965,16023273,16318885,- -,17103583,17287837,16749337,15924172,15691579,16005662,16737711,16991158,17768075,18697778,18680000,18223000,18547000,18659000,18713000,18706000,18874000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/84748/000008474896000006/0000084748-96-000006-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/84748/000115752308001787/a5620596.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752309001682/0001157523-09-001682-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752310001072/0001157523-10-001072-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752311000998/a6614574.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752312000876/0001157523-12-000876-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474813000004/0000084748-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474814000003/rog-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474815000003/rog-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474816000013/0000084748-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474817000004/0000084748-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474818000007/0000084748-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474819000006/0000084748-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474820000009/0000084748-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474821000021/0000084748-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474822000019/0000084748-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5600000,9000000,6500000,5000000,5400000,4400000,6700000,5400000,4500000,- -,13100000,18700000,18800000,- -,9600000,10100000,20900000,22300000,31500000,- -,38000000,13638000,36300000,70170000,57738000,80135000,79728000,114863000,191884000,237375000,204586000,227767000,181159000,167738000,166849000,191785000,232296000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2800000,- -,300000,- -,- -,6600000,3000000,- -,2000000,68185000,53300000,455000,399000,186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15248000,- -
33,Cash and Short-Term Investments,5600000,9000000,6500000,5000000,5400000,4400000,6700000,5400000,4500000,- -,13100000,19700000,21600000,- -,9900000,10100000,20900000,28900000,34500000,- -,40000000,81823000,89600000,70625000,58137000,80321000,79728000,114863000,191884000,237375000,204586000,227767000,181159000,167738000,166849000,207033000,232296000
34,Net Receivables,16200000,19200000,24600000,27900000,31500000,31300000,23800000,14800000,15000000,- -,18400000,21100000,28700000,- -,32600000,46265000,32600000,34400000,58300000,- -,71700000,101644000,87000000,55074000,59363000,77375000,92313000,96501000,98781000,105892000,109673000,126703000,146244000,171489000,149032000,163982000,202878000
35,Inventory,17300000,16700000,18100000,19000000,20600000,19200000,16300000,9200000,8000000,- -,10800000,12700000,21600000,- -,22800000,30423000,25400000,18100000,27500000,- -,49100000,70242000,51200000,41617000,33826000,47574000,78320000,73178000,66889000,68628000,91824000,91130000,112557000,132637000,132859000,102360000,133384000
36,Other Current Assets,1700000,400000,300000,1700000,1300000,2700000,9000000,26600000,9300000,- -,13500000,9200000,7600000,- -,9000000,6061000,6000000,6300000,6800000,- -,12100000,18845000,19300000,16977000,12889000,16313000,15271000,22394000,20153000,20159000,23054000,12801000,14563000,13922000,15362000,800000,15507000
37,Total Current Assets,40800000,45300000,49500000,53600000,58800000,57600000,55800000,56000000,36800000,- -,55800000,62700000,79500000,- -,74300000,92849000,84900000,87700000,127100000,- -,172900000,272554000,247100000,184293000,164215000,221583000,265632000,306936000,377707000,432054000,429137000,458401000,454523000,485786000,464102000,474175000,584065000
