,https://roic.ai/company/NVCN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,755491,504454,726750,313379,928989,1532741,1270533,2865101,4358128,5147660,7859789,11033027,13665258,9929940,9512796,5389014,1749133,2092032,1957362,2547406
2,COGS,- -,339620,305856,489392,279842,526097,807425,582005,1341330,2614501,3127303,4664417,6652964,8711594,6938134,7091761,3477821,366258,458436,446239,555697
3,Gross Profit,- -,415871,198598,237358,33537,402892,725316,688528,1523770,1743627,2020357,3195372,4380062,4953664,2991806,2421035,1911193,1382875,1633596,1511123,1991709
4,Gross Profit Ratio,- -,0.5505,0.3937,0.3266,0.1070,0.4337,0.4732,0.5419,0.5318,0.4001,0.3925,0.4065,0.3970,0.3625,0.3013,0.2545,0.3546,0.7906,0.7809,0.7720,0.7819
5,Research and Development Exp.,- -,38984,138840,1129079,1476728,1698088,2771799,2548783,2567025,1820397,2570782,4000740,6430795,11101118,17181395,19364503,17489092,16060857,20020959,19914443,15449001
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2842892,2382448,2164724,1238363,3889459,4474787,10139456,6776306,5892672,15684783,12850536,9031262,13206537,12559463
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,2667121,636351,190712,188399,169952,73701,151983,655669,696638,886226,829912,1645985,2196803,2996292
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,5510013,3018799,2355436,1426762,4059410,4548488,10291439,7431975,6589310,16571009,13680448,10677247,15403340,15555755
9,Other Expenses,19988,468026,1081189,2925064,3516505,3552944,5379815,1646192,192531,123098,1826006,89060,77309,71659,78544,111901073,738021,2810174,875249,1077039,370415
10,Operating Expenses,19988,507010,1220028,4054143,4993233,5251031,8151615,9704988,5778355,4298931,5823549,8149210,11056593,21464216,24691914,137854886,34798122,32551479,31573455,36394822,31375171
11,COGS and Expenses,19988,846630,1525884,4543536,5273075,5777129,8959040,10286993,7119685,6913432,8950852,12813627,17709557,30175810,31630048,144946647,38275943,32917737,32031891,36841061,31930868
12,Interest Income ,9952,4278,14683,38235,31020,153751,167184,125947,33896,466,6929,28795,10753,189124,577006,177761,355806,183065,184912,1394035,551940
13,Interest Expense (Gain),- -,14035,17368,10931,11253,10452,14274,35141,9784,11565,11604,10608,8593,6656,2538,- -,- -,- -,133082,1035957,631199
14,Depreciation and Amortization,- -,52344,289330,997428,1006812,124829,207463,1909500,192531,123098,97331,136571,255135,323735,503709,755734,534545,384126,641621,768101,670977
15,EBITDA,-19988,-31024,-714297,-2777899,-3951505,-4569559,-7685920,-26206193,-4072620,-2495801,-3671844,-206015,-6075904,-16089416,-26056892,-85538636,-21889748,-107551649,-34327519,-27415040,-23500201
16,EBITDA ratio,-Infinity,-0.0411,-1.4160,-3.8224,-12.6094,-4.9188,-5.0145,-20.6261,-1.4215,-0.5727,-0.7133,-0.0262,-0.5507,-1.1774,-2.6241,-8.9920,-4.0619,-61.4885,-16.4087,-14.0061,-9.2251
17,Operating Income,-19988,-91139,-1021430,-3816786,-4959696,-4848139,-7426299,-9016460,-4254584,-2555304,-3803192,-4953838,-6676530,-16510553,-28758334,-36822893,-32148908,-32470083,-30047080,-35168428,-31109541
18,Operating Income ratio,-Infinity,-0.1206,-2.0248,-5.2519,-15.8265,-5.2187,-4.8451,-7.0966,-1.4850,-0.5863,-0.7388,-0.6303,-0.6051,-1.2082,-2.8961,-3.8709,-5.9656,-18.5635,-14.3626,-17.9673,-12.2122
19,Total Other Income Expenses (Gains),- -,-6263,436,30528,-9873,143299,-481359,-19225179,- -,-9910,27087,4600644,336898,90745,2195195,-49471477,9724615,-75465692,-5055142,5949330,6307164
20,Income Before Tax,- -,-97402,-1020994,-3786258,-4969569,-4704840,-7907658,- -,- -,- -,- -,-353194,-6339632,-16419808,-26563139,-86294370,-22424293,-107935775,-35102222,-29219098,-24802377
21,Income Before Tax Ratio,- -,-0.1289,-2.0240,-5.2099,-15.8580,-5.0645,-5.1592,- -,- -,- -,- -,-0.0449,-0.5746,-1.2016,-2.6751,-9.0714,-4.1611,-61.7082,-16.7790,-14.9278,-9.7363
22,Income Tax expense (Gain),- -,-42260,-68408,161425,419532,- -,- -,- -,- -,- -,- -,- -,- -,- -,167351,200523,484428,107093,28793,-524057,86692
23,Net Income,-10036,-55142,-952586,-3947683,-5389101,-4704840,-7907658,-28150834,-4274935,-2630464,-3780780,-353194,-6339632,-16419808,-26730490,-86494893,-22908721,-108042868,-35131015,-28695041,-24889069
24,Net Income ratio,-Infinity,-0.0730,-1.8884,-5.4320,-17.1968,-5.0645,-5.1592,-22.1567,-1.4921,-0.6036,-0.7345,-0.0449,-0.5746,-1.2016,-2.6919,-9.0925,-4.2510,-61.7694,-16.7928,-14.6601,-9.7704
25,EPS,-38.16,-53.02,-771.15,-2329.18,-2410.88,-1372.68,-1615.67,-2415.78,-171.90,-69.99,-88.15,-10.05,-131.48,-310.11,-410.00,-1280.00,-280.00,-76.30,-5.40,-1.72,-0.40
26,EPS Diluted,-38.16,-53.02,-771.15,-2329.18,-2410.88,-1372.68,-1615.67,-2415.78,-171.90,-69.99,-88.15,-10.05,-131.48,-310.11,-410.00,-1280.00,-280.00,-76.30,-5.40,-1.72,-0.40
27,Weighted Average Shares Outstanding,263,1040,1209,1646,2215,3447,4936,11630,24978,35963,42613,45780,47361,52289,65397,67465,81523,1416011,6511672,16667810,62973995
28,Weighted Average Shares Outstanding Diluted,263,1040,1209,1646,2215,3447,4936,12172,26374,35963,42613,45780,47361,52289,65397,67465,81523,1416011,6511672,16667810,62973995
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399708/000127956916003034/0001279569-16-003034-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000127956917000570/0001279569-17-000570-index.html,- -,https://www.sec.gov/Archives/edgar/data/1399708/000104746919001502/0001047469-19-001502-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000104746920001915/0001047469-20-001915-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,462739,108645,1098845,1051266,2358215,3274163,2052949,106359,1275543,2355054,5891579,3196439,5190129,55026171,22954571,17507157,9242809,5292833,12935860,51537367
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1473350,- -,- -,10337163,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,462739,108645,1098845,1051266,2358215,3274163,2052949,106359,1275543,3828404,5891579,3196439,15527292,55026171,22954571,17507157,9242809,5292833,12935860,51537367
34,Net Receivables,- -,44228,311683,42016,101227,172514,574537,386360,422634,661893,720548,1254758,1211466,1542797,1736941,3117474,1334923,647143,802460,1082906,1412998
35,Inventory,- -,174039,358732,1294333,1028669,1108149,387886,280661,386123,469669,294587,192939,455320,410019,598136,196723,398556,258742,618650,839472,1480077
36,Other Current Assets,- -,50797,75231,15612,131676,75659,69428,43021,15062,33724,22891,30046,26547,223335,146590,70505340,802366,591236,1301887,872849,787734
37,Total Current Assets,- -,731803,854290,2450806,2312838,3714536,4306015,2762990,930177,2440828,4866430,7369323,4889771,17703443,57507838,96774108,20043002,10739930,8015830,15731087,55218176
38,PP&E,- -,546480,685694,789883,779485,820945,209378,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1633831,638380
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
