,https://roic.ai/company/GRTS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,1187000,4365000,4037000,48214000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,13916000,35691000,54965000,82896000,88643000,97490000
6,General and Administrative Exp.,5064000,6072000,11806000,19409000,21411000,25933000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5064000,6072000,11806000,19409000,21411000,25933000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18980000,41763000,66771000,102305000,110054000,123423000
11,COGS and Expenses,18980000,41763000,66771000,102305000,110054000,- -
12,Interest Income ,230000,386000,809000,3507000,703000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,823000,1970000,3961000,4745000,6644000,- -
15,EBITDA,-18157000,-39793000,-60814000,-89688000,-98670000,-75082000
16,EBITDA ratio,-Infinity,-Infinity,-51.2334,-20.5471,-24.4414,-1.5573
17,Operating Income,-18980000,-41763000,-65584000,-97940000,-106017000,-75209000
18,Operating Income ratio,-Infinity,-Infinity,-55.2519,-22.4376,-26.2613,-1.5599
19,Total Other Income Expenses (Gains),230000,386000,809000,3507000,703000,127000
20,Income Before Tax,-18750000,-41377000,-64775000,-94433000,-105314000,-75082000
21,Income Before Tax Ratio,-Infinity,-Infinity,-54.5703,-21.6341,-26.0872,-1.5573
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-18750000,-41377000,-64775000,-94433000,-105314000,-75082000
24,Net Income ratio,-Infinity,-Infinity,-54.5703,-21.6341,-26.0872,-1.5573
25,EPS,-0.93,-3.02,-7.26,-2.81,-2.79,-0.97
26,EPS Diluted,-0.93,-3.02,-7.26,-2.81,-2.79,-0.97
27,Weighted Average Shares Outstanding,20091061,13699938,8919281,33554823,37792365,77775497
28,Weighted Average Shares Outstanding Diluted,20091061,13699938,8919281,33554823,37792365,77775497
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1656634/000156459019009825/0001564590-19-009825-index.html,https://www.sec.gov/Archives/edgar/data/1656634/000156459020009886/0001564590-20-009886-index.html,https://www.sec.gov/Archives/edgar/data/1656634/000156459021012260/0001564590-21-012260-index.htm,https://www.sec.gov/Archives/edgar/data/1656634/000095017022003366/0000950170-22-003366-index.htm
