,https://roic.ai/company/TPH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,19329000,78550000,257955000,1703616000,2401159000,2405142000,2810272000,3262747000,3083015000,3251310000,3982235000
2,COGS,17729000,64612000,202874000,1354030000,1842116000,1853947000,2188470000,2562916000,2473306000,2527233000,2990114000
3,Gross Profit,1600000,13938000,55081000,349586000,559043000,551195000,621802000,699831000,609709000,724077000,992121000
4,Gross Profit Ratio,0.0828,0.1774,0.2135,0.2052,0.2328,0.2292,0.2213,0.2145,0.1978,0.2227,0.2491
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4620000,6772000,17057000,82373000,117496000,123470000,137764000,155030000,157161000,166304000,200163000
7,Selling and Marketing Exp.,1553000,4636000,8486000,103600000,116217000,127903000,137066000,187267000,195148000,183110000,179214000
8,"Selling, General and Administrative Exp.",6173000,11408000,25543000,185973000,233713000,251373000,274830000,342297000,352309000,349414000,379377000
9,Other Expenses,- -,- -,- -,3324000,4360000,2247000,2298000,3174000,2434000,- -,2550000
10,Operating Expenses,6173000,11408000,25543000,189297000,238073000,253620000,277128000,345471000,354743000,349414000,381927000
11,COGS and Expenses,23902000,76020000,228417000,1543327000,2080189000,2107567000,2465598000,2908387000,2828049000,2876647000,3372041000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,758000,431000,866000,11423000,8274000,3087000,3500000,29097000,28396000,29497000,32421000
15,EBITDA,-3835000,2937000,26619000,139387000,325814000,304352000,342958000,389560000,299483000,220534000,658083000
16,EBITDA ratio,-0.1984,0.0374,0.1032,0.0818,0.1357,0.1265,0.1220,0.1194,0.0971,0.0678,0.1653
17,Operating Income,-4573000,2530000,29538000,147231000,314882000,295959000,343634000,353204000,253859000,366506000,605040000
18,Operating Income ratio,-0.2366,0.0322,0.1145,0.0864,0.1311,0.1231,0.1223,0.1083,0.0823,0.1127,0.1519
19,Total Other Income Expenses (Gains),-20000,-24000,-3785000,-19267000,4378000,6268000,-3816000,8861000,17228000,-8816000,20622000
20,Income Before Tax,-4593000,2506000,25753000,127964000,319260000,302227000,339818000,362065000,271087000,357690000,625662000
21,Income Before Tax Ratio,-0.2376,0.0319,0.0998,0.0751,0.1330,0.1257,0.1209,0.1110,0.0879,0.1100,0.1571
22,Income Tax expense (Gain),- -,- -,10379000,43767000,112079000,106094000,152267000,90552000,63900000,-91170000,156395000
23,Net Income,-4593000,2506000,15374000,84197000,205461000,195171000,187191000,269911000,207187000,282207000,469267000
24,Net Income ratio,-0.2376,0.0319,0.0596,0.0494,0.0856,0.0811,0.0666,0.0827,0.0672,0.0868,0.1178
25,EPS,-0.15,0.08,0.50,0.58,1.27,1.21,1.21,1.82,1.47,2.18,3.63
26,EPS Diluted,-0.15,0.08,0.50,0.58,1.27,1.21,1.21,1.81,1.47,2.17,3.61
27,Weighted Average Shares Outstanding,31597907,31597907,30775989,145044351,161692152,160859782,154134411,148183431,140851444,129368964,129368964
28,Weighted Average Shares Outstanding Diluted,31597907,31597907,30797602,145531289,162319758,161381499,155085366,149004690,141394227,129951161,129951161
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1561680/000119312513132645/0001193125-13-132645-index.html,https://www.sec.gov/Archives/edgar/data/1561680/000119312514072728/0001193125-14-072728-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459015001605/0001564590-15-001605-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459016013570/0001564590-16-013570-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168017000008/0001561680-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168018000015/0001561680-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168019000022/0001561680-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168020000021/0001561680-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168021000023/0001561680-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168022000009/0001561680-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,10164000,19824000,35261000,170629000,214485000,208657000,282914000,277696000,329011000,621295000,681528000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10164000,19824000,35261000,170629000,214485000,208657000,282914000,277696000,329011000,621295000,681528000
34,Net Receivables,71000,548000,1697000,30831000,43710000,82500000,125600000,51592000,69276000,63551000,116996000
35,Inventory,82023000,194083000,455642000,2280183000,2519273000,2910627000,3105553000,3216059000,3065436000,2910142000,3054743000
36,Other Current Assets,- -,- -,-1697000,29111000,14523000,24495000,13040000,31983000,24070000,14984000,11797000
37,Total Current Assets,92258000,214455000,490903000,2510754000,2791991000,3226279000,3527107000,3577330000,3487793000,3609972000,3865064000
38,PP&E,- -,- -,- -,11719000,7643000,10884000,10528000,54198000,50947000,48798000,73727000
39,Goodwill,- -,- -,- -,139304000,139304000,139304000,139304000,139304000,139304000,139304000,139304000
