,https://roic.ai/company/RSLS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,311493,- -,- -,292000,786660,1287154,606710,15089000,11299000,13600000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,231520,- -,- -,125047,431476,936386,164299,5784000,5037000,5252000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,79973,- -,- -,166953,355184,350768,442411,9305000,6262000,8348000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2567,- -,- -,0.5718,0.4515,0.2725,0.7292,0.6167,0.5542,0.6138
5,Research and Development Exp.,- -,- -,8832722,14361226,21053395,27673725,15580746,8498857,16673238,10668044,11075493,11031619,8141323,5169286,5775098,5722117,3121000,3498000,2522000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25983547,19261680,17224000,10527000,24410000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4847000,4694000,9165000
8,"Selling, General and Administrative Exp.",- -,- -,2319561,3760590,6972803,8596703,8631597,7678259,8583347,11960893,13658824,14561656,19892424,17981525,25983547,19261680,22071000,15221000,33575000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28752000
10,Operating Expenses,- -,- -,11152283,18121816,28026198,36270428,24212343,16177116,25256585,22628937,24734317,25593275,28033747,23150811,31758645,24983797,25192000,18719000,64849000
11,COGS and Expenses,- -,- -,11152283,18121816,28026198,36270428,24212343,16177116,25256585,22860457,24734317,25593275,28158794,23582287,32695031,25148096,30976000,23756000,70101000
12,Interest Income ,- -,- -,109884,1135855,1556551,1101923,79355,5597,12241,9877,5717,3331,1819,5837,1066,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,181151,710108,1648818,2683658,4104300,1258406,722859,901835,932364,530222,939182,4104003,3874,12378,451000,2049000,832000
14,Depreciation and Amortization,- -,- -,143231,95849,992373,513060,424354,375756,303972,226990,174629,188904,188606,139576,925463,440557,1706000,1667000,1971000
15,EBITDA,- -,- -,-11017411,-18031559,-26576942,-35757368,-23787989,-15801360,-24952613,-22331278,-24559688,-25404371,-24370959,-19117265,-35203246,-84145348,-72943000,-18095000,-59236000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-71.6911,-Infinity,-Infinity,-83.4622,-24.3018,-27.3497,-138.6912,-4.8342,-1.6015,-4.3556
17,Operating Income,- -,- -,-11152283,-18121816,-28026198,-36270428,-24212000,-16177000,-25256585,-22548964,-24734317,-25593275,-27866794,-22795627,-31407877,-38545959,-24461000,-12457000,-56501000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-72.3900,-Infinity,-Infinity,-95.4342,-28.9777,-24.4010,-63.5328,-1.6211,-1.1025,-4.1545
19,Total Other Income Expenses (Gains),- -,- -,8359,5592,-456883,-21865,-35621112,82538,-30119,-911139,-1046342,-535445,2368047,-565217,-4724706,-167772,-50639000,-9354000,-5538000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23460103,-25780659,-26128720,-25498747,-23360844,-36132583,-38713731,-75100000,-21811000,-62039000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75.3150,-Infinity,-Infinity,-87.3245,-29.6962,-28.0717,-63.8093,-4.9771,-1.9303,-4.5617
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2314611,-3446708,-893000,-181000,-106000
23,Net Income,-1901000,-3448752,-11215191,-17690477,-28575348,-37874028,-31929200,-17347387,-25997322,-23460103,-25780659,-26128720,-25498747,-23360844,-33817972,-81151575,-74207000,-21630000,-61933000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-75.3150,-Infinity,-Infinity,-87.3245,-29.6962,-26.2734,-133.7568,-4.9180,-1.9143,-4.5539
25,EPS,-11.96,-24.36,-28.82,-34.19,-11.69,-2.25,-1.07,-2.06,-0.86,-0.59,-0.47,-0.39,-0.28,-37.53,-3.07,-75.31,-42.93,-3.12,-8.94
