,https://roic.ai/company/SDC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,145954000,423234000,750428000,656780000,637611000
2,COGS,64011000,133968000,178390000,206852000,177597000
3,Gross Profit,81943000,289266000,572038000,449928000,460014000
4,Gross Profit Ratio,0.5614,0.6835,0.7623,0.6851,0.7215
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,48202000,121743000,580843000,311982000,325569000
7,Selling and Marketing Exp.,64243000,213080000,481468000,322919000,388450000
8,"Selling, General and Administrative Exp.",112445000,334823000,1062311000,634901000,714019000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,112445000,334823000,1062311000,634901000,714019000
11,COGS and Expenses,176456000,468791000,1240701000,841753000,891616000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2148000,13705000,15734000,45010000,23154000
14,Depreciation and Amortization,2513000,8861000,27336000,56390000,70113000
15,EBITDA,-27989000,-51844000,-69175000,26156000,-7907000
16,EBITDA ratio,-0.1918,-0.1225,-0.0922,0.0398,-0.0124
17,Operating Income,-30502000,-45557000,-490273000,-217464000,-259284000
18,Operating Income ratio,-0.2090,-0.1076,-0.6533,-0.3311,-0.4066
19,Total Other Income Expenses (Gains),-2148000,-28853000,-45264000,-57913000,-75098000
20,Income Before Tax,-32650000,-74410000,-535537000,-275377000,-334382000
21,Income Before Tax Ratio,-0.2237,-0.1758,-0.7136,-0.4193,-0.5244
22,Income Tax expense (Gain),128000,361000,2268000,3122000,1268000
23,Net Income,-32778000,-74771000,-114513000,-78366000,-102442000
24,Net Income ratio,-0.2246,-0.1767,-0.1526,-0.1193,-0.1607
25,EPS,-0.09,-0.19,-1.12,-0.71,-0.87
26,EPS Diluted,-0.09,-0.19,-1.14,-0.72,-0.87
27,Weighted Average Shares Outstanding,384862951,384862951,102442525,109854360,118360801
28,Weighted Average Shares Outstanding Diluted,384862951,384862951,381917030,385200442,387775890
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1775625/000177562520000007/0001775625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1775625/000177562521000025/0001775625-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1775625/000177562522000020/0001775625-22-000020-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,4071000,313929000,318458000,316724000,224860000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4071000,313929000,318458000,316724000,224860000
34,Net Receivables,33741000,113934000,239413000,221973000,184558000
35,Inventory,2723000,8781000,18431000,29247000,40803000
36,Other Current Assets,2378000,5782000,14186000,12832000,17519000
37,Total Current Assets,42913000,442426000,590488000,580776000,467740000
38,PP&E,11893000,52551000,177543000,221171000,252128000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,6645000,6876000,9613000
41,Intangible Assets,- -,- -,6645000,6876000,9613000
42,Investments,- -,- -,- -,1010000,2989000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11600000,60217000,110969000,74956000,62088000
45,Total Non-Current Assets,23493000,112768000,295157000,304013000,326818000
