,https://roic.ai/company/NFE,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,21395000,97262000,112301000,189125000,451650000,- -
2,COGS,27952000,86148000,105331000,210258000,326348000,- -
3,Gross Profit,-6557000,11114000,6970000,-21133000,125302000,- -
4,Gross Profit Ratio,-0.3065,0.1143,0.0621,-0.1117,0.2774,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,152922000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,152922000,- -,- -
9,Other Expenses,20501000,36104000,65458000,13220000,280660000,- -
10,Operating Expenses,20501000,36104000,65458000,166142000,280660000,- -
11,COGS and Expenses,48453000,122252000,170789000,376400000,607008000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5105000,6456000,11248000,7111000,50252000,148305000
14,Depreciation and Amortization,2389000,3214000,4034000,8641000,33303000,99544000
15,EBITDA,-25793000,-21475000,-63238000,-17618000,-93775000,- -
16,EBITDA ratio,-1.2056,-0.2208,-0.5631,-0.0932,-0.2076,- -
17,Operating Income,-27058000,-24990000,-58488000,-187275000,-155358000,238878000
18,Operating Income ratio,-1.2647,-0.2569,-0.5208,-0.9902,-0.3440,Infinity
19,Total Other Income Expenses (Gains),-6229000,-6155000,-20032000,-16605000,-103790000,-133706000
20,Income Before Tax,-33287000,-31145000,-78520000,-203880000,-259148000,105172000
21,Income Before Tax Ratio,-1.5558,-0.3202,-0.6992,-1.0780,-0.5738,Infinity
22,Income Tax expense (Gain),-361000,526000,-338000,439000,4817000,12461000
23,Net Income,-32926000,-31671000,-78182000,-33809000,-182147000,- -
24,Net Income ratio,-1.5390,-0.3256,-0.6962,-0.1788,-0.4033,- -
25,EPS,-0.48,-0.49,-3.91,-1.62,-1.71,0.49
26,EPS Diluted,-0.48,-0.49,-3.91,-1.62,-1.71,0.49
27,Weighted Average Shares Outstanding,67915822,65006140,20000000,20862555,106654918,198593042
28,Weighted Average Shares Outstanding Diluted,67915822,65006140,20000000,20862555,106654918,201703176
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749723/000114036120004834/0001140361-20-004834-index.html,https://www.sec.gov/Archives/edgar/data/1749723/000114036121008724/0001140361-21-008724-index.htm,https://www.sec.gov/Archives/edgar/data/1749723/000114036122007364/0001140361-22-007364-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,180650000,84708000,78301000,27098000,601522000,187509000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,180650000,84708000,78301000,27098000,601522000,187509000
34,Net Receivables,16743000,20595000,30363000,52549000,78425000,- -
35,Inventory,7656000,11152000,15959000,63432000,22860000,- -
36,Other Current Assets,6831000,38498000,29157000,68041000,59203000,397357000
37,Total Current Assets,211880000,154953000,153780000,211120000,762010000,584866000
38,PP&E,167621000,198840000,451757000,658809000,1025143000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,43057000,61302000,46102000,- -
41,Intangible Assets,- -,- -,43057000,61302000,46102000,- -
42,Investments,3363000,6333000,3656000,2540000,- -,1200886000
43,Tax Assets,361000,- -,185000,34000,2315000,- -
44,Other Non-Current Assets,5829000,21064000,46967000,190009000,72521000,- -
45,Total Non-Current Assets,177174000,226237000,545622000,912694000,1146081000,- -
46,Other Assets,- -,- -,- -,- -,- -,6291626000
47,Total Assets,389054000,381190000,699402000,1123814000,1908091000,6876492000
48,Accounts Payable,5283000,6352000,43177000,11593000,21331000,- -
49,Short-Term Debt,- -,- -,- -,- -,35481000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,19196000,25747000,361578000,90670000,134338000,- -
53,Total Current Liabilities,24479000,32099000,404755000,102263000,191150000,- -
54,Long-Term Debt,74557000,69425000,- -,619057000,1323884000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,160000,- -,241000,2330000,- -
57,Other Non-Current Liabilities,648000,596000,12000000,14929000,15641000,- -
58,Total Non-Current Liabilities,75205000,70181000,12000000,634227000,1341855000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,4882438000
60,Capital Lease Obligations,- -,- -,- -,- -,119804000,- -
61,Total Liabilities,99684000,102280000,416755000,736490000,1533005000,4882438000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,336683000,406591000,426741000,130658000,1746000,- -
64,Retained Earnings,-48676000,-80347000,-158423000,-45823000,-229503000,- -
65,Other Comprehensive Income/Loss,-2400000,-5592000,-9391000,-16911000,182000,-2085000
66,Other Total Stockholders Equity,3763000,-41742000,9380000,16881000,594534000,- -
67,Total Stockholders Equity,289370000,278910000,268307000,84805000,366959000,1994054000
