,https://roic.ai/company/FPI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2123116,2350025,4218125,13756147,31001000,46219000,56069000,53564000,50689000,51739000
2,COGS,185621,26802,248643,1103658,2379000,5897000,7834000,8824000,10737000,8856000
3,Gross Profit,1937495,2323223,3969482,12652489,28622000,40322000,48235000,44740000,39952000,42883000
4,Gross Profit Ratio,0.9126,0.9886,0.9411,0.9198,0.9233,0.8724,0.8603,0.8353,0.7882,0.8288
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,50050,793448,2890765,5282465,8470000,8711000,9807000,10073000,9638000,18355000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50050,793448,2890765,5282465,8470000,8711000,9807000,10073000,9638000,18355000
9,Other Expenses,124576,153052,328576,893309,1999000,8153000,8555000,8324000,7974000,7660000
10,Operating Expenses,174626,946500,3219341,6175774,10469000,16864000,18362000,18397000,17612000,26015000
11,COGS and Expenses,360247,973302,3467984,7279432,12848000,22761000,26196000,27221000,28349000,34871000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1161978,1342294,1372162,4616434,9959000,13561000,18799000,19588000,17677000,15929000
14,Depreciation and Amortization,- -,148547,- -,- -,- -,- -,- -,- -,7972000,7629000
15,EBITDA,1748330,1525013,803970,5853599,14272000,21475000,31053000,33474000,32768000,33549000
16,EBITDA ratio,0.8235,0.6489,0.1906,0.4255,0.4604,0.4646,0.5538,0.6249,0.6465,0.6484
17,Operating Income,1748330,1376466,556845,6216737,15632000,22528000,29693000,26337000,22329000,16813000
18,Operating Income ratio,0.8235,0.5857,0.1320,0.4519,0.5042,0.4874,0.5296,0.4917,0.4405,0.3250
19,Total Other Income Expenses (Gains),-1161978,-1342294,-1228142,-4518068,-9622000,-13370000,-15653000,-11487000,-14799000,-6554000
20,Income Before Tax,586352,34172,-671297,1698669,6010000,9158000,14040000,14850000,7530000,10259000
21,Income Before Tax Ratio,0.2762,0.0145,-0.1591,0.1235,0.1939,0.1981,0.2504,0.2772,0.1486,0.1983
22,Income Tax expense (Gain),- -,- -,- -,9951,11000,- -,- -,- -,- -,- -
23,Net Income,586352,34172,-568192,1227214,4302000,7914000,12254000,13886000,7119000,9991000
24,Net Income ratio,0.2762,0.0145,-0.1347,0.0892,0.1388,0.1712,0.2186,0.2592,0.1404,0.1931
25,EPS,0.15,0.01,-0.15,0.08,0.09,0.03,-0.01,0.04,-0.18,0.31
26,EPS Diluted,0.15,0.01,-0.15,0.08,0.09,0.03,-0.01,0.04,-0.18,0.31
27,Weighted Average Shares Outstanding,4014283,4014283,4264906,9618714,13204000,31046000,32162000,30169000,29376000,32551000
28,Weighted Average Shares Outstanding Diluted,4014283,4014283,4264906,9628651,13204000,31046000,32162000,30169000,29376000,32551000
