,https://roic.ai/company/CYAD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,26932,54000,- -,146000,3000,8523000,3540000,3115000,6000,5000,- -
2,COGS,5797852,6683332,2415210,115000,1000,53000,515000,- -,- -,- -,- -
3,Gross Profit,-5770919,-6629332,-2415210,31000,2000,8470000,3025000,3115000,6000,5000,- -
4,Gross Profit Ratio,-214.2769,-122.7654,-Infinity,0.2123,0.6667,0.9938,0.8545,1.0000,1.0000,1.0000,- -
5,Research and Development Exp.,- -,- -,2158070,15865000,22766000,27675000,22908000,24949000,25232000,21591000,20773000
6,General and Administrative Exp.,2838731,3713260,2987550,5016000,7230000,9572000,9079000,10121000,8725000,8995000,9665000
7,Selling and Marketing Exp.,- -,- -,206190,394000,891000,728000,761000,676000,- -,- -,- -
8,"Selling, General and Administrative Exp.",2838731,3713260,3193740,5410000,8121000,10300000,9840000,10797000,8725000,8995000,9665000
9,Other Expenses,472935,-8901677,5726900,-1357000,-1113000,-3251000,-2928000,-1244000,-4578000,-4342000,-3529000
10,Operating Expenses,3311666,-5188417,11078710,19918000,29774000,34724000,29820000,34502000,29379000,26244000,26909000
11,COGS and Expenses,9109518,1494915,11078710,20033000,29775000,34777000,30335000,34502000,29379000,26244000,26909000
12,Interest Income ,- -,- -,47530,277000,352000,1413000,927000,308000,92000,51000,27000
13,Interest Expense (Gain),- -,- -,425420,22000,100000,109000,108000,62000,343000,297000,255000
14,Depreciation and Amortization,2720795,893810,886020,870000,1033000,1516000,9004000,1114000,1788000,1832000,1520000
15,EBITDA,-6413599,-1258736,-11035140,-15561000,-27981000,-21987000,-47284000,-36251000,-26509000,-15075000,-25578000
16,EBITDA ratio,-238.1398,-23.3099,-Infinity,-106.5822,-9327.0000,-2.5797,-13.3571,-11.6376,-4418.1667,-3015.0000,-Infinity
17,Operating Income,-9082586,-1440915,-11969230,-16437000,-29672000,-25609000,-52876000,-38170000,-28879000,-16987000,-26391000
18,Operating Income ratio,-337.2405,-26.6836,-Infinity,-112.5822,-9890.6667,-3.0047,-14.9367,-12.2536,-4813.1667,-3397.4000,-Infinity
19,Total Other Income Expenses (Gains),-51808,-711631,-376990,-16000,558000,1997000,-3520000,743000,239000,-217000,-111000
20,Income Before Tax,-9134394,-2152546,-12346220,-16453000,-29114000,-23612000,-56396000,-37427000,-28640000,-17204000,-26502000
21,Income Before Tax Ratio,-339.1642,-39.8620,-Infinity,-112.6918,-9704.6667,-2.7704,-15.9311,-12.0151,-4773.3333,-3440.8000,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-6000,-1000,- -,-8000,- -,10000
23,Net Income,-9134394,-2152546,-12346220,-16453000,-29114000,-23606000,-56395000,-37427000,-28632000,-17204000,-26512000
24,Net Income ratio,-339.1642,-39.8620,-Infinity,-112.6918,-9704.6667,-2.7697,-15.9308,-12.0151,-4772.0000,-3440.8000,-Infinity
25,EPS,-1.44,-0.34,-3.01,-2.44,-3.43,-2.53,-5.86,-3.36,-2.29,-1.23,-0.84
26,EPS Diluted,-1.44,-0.34,-3.01,-2.44,-3.43,-2.53,-5.86,-3.36,-2.29,-1.23,-0.84
27,Weighted Average Shares Outstanding,6332792,6332792,4099216,6750383,8488047,9330435,9623720,11138988,12523166,13942344,31421000
28,Weighted Average Shares Outstanding Diluted,6332792,6332792,4099216,6750383,8488047,9330435,9623720,11138988,12523166,13942344,31469000
