,https://roic.ai/company/HTZ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5596900000,5638400000,5933700000,6676000000,7469214000,8058405000,8685631000,8525055000,7101507000,7562534000,8298380000,9020807000,10771900000,11046000000,10535000000,8803000000,8803000000,9504000000,9779000000,5258000000,7336000000
2,COGS,3248000000,3093000000,3316100000,3734400000,4189302000,4475974000,4644148000,4930018000,4084176000,4282351000,4566378000,6943946000,8277500000,9348000000,8658000000,7533000000,7756000000,8045000000,8051000000,5659000000,4613000000
3,Gross Profit,2348900000,2545400000,2617600000,2941600000,3279912000,3582431000,4041483000,3595037000,3017331000,3280183000,3732002000,2076861000,2494400000,1698000000,1877000000,1270000000,1047000000,1459000000,1728000000,-401000000,2723000000
4,Gross Profit Ratio,0.4197,0.4514,0.4411,0.4406,0.4391,0.4446,0.4653,0.4217,0.4249,0.4337,0.4497,0.2302,0.2316,0.1537,0.1782,0.1443,0.1189,0.1535,0.1767,-0.0763,0.3712
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688000000
9,Other Expenses,479200000,1962600000,2025100000,2054600000,2238242000,2481123000,2779241000,2963796000,2572506000,2532659000,2651017000,945784000,1022200000,1088000000,1045000000,899000000,880000000,1017000000,969000000,664000000,- -
10,Operating Expenses,479200000,1962600000,2025100000,2054600000,2238242000,2481123000,2779241000,2963796000,2572506000,2532659000,2651017000,945784000,1022200000,1088000000,1045000000,899000000,880000000,1017000000,969000000,664000000,688000000
11,COGS and Expenses,3727200000,5055600000,5341200000,5789000000,6427544000,6957097000,7423389000,7893814000,6656682000,6815010000,7217395000,7889730000,9299700000,10436000000,9703000000,8432000000,8636000000,9062000000,9020000000,6323000000,5301000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,24802000,64439000,12310000,5551000,4902000,11600000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,869950000,680273000,773427000,699718000,649892000,716000000,648000000,622000000,624000000,637000000,739000000,805000000,608000000,469000000
14,Depreciation and Amortization,- -,1499500000,1523400000,1463300000,190698000,2016046000,2243067000,2433294000,2157110000,2008647000,2037657000,2325056000,2771800000,3320000000,3042000000,2796000000,2962000000,2764000000,2994000000,2484000000,796000000
15,EBITDA,2700000,1421900000,1760900000,1962700000,719764000,2199983000,2610197000,1899651000,2651695000,2751098000,3042085000,3425493000,4150900000,3945000000,4005000000,2933000000,3024000000,3248000000,3804000000,1049000000,1949000000
16,EBITDA ratio,0.0005,0.2522,0.2968,0.2940,0.0964,0.2730,0.3005,0.2228,0.3734,0.3638,0.3666,0.3797,0.3853,0.3571,0.3802,0.3332,0.3435,0.3418,0.3890,0.1995,0.2657
17,Operating Income,1869700000,582800000,592500000,887000000,1041670000,1101308000,1262242000,631241000,444825000,747524000,1080985000,1131077000,1472200000,610000000,832000000,371000000,167000000,442000000,759000000,-1065000000,1474000000
18,Operating Income ratio,0.3341,0.1034,0.0999,0.1329,0.1395,0.1367,0.1453,0.0740,0.0626,0.0988,0.1303,0.1254,0.1367,0.0552,0.0790,0.0421,0.0190,0.0465,0.0776,-0.2025,0.2009
19,Total Other Income Expenses (Gains),-1867000000,-366400000,-355000000,-384400000,-499982000,-900657000,-875422000,-2014048000,-615834000,-761117000,-756715000,-680532000,-809100000,-633000000,-491000000,-841000000,-742000000,-699000000,-746000000,-987000000,-791000000
20,Income Before Tax,2700000,216400000,237500000,502600000,541688000,200651000,386820000,-1382807000,-171009000,-13593000,324270000,450545000,663100000,-23000000,341000000,-470000000,-575000000,-257000000,13000000,-2052000000,683000000
21,Income Before Tax Ratio,0.0005,0.0384,0.0400,0.0753,0.0725,0.0249,0.0445,-0.1622,-0.0241,-0.0018,0.0391,0.0499,0.0616,-0.0021,0.0324,-0.0534,-0.0653,-0.0270,0.0013,-0.3903,0.0931
22,Income Tax expense (Gain),-20600000,72400000,78900000,133900000,179089000,67994000,102571000,-196847000,-59666000,17068000,128540000,207466000,316900000,59000000,68000000,4000000,-902000000,-30000000,63000000,-329000000,318000000
23,Net Income,23300000,-150000000,158600000,365500000,349977000,115943000,264559000,-1206746000,-126022000,-48044000,176170000,243079000,346200000,-82000000,273000000,-491000000,327000000,-225000000,-58000000,-1714000000,366000000
24,Net Income ratio,0.0042,-0.0266,0.0267,0.0547,0.0469,0.0144,0.0305,-0.1416,-0.0177,-0.0064,0.0212,0.0269,0.0321,-0.0074,0.0259,-0.0558,0.0371,-0.0237,-0.0059,-0.3260,0.0499
25,EPS,0.10,-0.65,0.69,1.59,1.53,0.48,0.82,-3.73,-0.34,-0.12,0.42,0.58,0.82,-0.18,0.60,-5.85,3.94,-2.68,-0.49,-11.44,2.44
26,EPS Diluted,0.10,-0.65,0.69,1.59,1.53,0.48,0.81,-3.73,-0.34,-0.12,0.40,0.54,0.76,-0.18,0.60,-5.85,3.94,-2.68,-0.49,-11.44,2.44
27,Weighted Average Shares Outstanding,229500000,229500000,229500000,229500000,229500000,242460000,321185000,322700000,371500000,411900000,415900000,419900000,422300000,454000000,452000000,84000000,83000000,84000000,117000000,150000000,150000000
28,Weighted Average Shares Outstanding Diluted,229500000,229500000,229500000,229500000,229500000,243354000,325487000,322700000,371500000,411900000,444800000,448200000,463900000,454000000,456000000,84000000,83000000,84000000,117000000,150000000,150000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657853/000165785321000006/0001657853-21-000006-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,843908000,674549000,730203000,594266000,985642000,2374170000,931779000,533255000,423200000,490000000,486000000,816000000,1072000000,1127000000,865000000,1096000000,2258000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,843908000,674549000,730203000,594266000,985642000,2374170000,931779000,533255000,423200000,490000000,486000000,816000000,1072000000,1127000000,865000000,1096000000,2258000000
34,Net Receivables,- -,- -,- -,- -,1823188000,1656542000,1690956000,1911084000,1325332000,1356553000,1616382000,1886596000,1512600000,1597000000,2074000000,1283000000,1365000000,1587000000,1840000000,777000000,758000000
35,Inventory,- -,- -,- -,- -,105532000,112119000,118997000,96187000,93415000,87429000,83978000,105728000,92300000,67000000,51000000,- -,- -,- -,- -,- -,- -
