,https://roic.ai/company/ACH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,18270938000,15987787027,16788873385,23245873015,32313096273,37121702722,61843921875,76289894387,76725941000,70268005000,120994847000,145874433000,149478821000,169431235000,141772292000,123445872000,144065518000,180080750000,180240154000,190074161000,185994253000
2,COGS,11486889000,11646157575,13355266528,16439544972,21464199903,24829718237,41858882590,57279680161,70073660000,69128090000,113393852000,138111367000,149802658000,166679798000,141138806000,120927088000,133508536000,165675021000,167029416000,177946276000,172571364000
3,Gross Profit,6784049000,4341629452,3433606857,6806328043,10848896370,12291984485,19985039285,19010214226,6652281000,1139915000,7600995000,7763066000,-323837000,2751437000,633486000,2518784000,10556982000,14405729000,13210738000,12127885000,13422889000
4,Gross Profit Ratio,0.3713,0.2716,0.2045,0.2928,0.3357,0.3311,0.3232,0.2492,0.0867,0.0162,0.0628,0.0532,-0.0022,0.0162,0.0045,0.0204,0.0733,0.0800,0.0733,0.0638,0.0722
5,Research and Development Exp.,309477000,144046870,131911205,173361017,132632519,113416528,113430233,228312970,177507000,177756000,164235000,218026000,198946000,193620000,293766000,168869000,168862000,494590000,626873000,940828000,1434056000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2274928423,2858594685,3236990000,3173998000,3257613000,2374784000,2066166000,2193594000,3615213000,1740828000,3348345000,4568246000,3958067000,3956604000,4156940000
7,Selling and Marketing Exp.,259101000,- -,- -,- -,- -,- -,38995298,11644298,1557149000,166278000,- -,1107264000,1878305000,1756690000,1652194000,1685276000,2065453000,2342484000,2496933000,1673139000,1457056000
8,"Selling, General and Administrative Exp.",259101000,1409624575,1226496889,1268013904,1772500922,2210709991,2313923720,2870238983,4794139000,3340276000,3257613000,3482048000,3944471000,3950284000,5267407000,3426104000,5413798000,6910730000,6455000000,5629743000,5613996000
9,Other Expenses,1261107000,-170164212,-46994660,286473659,-16208618,-116476385,170164843,980999193,-142029000,277528000,75640000,920169000,264151000,49933000,215237000,-1085705000,-745206000,-342171000,-135367000,-79469000,-139551000
10,Operating Expenses,1829685000,1383507232,1311413434,1727848581,1888924823,2207650134,2597518795,4079551146,4829617000,3795560000,3497488000,4620243000,4407568000,4193837000,5776410000,2509268000,4837454000,7063149000,6946506000,6491102000,6908501000
11,COGS and Expenses,13316574000,13029664808,14666679962,18167393553,23353124726,27037368371,44456401385,61359231307,74903277000,72923650000,116891340000,142731610000,154210226000,170873635000,146915216000,123436356000,138345990000,172738170000,173975922000,184437378000,179479865000
12,Interest Income ,- -,- -,- -,26200345,61539767,- -,183163275,188339573,193046000,125139000,91109000,138778000,314179000,616576000,1047607000,812084000,815678000,706299000,492232000,261151000,226921000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1902612000,2299780000,2575661000,3432352000,4921747000,5948919000,6583600000,5568979000,4740242000,4817211000,4685050000,4863079000,3862693000
14,Depreciation and Amortization,- -,1814290237,2025182604,2092443141,2371011167,2525721814,3493981775,4613662071,5322608000,6001775000,5956970000,5860159000,6309166000,7314610000,7327302000,7210996000,6905029000,6993339000,7924989000,8536038000,8403610000
15,EBITDA,4112472000,4159172291,3609805789,6563339506,10674492306,12046275586,19618572380,17657357241,7350035000,2947658000,9721855000,9657977000,2548680000,14578326000,-1231068000,12755874000,12451937000,13831252000,14179015000,14875836000,13589495000
16,EBITDA ratio,0.2251,0.2601,0.2150,0.2823,0.3303,0.3245,0.3172,0.2315,0.0958,0.0419,0.0803,0.0662,0.0171,0.0860,-0.0087,0.1033,0.0864,0.0768,0.0787,0.0783,0.0731
17,Operating Income,4954364000,2958122220,2122193423,5078479462,8959971547,10084326278,17387520490,14930663080,1822664000,-3279436000,3401726000,3586607000,-4784570000,5455693000,10744270000,1769421000,4974322000,- -,- -,- -,6022585000
