,https://roic.ai/company/BLGO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6700000,9800000,9400000,7700000,4500000,1300000,2501061,1933233,2392142,1879071,833537,749842,- -,- -,- -,- -,- -,80000,- -,138133,156761,156189,65542,167946,111547,127582,281106,516213,1364000,1861000,2432000,2531000
2,COGS,5200000,7700000,7800000,6400000,5100000,- -,- -,- -,- -,22407,119183,119409,- -,20292,- -,- -,- -,- -,- -,114551,125484,44756,39781,29656,55999,62067,105877,322717,743000,945000,1204000,1428000
3,Gross Profit,1500000,2100000,1600000,1300000,-600000,- -,- -,- -,- -,1856664,714354,630433,- -,-20292,- -,- -,- -,80000,- -,23582,31277,111433,25761,138290,55548,65515,175229,193496,621000,916000,1228000,1103000
4,Gross Profit Ratio,0.2239,0.2143,0.1702,0.1688,-0.1333,- -,- -,- -,- -,0.9881,0.8570,0.8408,- -,-Infinity,- -,- -,- -,1.0000,- -,0.1707,0.1995,0.7134,0.3930,0.8234,0.4980,0.5135,0.6234,0.3748,0.4553,0.4922,0.5049,0.4358
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129522,131349,113748,170117,100564,99495,126023,742247,642923,684554,1381956,1629580,1719000,1472000,1338000,1367000
6,General and Administrative Exp.,500000,1100000,1600000,1600000,1400000,1100000,1376649,1688077,1727686,1771763,2595199,3973143,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4429100,5264000,6140000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",500000,1100000,1600000,1600000,1400000,1100000,1376649,1688077,1727686,1771763,2595199,3973143,2157289,2339264,971944,944807,1632856,2994516,4829061,3960570,4119728,3165202,4611940,2004777,2793119,3551522,3714398,4429100,5264000,6140000,7473000,6172000
9,Other Expenses,- -,- -,- -,- -,- -,100000,189347,186529,258133,-1317813,268462,3445253,-661868,8552,- -,- -,- -,738136,1109940,1116768,9564,7866,5430,10920,10920,10920,13736,29841,-181000,-281000,-248000,- -
10,Operating Expenses,500000,1100000,1600000,1600000,1400000,1200000,1565996,1874606,1985819,453950,2863661,7418396,1495421,2347816,971944,944807,1762378,3864001,6052749,5247455,4229856,3272563,4743393,2757944,3446962,4246996,5110090,6088521,6802000,7331000,8563000,7539000
11,COGS and Expenses,5700000,8800000,9400000,8000000,6500000,1200000,1565996,1874606,1985819,476357,2982844,7537805,1495421,2368108,971944,944807,1762378,3864001,6052749,5362006,4355340,3317319,4783174,2787600,3502961,4309063,5215967,6411238,7545000,8276000,9767000,8967000
12,Interest Income ,- -,- -,- -,- -,- -,- -,255930,- -,153507,- -,35957,135530,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344832,250704,242494,344882,1564312,1149986,1626230,1667555,793259,616354,- -,- -,- -,3129104,3862173,3494000,3996000,1923000,234000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,-100000,189347,186529,258133,197187,268462,- -,9938,- -,- -,- -,- -,738136,1109940,1116768,9564,7866,5430,10920,10920,10920,15887,29841,50000,65000,58000,119000
