,https://roic.ai/company/INVH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,658722000,836049000,922587000,1054456000,1722962000,1764685000,1822828000,1996615000
2,COGS,383164000,387421000,390820000,434839000,720896000,731601000,739156000,777759000
3,Gross Profit,275558000,448628000,531767000,619617000,1002066000,1033084000,1083672000,1218856000
4,Gross Profit Ratio,0.4183,0.5366,0.5764,0.5876,0.5816,0.5854,0.5945,0.6105
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,88177000,79428000,69102000,167739000,98764000,74274000,63305000,75815000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",88177000,79428000,69102000,167739000,98764000,74274000,63305000,75815000
9,Other Expenses,215808000,250239000,267681000,309578000,560541000,533719000,552530000,592135000
10,Operating Expenses,303985000,329667000,336783000,477317000,659305000,607993000,615835000,667950000
11,COGS and Expenses,687149000,717088000,727603000,912156000,1380201000,1339594000,1354991000,1445709000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),235812000,273736000,286048000,256970000,383595000,367173000,353923000,322661000
14,Depreciation and Amortization,215808000,250239000,267681000,309578000,560541000,533719000,552530000,592135000
15,EBITDA,181759000,363767000,475490000,461211000,939209000,1046355000,1102665000,1176221000
16,EBITDA ratio,0.2759,0.4351,0.5154,0.4374,0.5451,0.5929,0.6049,0.5891
17,Operating Income,-31823000,114377000,190777000,118207000,321942000,425091000,467837000,262776000
18,Operating Income ratio,-0.0483,0.1368,0.2068,0.1121,0.1869,0.2409,0.2567,0.1316
19,Total Other Income Expenses (Gains),-237803000,-276857000,-287606000,-257929000,-326955000,-277980000,-270388000,- -
20,Income Before Tax,-269626000,-162480000,-96829000,-139722000,-5013000,147111000,197449000,262776000
21,Income Before Tax Ratio,-0.4093,-0.1943,-0.1050,-0.1325,-0.0029,0.0834,0.1083,0.1316
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-269861000,-160208000,-78239000,-105337000,-4927000,145463000,196212000,261425000
24,Net Income ratio,-0.4097,-0.1916,-0.0848,-0.0999,-0.0029,0.0824,0.1076,0.1309
25,EPS,-0.89,-0.34,-0.26,-0.20,-0.01,0.27,0.35,0.46
26,EPS Diluted,-0.89,-0.34,-0.26,-0.20,-0.01,0.27,0.35,0.45
27,Weighted Average Shares Outstanding,302116760,302116760,302116760,519173142,520376929,531235962,553993321,577011178
28,Weighted Average Shares Outstanding Diluted,302116760,302116760,302116760,519173142,520376929,532499787,555458607,578571392
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687229/000168722918000018/0001687229-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722919000014/0001687229-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722920000004/0001687229-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722921000005/0001687229-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722922000002/0001687229-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,285596000,274818000,198119000,179878000,144940000,92258000,213422000,610166000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,285596000,274818000,198119000,179878000,144940000,92258000,213422000,610166000
34,Net Receivables,5577000,8846000,11604000,24525000,33117000,25244000,35256000,37473000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,312668000,247390000,290297000,333965000,401108000,343970000,286708000,332445000
37,Total Current Assets,603841000,531054000,500020000,538368000,579165000,461472000,535386000,980084000
38,PP&E,9521000,6980000,6247000,16595000,11792000,23593000,31700000,33570000
39,Goodwill,- -,- -,- -,258207000,258207000,258207000,258207000,258207000
