,https://roic.ai/company/VVNT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,1050441000,1155981000,1260730000,1479388000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,209257000,192182000,267130000,268312000
7,Selling and Marketing Exp.,- -,213386000,193359000,302547000,379497000
8,"Selling, General and Administrative Exp.",- -,422643000,385541000,569677000,647809000
9,Other Expenses,216690,869895000,912725000,923416000,985817000
10,Operating Expenses,216690,1292538000,1298266000,1493093000,1633626000
11,COGS and Expenses,216690,1292538000,1298266000,1493093000,1633626000
12,Interest Income ,- -,425000,23000,708000,532000
13,Interest Expense (Gain),- -,245214000,260014000,221175000,184993000
14,Depreciation and Amortization,- -,115908000,106155000,89618000,601452000
15,EBITDA,-216690,-113124000,-28442000,-172082000,483364000
16,EBITDA ratio,-Infinity,-0.1077,-0.0246,-0.1365,0.3267
17,Operating Income,-216690,-246780000,-142285000,-253304000,-154238000
18,Operating Income ratio,-Infinity,-0.2349,-0.1231,-0.2009,-0.1043
19,Total Other Income Expenses (Gains),- -,-227466000,-252326000,-229571000,-148843000
20,Income Before Tax,-216690,-474246000,-394611000,-482875000,-303081000
21,Income Before Tax Ratio,-Infinity,-0.4515,-0.3414,-0.3830,-0.2049
22,Income Tax expense (Gain),- -,-1611000,1313000,1365000,2471000
23,Net Income,-216690,-472635000,-395924000,-484240000,-305552000
24,Net Income ratio,-Infinity,-0.4499,-0.3425,-0.3841,-0.2065
25,EPS,-0.01,-3.05,-2.56,-2.39,-1.51
26,EPS Diluted,-0.01,-3.05,-2.56,-2.39,-1.51
27,Weighted Average Shares Outstanding,43125000,154730618,154730618,202216341,202216341
28,Weighted Average Shares Outstanding Diluted,43125000,154730618,154730618,202216341,202216341
