,https://roic.ai/company/GCMG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,378496000,416394000,429981000,531592000
2,COGS,210414000,242967000,- -,333837000
3,Gross Profit,168082000,173427000,429981000,197755000
4,Gross Profit Ratio,0.4441,0.4165,1.0000,0.3720
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,92955000,88458000,82374000,88351000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",92955000,88458000,82374000,88351000
9,Other Expenses,- -,- -,388465000,- -
10,Operating Expenses,92955000,88458000,470839000,88351000
11,COGS and Expenses,303369000,331425000,470839000,422188000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),26468000,25680000,23446000,20084000
14,Depreciation and Amortization,11663000,10338000,9818000,4020000
15,EBITDA,86790000,95307000,-34366000,56579000
16,EBITDA ratio,0.2293,0.2289,-0.0799,0.1064
17,Operating Income,75127000,84969000,-40858000,109404000
18,Operating Income ratio,0.1985,0.2041,-0.0950,0.2058
19,Total Other Income Expenses (Gains),-10047000,-22653000,-22266000,43658000
20,Income Before Tax,65080000,62316000,-63124000,153062000
21,Income Before Tax Ratio,0.1719,0.1497,-0.1468,0.2879
22,Income Tax expense (Gain),1395000,2318000,- -,10993000
23,Net Income,- -,- -,-67630000,21482000
24,Net Income ratio,- -,- -,-0.1573,0.0404
25,EPS,- -,- -,0.18,0.12
26,EPS Diluted,- -,- -,0.18,0.12
27,Weighted Average Shares Outstanding,39914862,39914862,40835093,184150108
28,Weighted Average Shares Outstanding Diluted,39914862,39914862,40835093,184150108
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1819796/000181979621000029/0001819796-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1819796/000181979622000006/0001819796-22-000006-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,79866000,198146000,96185000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,79866000,198146000,96185000
34,Net Receivables,- -,44893000,- -,125071000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -
37,Total Current Assets,- -,124759000,198146000,221256000
38,PP&E,- -,8871000,- -,5411000
39,Goodwill,- -,28959000,28959000,28959000
40,Intangible Assets,- -,16092000,8588000,6256000
41,Intangible Assets,- -,45051000,37547000,35215000
42,Investments,- -,159358000,166273000,226345000
43,Tax Assets,- -,126000,- -,68542000
