,https://roic.ai/company/KNWN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,2540000,9140000,7920000,8570000,7980000,6290790,6023600,4874360,4303300,1804960,121939,- -
2,COGS,- -,- -,- -,- -,- -,2100000,7570000,6340000,6720000,6690000,5274330,5035700,3966610,3481670,1378410,69726,- -
3,Gross Profit,- -,- -,- -,- -,- -,440000,1570000,1580000,1850000,1290000,1016460,987900,907750,821630,426550,52213,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.1732,0.1718,0.1995,0.2159,0.1617,0.1616,0.1640,0.1862,0.1909,0.2363,0.4282,- -
5,Research and Development Exp.,153579,468730,550000,550008,210000,90000,130000,180000,1170000,670000,362660,325800,79410,570510,1257870,2033726,3969972
6,General and Administrative Exp.,- -,- -,1020000,790000,680000,1380000,3690000,3620000,4580000,3180000,2983750,3355260,3088180,2448450,4095670,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1020000,790000,680000,1380000,3690000,3620000,4580000,3180000,2983750,3355260,3088180,2448450,4095670,- -,6476176
9,Other Expenses,702540,555041,-1004479,-548046,7048,-1984,5700,1655,-66,441,2,6,-7,60400,86019,4844415,- -
10,Operating Expenses,856119,1023771,565521,791962,897048,1468016,3825700,3801655,5749934,3850441,3346412,3681066,3167583,3079360,5439559,6878141,10446148
11,COGS and Expenses,856119,1023771,1570000,790000,900000,3560000,11400000,9750000,12470000,10540000,8654780,9994500,8117840,6390720,6462400,6947867,10446148
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,53561,143668,212571,463735,173248,104808,170157,323928,376974,1195329,2945312,6094682,14914065
14,Depreciation and Amortization,3087,16721,12844,83156,- -,89235,384919,356348,397871,418271,353229,178762,81283,132615,259347,242987,200807
15,EBITDA,-853032,-1007050,-1710000,-706844,-1000000,-927097,-1822510,-1939917,-6078881,-506921,-2078064,-1243810,-3442973,-1929656,-4407661,-7224972,-10245341
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3650,-0.1994,-0.2449,-0.7093,-0.0635,-0.3303,-0.2065,-0.7063,-0.4484,-2.4420,-59.2507,-Infinity
17,Operating Income,-856119,-1023771,-565521,-791962,-897048,-1020880,-2259491,-2221926,-3894327,-2561363,-2329952,-2693165,-3243476,-2257737,-5013012,-6825928,-10446148
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4019,-0.2472,-0.2805,-0.4544,-0.3210,-0.3704,-0.4471,-0.6654,-0.5247,-2.7774,-55.9782,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-1074479,-158038,-52952,-129120,-140509,-538074,-2735673,1541363,-271498,946665,-657754,-999863,-2599308,-6736713,-14914065
20,Income Before Tax,- -,- -,-1640000,-950000,-950000,-1150000,-2400000,-2760000,-6630000,-1020000,-2601450,-1746500,-3901230,-3257600,-7612320,-13562641,-25360213
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-0.4528,-0.2626,-0.3485,-0.7736,-0.1278,-0.4135,-0.2899,-0.8004,-0.7570,-4.2174,-111.2248,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-10000,-10000,-30000,-30000,-10000,29590,- -,- -,- -,- -,- -,- -
23,Net Income,-868643,-1032036,-1640000,-950000,-950000,-1150000,-2410000,-2730000,-6620000,-1020000,-2631040,-1746500,-3901230,-3257600,-7612320,-13562641,-25360213
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4528,-0.2637,-0.3447,-0.7725,-0.1278,-0.4182,-0.2899,-0.8004,-0.7570,-4.2174,-111.2248,-Infinity
25,EPS,-7.50,-9.00,-15.00,-7.50,-4.50,-6.00,-9.00,-6.00,-7.50,-1.50,-2.33,-1.22,-1.01,-0.38,-0.42,-0.62,-0.86
26,EPS Diluted,-7.50,-9.00,-15.00,-7.50,-4.50,-6.00,-9.00,-6.00,-7.50,-1.50,-2.33,-1.22,-1.01,-0.38,-0.42,-0.62,-0.86
27,Weighted Average Shares Outstanding,107272,109488,111121,120199,186696,204863,284566,437071,819603,1109019,1131622,1428763,3844840,8630891,18053848,21791058,29370596
28,Weighted Average Shares Outstanding Diluted,114839,109488,111121,120199,186696,204863,284566,437071,819603,1109019,1131622,1428763,3844840,8630891,18053848,21791058,29370596
