,https://roic.ai/company/AIRG,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,25509572,27793073,43433867,49521171,60625212,55739000,48502000,64273000
2,COGS,14132357,16148163,24156792,26218965,34114044,30415000,25917000,39666000
3,Gross Profit,11377215,11644910,19277075,23302206,26511168,25324000,22585000,24607000
4,Gross Profit Ratio,0.4460,0.4190,0.4438,0.4706,0.4373,0.4543,0.4657,0.3829
5,Research and Development Exp.,3311337,4257400,5622132,7319575,9319116,8989000,9157000,10920000
6,General and Administrative Exp.,2972257,3453288,4532151,8000602,9545306,8919000,10636000,13562000
7,Selling and Marketing Exp.,3516095,4035591,5670625,7012829,11032752,7036000,5976000,10209000
8,"Selling, General and Administrative Exp.",6488352,7488879,10202776,15013431,20578058,15955000,16612000,23771000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9799689,11746279,15824908,22333006,29897174,24944000,25769000,34691000
11,COGS and Expenses,23932046,27894442,39981700,48551971,64011218,55359000,51686000,74357000
12,Interest Income ,- -,- -,7803,296451,584735,714000,197000,26000
13,Interest Expense (Gain),42692,39489,178371,98711,30988,5000,197000,26000
14,Depreciation and Amortization,371603,472747,868697,1017633,1263412,1148000,1092000,3550000
15,EBITDA,4008766,242516,4788956,2283284,-1188377,2242000,-1717000,-8560000
16,EBITDA ratio,0.1571,0.0087,0.1103,0.0461,-0.0196,0.0402,-0.0354,-0.1332
17,Operating Income,850600,-330701,3452167,969200,-3386006,380000,-3184000,-12124000
18,Operating Income ratio,0.0333,-0.0119,0.0795,0.0196,-0.0559,0.0068,-0.0656,-0.1886
19,Total Other Income Expenses (Gains),2743871,60981,289721,197740,903229,709000,178000,-12000
20,Income Before Tax,3594471,-269720,3741888,1166940,-2482777,1089000,-3006000,-12136000
21,Income Before Tax Ratio,0.1409,-0.0097,0.0862,0.0236,-0.0410,0.0195,-0.0620,-0.1888
22,Income Tax expense (Gain),6171,622,8181,25685,101543,163000,273000,-2049000
23,Net Income,3588300,-270342,3733707,1141255,-2584320,926000,-3279000,-10087000
24,Net Income ratio,0.1407,-0.0097,0.0860,0.0230,-0.0426,0.0166,-0.0676,-0.1569
25,EPS,0.21,-0.03,0.65,0.12,-0.27,0.10,-0.34,-1.04
26,EPS Diluted,-0.28,-0.03,0.40,0.11,-0.27,0.09,-0.34,-1.04
27,Weighted Average Shares Outstanding,5633904,5559287,3373316,9485271,9520947,9684000,9714000,9714000
28,Weighted Average Shares Outstanding Diluted,5633904,5559287,4667503,10361373,9520947,10097000,9714000,9714000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1272842/000156459017004418/0001564590-17-004418-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459018005821/0001564590-18-005821-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459019008047/0001564590-19-008047-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459020007848/0001564590-20-007848-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000119312521049098/0001193125-21-049098-index.htm,https://www.sec.gov/Archives/edgar/data/1272842/000095017022004238/0000950170-22-004238-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,3590745,5335913,45161403,15026068,13620656,13197000,38173000,14511000
32,Short-Term Investments,- -,- -,- -,21287064,20168981,21686000,- -,- -
33,Cash and Short-Term Investments,3590745,5335913,45161403,36313132,33789637,34883000,38173000,14511000
34,Net Receivables,3512871,3731998,5154996,8418132,7013220,7656000,4782000,10757000
35,Inventory,- -,119733,146815,741557,1351104,1193000,1016000,8949000
36,Other Current Assets,180944,191502,349550,609786,931254,1379000,1462000,1272000
37,Total Current Assets,7284560,9379146,50812764,46082607,43085215,45111000,45433000,35489000
38,PP&E,1352664,1026784,807086,1036860,1400591,2108000,2377000,5475000
39,Goodwill,- -,1249956,1249956,3700447,3700447,3700000,3700000,10845000
40,Intangible Assets,- -,3482987,3109637,5128251,4451723,3797000,3168000,14229000
41,Intangible Assets,- -,4732943,4359593,8828698,8152170,7497000,6868000,25074000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
