,https://roic.ai/company/GDS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,468337000,703636000,1055960000,1616166000,2792077000,4122405000,5738972000,7818681000
2,COGS,388171000,514997000,790286000,1207694000,2169636000,3079679000,4188521000,6039252000
3,Gross Profit,80166000,188639000,265674000,408472000,622441000,1042726000,1550451000,1779429000
4,Gross Profit Ratio,0.1712,0.2681,0.2516,0.2527,0.2229,0.2529,0.2702,0.2276
5,Research and Development Exp.,1597000,3554000,9100000,7261000,13915000,21627000,40049000,39343000
6,General and Administrative Exp.,113711000,128714000,227370000,228864000,329601000,411418000,702524000,1021950000
7,Selling and Marketing Exp.,40556000,57588000,71578000,90118000,110570000,129901000,134937000,148614000
8,"Selling, General and Administrative Exp.",154267000,186302000,298948000,318982000,440171000,541319000,837461000,1170564000
9,Other Expenses,-4870000,-3915000,-2217000,-3062000,-3217000,-9898000,-27050000,- -
10,Operating Expenses,150994000,185941000,305831000,323181000,450869000,553048000,850460000,1209907000
11,COGS and Expenses,539165000,700938000,1096117000,1530875000,2620505000,3632727000,5038981000,7249159000
12,Interest Income ,6935000,1355000,2070000,5600000,19213000,53017000,29011000,- -
13,Interest Expense (Gain),131908000,126901000,265234000,412003000,656186000,968693000,1316506000,1604292000
14,Depreciation and Amortization,82753000,145406000,227355000,378130000,741507000,1142032000,1658886000,2616898000
15,EBITDA,80079000,161740000,207862000,457157000,958034000,1684292000,2429763000,3276433000
16,EBITDA ratio,0.1710,0.2299,0.1968,0.2829,0.3431,0.4086,0.4234,0.4191
17,Operating Income,-75698000,-1217000,-42374000,82229000,168355000,479780000,672941000,569522000
18,Operating Income ratio,-0.1616,-0.0017,-0.0401,0.0509,0.0603,0.1164,0.1173,0.0728
19,Total Other Income Expenses (Gains),-58884000,-109350000,-242353000,-415205000,-608014000,-906213000,-1221377000,-1518274000
20,Income Before Tax,-134582000,-110567000,-284727000,-332976000,-439659000,-426433000,-548436000,-948752000
21,Income Before Tax Ratio,-0.2874,-0.1571,-0.2696,-0.2060,-0.1575,-0.1034,-0.0956,-0.1213
22,Income Tax expense (Gain),-4583000,-11983000,-8315000,-6076000,-9391000,15650000,120778000,242461000
23,Net Income,-129999000,-98584000,-276412000,-326900000,-430268000,-442083000,-666407000,-1187218000
24,Net Income ratio,-0.2776,-0.1401,-0.2618,-0.2023,-0.1541,-0.1072,-0.1161,-0.1518
25,EPS,-2.04,-1.36,-10.80,-3.36,-3.44,-3.60,-4.72,-11.32
26,EPS Diluted,-2.04,-1.36,-10.80,-3.36,-3.44,-3.60,-4.72,-11.05
27,Weighted Average Shares Outstanding,151259476,74229530,37386742,98070796,123781995,137869171,156694940,104899000
28,Weighted Average Shares Outstanding Diluted,151259476,74229530,37386742,98070796,123781995,137869171,156694940,107486000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1526125/000110465918021281/0001104659-18-021281-index.html,https://www.sec.gov/Archives/edgar/data/1526125/000110465919014580/0001104659-19-014580-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,606758000,924498000,1811319000,1873446000,2161622000,5810938000,16259457000,9968109000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,606758000,924498000,1811319000,1873446000,2161622000,5810938000,16259457000,9968109000
34,Net Receivables,91615000,170693000,271809000,476721000,700318000,1009956000,1635955000,1961776000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,47458000,91508000,127185000,103861000,175456000,263815000,423394000,2533990000
37,Total Current Assets,745831000,1186699000,2210313000,2454028000,3037396000,7084709000,18318806000,14463875000
38,PP&E,1694944000,2512687000,4322891000,8165601000,13994945000,19981318000,32655761000,44653708000
39,Goodwill,1294664000,1294664000,1341087000,1570755000,1751970000,1905840000,2596393000,8359141000
40,Intangible Assets,83885000,74343000,119361000,374711000,1239449000,1141815000,1463512000,634953000
41,Intangible Assets,1378549000,1369007000,1460448000,1945466000,2991419000,3047655000,4059905000,8994094000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2363000,12626000,14305000,36974000,72931000,146088000,- -
44,Other Non-Current Assets,34750000,57516000,197588000,565167000,824509000,1305918000,2078235000,3520766000
45,Total Non-Current Assets,3108243000,3941573000,5993553000,10690539000,17847847000,24407822000,38939989000,57168568000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3854074000,5128272000,8203866000,13144567000,20885243000,31492531000,57258795000,71632443000
48,Accounts Payable,231814000,215658000,513543000,1110411000,1508020000,1675966000,3657112000,3901799000
49,Short-Term Debt,480670000,476963000,717071000,888427000,1450218000,1415349000,2494060000,6792897000
50,Tax Payable,12227000,23251000,26735000,20122000,43898000,121566000,142055000,- -
51,Deferred Revenue,43301000,46508000,40657000,55609000,77877000,96319000,96668000,- -
52,Other Current Liabilities,141845000,185920000,207950000,368624000,471764000,811880000,1395981000,2770547000
53,Total Current Liabilities,897630000,925049000,1479221000,2423071000,3507879000,3999514000,7643821000,13465243000
54,Long-Term Debt,739119000,2031718000,3573185000,5762809000,11342749000,15539246000,22135988000,30997460000
55,Deferred Revenue,- -,- -,- -,- -,- -,15419000,14871000,- -
56,Deferred Tax Liabilities,40724000,37691000,53280000,124277000,171878000,252672000,462007000,- -
