,https://roic.ai/company/DTEA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,73058000,108169000,141883000,180690000,215984000,224015000,212753000,196462000,121686000
2,COGS,32177000,48403000,64185000,85359000,107534000,116772000,114774000,87886000,71953000
3,Gross Profit,40881000,59766000,77698000,95331000,108450000,107243000,97979000,108576000,49733000
4,Gross Profit Ratio,0.5596,0.5525,0.5476,0.5276,0.5021,0.4787,0.4605,0.5527,0.4087
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,34158000,46432000,57573000,73639000,89917000,96553000,106857000,90748000,36211000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,30953000,7282000,4693000
8,"Selling, General and Administrative Exp.",34158000,46432000,57573000,73639000,89917000,96553000,137810000,98030000,40904000
9,Other Expenses,3180000,4745000,5447000,6180000,16967000,20226000,-21948000,19396000,2999000
10,Operating Expenses,37338000,51177000,63020000,79819000,106884000,116779000,115862000,117426000,43903000
11,COGS and Expenses,69515000,99580000,127205000,165178000,214418000,233551000,230636000,205312000,115856000
12,Interest Income ,- -,45000,- -,- -,479000,- -,- -,1034000,399000
13,Interest Expense (Gain),769000,1034000,1164000,611000,75000,79000,1302000,6962000,3229000
14,Depreciation and Amortization,3180000,4745000,5447000,6445000,16343000,9905000,8202000,19396000,7493000
15,EBITDA,1287000,2682000,12732000,-119707000,10515000,-16507000,-19153000,-6339000,-45210000
16,EBITDA ratio,0.0176,0.0248,0.0897,-0.6625,0.0487,-0.0737,-0.0900,-0.0323,-0.3715
17,Operating Income,3543000,7397000,11133000,15215000,-6306000,24687000,-27743000,-26730000,-53058000
18,Operating Income ratio,0.0485,0.0684,0.0785,0.0842,-0.0292,0.1102,-0.1304,-0.1361,-0.4360
19,Total Other Income Expenses (Gains),-6205000,-10494000,-5012000,-141978000,403000,-51178000,-914000,-5967000,-2874000
20,Income Before Tax,-2662000,-3097000,6121000,-126763000,-5903000,-26491000,-28657000,-32697000,-55932000
21,Income Before Tax Ratio,-0.0364,-0.0286,0.0431,-0.7015,-0.0273,-0.1183,-0.1347,-0.1664,-0.4596
22,Income Tax expense (Gain),1692000,3067000,-333000,4668000,-2235000,2010000,4882000,-1500000,- -
23,Net Income,-4354000,-6164000,6454000,-131431000,-3668000,-28501000,-33539000,-31197000,-55932000
24,Net Income ratio,-0.0596,-0.0570,0.0455,-0.7274,-0.0170,-0.1272,-0.1576,-0.1588,-0.4596
25,EPS,-0.19,-0.27,0.28,-6.65,-0.15,-1.11,-1.29,-1.20,-2.14
26,EPS Diluted,-0.19,-0.27,0.28,-6.65,-0.15,-1.11,-1.29,-1.20,-2.14
27,Weighted Average Shares Outstanding,23155571,23155571,23155571,19776946,24699290,25716186,25967836,26056332,26168848
28,Weighted Average Shares Outstanding Diluted,23155571,23155571,23155571,19776946,24699290,25716186,25967836,26056332,26168848
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627606/000147793221002796/0001477932-21-002796-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,15350000,19784000,72514000,64440000,63484000,42074000,46338000,30197000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15350000,19784000,72514000,64440000,63484000,42074000,46338000,30197000
34,Net Receivables,- -,1108000,3207000,3307000,4024000,6099000,7788000,7258000,6212000
35,Inventory,- -,11240000,12517000,17767000,31264000,24450000,34353000,22363000,23468000
36,Other Current Assets,- -,2888000,3050000,7935000,6113000,7712000,8819000,4542000,14470000
37,Total Current Assets,- -,30586000,38558000,101523000,105841000,101745000,93034000,80501000,74347000
38,PP&E,- -,29858000,35621000,47330000,51160000,36558000,23788000,52819000,2966000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1502000,1669000,2242000,2958000,4439000,5678000,6339000,3929000
41,Intangible Assets,- -,1502000,1669000,2242000,2958000,4439000,5678000,6339000,3929000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,3212000,- -,14375000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,7877000,- -,5194000,- -,- -,- -
45,Total Non-Current Assets,- -,31360000,40502000,57449000,68493000,46191000,29466000,59158000,6895000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,61946000,79060000,158972000,174334000,147936000,122500000,139659000,81242000
48,Accounts Payable,- -,10777000,12441000,10980000,19681000,11221000,20951000,16582000,1891000
49,Short-Term Debt,- -,3608000,4287000,- -,- -,- -,- -,16434000,396000
50,Tax Payable,- -,1183000,87000,62000,- -,- -,2700000,1244000,1244000
51,Deferred Revenue,- -,1401000,2634000,- -,4885000,- -,- -,6852000,7080000
52,Other Current Liabilities,- -,1213000,345000,7791000,2562000,13279000,9955000,4212000,102811000
53,Total Current Liabilities,- -,16999000,19707000,18771000,27128000,24500000,30906000,44080000,112178000
54,Long-Term Debt,- -,19141000,9094000,- -,- -,- -,- -,72230000,355000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,169000,357000,- -,- -,9998000,212000,- -,- -
57,Other Non-Current Liabilities,- -,34944000,49948000,6164000,13756000,12070000,23926000,- -,- -
58,Total Non-Current Liabilities,- -,54254000,59399000,6164000,13756000,22068000,24138000,72230000,355000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,88664000,751000
61,Total Liabilities,- -,71253000,79106000,24935000,40884000,46568000,55044000,116310000,112533000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,259205000,- -,111692000,112519000,112843000,113167000
64,Retained Earnings,- -,-10583000,-4129000,-138465000,-142398000,-14721000,-47960000,-92278000,-148068000
65,Other Comprehensive Income/Loss,- -,811000,2286000,6203000,3187000,1755000,1497000,1207000,1863000
66,Other Total Stockholders Equity,- -,- -,- -,891000,- -,887000,- -,- -,- -
67,Total Stockholders Equity,- -,-9307000,-46000,134037000,133450000,101368000,67456000,23349000,-31291000
68,Total Liabilities And Stockholders Equity,- -,61946000,79060000,158972000,174334000,147936000,122500000,139659000,81242000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,61946000,79060000,158972000,174334000,147936000,122500000,139659000,81242000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627606/000147793221002796/0001477932-21-002796-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-4354000,-6164000,6454000,-131431000,-3668000,-28501000,-33539000,-31197000,-55932000
74,Depreciation and Amortization,3180000,4745000,5447000,6445000,16343000,9905000,8202000,19396000,7493000
75,Deferred Income Tax,-98000,102000,-3024000,1364000,-4380000,3585000,5069000,- -,- -
76,Stock Based Compensation,237000,228000,947000,1749000,2264000,2021000,211000,813000,820000
77,Change in Working Capital,-4021000,5264000,63901000,-4039000,-9293000,-15117000,-25707000,19254000,-33828000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,13587000,18851000,82752000,78713000,- -,62128000,36421000,- -,- -
82,Other Non-Cash Items,5222000,10027000,-56759000,141504000,9896000,37965000,32536000,24842000,70178000
83,Cash Provided by Operating Activities,166000,14202000,16966000,15592000,11162000,9858000,-13228000,33108000,-11269000
84,CAPEX,-13409000,-8758000,-13153000,-18024000,-22015000,15069000,9960000,-3626000,-913000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1009000,-442000,-721000,- -,-1484000,-27665000,-18224000,-4620000,1565000
89,Cash Used for Investing Activites,-13409000,-8758000,-13153000,-18024000,-22015000,-12596000,-8264000,-5652000,1132000
90,Debt Repayment,-9094000,-12144000,-3689000,- -,- -,- -,- -,-23206000,-6007000
91,Common Stock Issued,- -,- -,40000,- -,2779000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-350000,- -,143000,- -,1782000,82000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26963000,14756000,4270000,55019000,- -,- -,- -,14000,4000
95,Cash Used/Provided by Financing Activities,17869000,2262000,621000,55162000,2779000,1782000,82000,-23192000,-6003000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4626000,7706000,4434000,52730000,-8074000,-956000,-21410000,4264000,-16140000
98,Cash at the End of Period,7644000,15350000,19784000,72514000,64440000,63484000,42074000,46338000,30198000
99,Cash at the Beginning of Period,3018000,7644000,15350000,19784000,72514000,64440000,63484000,42074000,46338000
100,Free Cash Flow,-13243000,5444000,3813000,-2432000,-10853000,-2738000,-21492000,29482000,-12182000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627606/000147793221002796/0001477932-21-002796-index.htm
102,Forex Rate,1.0025,0.8983,0.7854,0.7156,0.7673,0.7792,0.7593,0.7555,0.7824
