,https://roic.ai/company/NBEV,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,968943,1043648,- -,25301806,52188295,52160000,253708000,279471000
2,COGS,684591,879462,- -,19505580,39788384,42865000,101001000,101982000
3,Gross Profit,284352,164186,- -,5796226,12399911,9295000,152707000,177489000
4,Gross Profit Ratio,0.2935,0.1573,- -,0.2291,0.2376,0.1782,0.6019,0.6351
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,415091,1284302,- -,7838879,14608632,20288000,- -,113209000
7,Selling and Marketing Exp.,174014,155982,- -,1584104,3840332,2781000,- -,- -
8,"Selling, General and Administrative Exp.",589105,1440284,- -,9422983,18448964,23069000,- -,113209000
9,Other Expenses,- -,- -,- -,- -,- -,2310000,199325000,99133000
10,Operating Expenses,589105,1440284,- -,9422983,18448964,25379000,199325000,212342000
11,COGS and Expenses,1273696,2319746,- -,28928563,58237348,68244000,300326000,314324000
12,Interest Income ,- -,- -,- -,- -,- -,- -,-227000,- -
13,Interest Expense (Gain),- -,- -,- -,299080,228039,1068000,3904000,2383000
14,Depreciation and Amortization,103206,169402,77820,523748,1606338,2310000,8759000,8928000
15,EBITDA,-227136,-1080372,- -,-2810251,-1701549,-17684000,-64504000,-29928000
16,EBITDA ratio,-0.2344,-1.0352,- -,-0.1111,-0.0326,-0.3390,-0.2542,-0.1071
17,Operating Income,-304753,-1276098,- -,-3626757,-6049053,-19373000,-79999000,-34853000
18,Operating Income ratio,-0.3145,-1.2227,- -,-0.1433,-0.1159,-0.3714,-0.3153,-0.1247
19,Total Other Income Expenses (Gains),-25589,26324,- -,-6322,2513127,-1689000,2832000,-2596000
20,Income Before Tax,-330342,-1249774,- -,-3633079,-3535926,-21062000,-77167000,-37449000
21,Income Before Tax Ratio,-0.3409,-1.1975,- -,-0.1436,-0.0678,-0.4038,-0.3042,-0.1340
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-8927000,12668000,-1895000
23,Net Income,-330342,-1249774,- -,-3633079,-3535926,-12135000,-89835000,-39344000
24,Net Income ratio,-0.3409,-1.1975,- -,-0.1436,-0.0678,-0.2326,-0.3541,-0.1408
25,EPS,-0.03,-0.10,- -,-0.10,-0.12,-0.26,-1.16,-0.41
26,EPS Diluted,-0.03,-0.10,- -,-0.10,-0.12,-0.26,-1.16,-0.41
27,Weighted Average Shares Outstanding,12562720,12385640,18889608,18889608,30616506,46448000,77252000,96348000
28,Weighted Average Shares Outstanding Diluted,12562720,12385640,18889608,18889608,30616506,46448000,77252000,96348000
