,https://roic.ai/company/TNL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1556000000,2241000000,2652000000,3014000000,3335000000,3842000000,4360000000,4281000000,3750000000,3851000000,4254000000,4534000000,5009000000,5281000000,5536000000,5599000000,5076000000,3931000000,4043000000,2160000000,3134000000
2,COGS,- -,- -,- -,- -,1540000000,1791000000,2118000000,2031000000,1823000000,1876000000,2025000000,2093000000,2394000000,2504000000,2700000000,2732000000,2418000000,1913000000,1940000000,1233000000,1597000000
3,Gross Profit,- -,- -,- -,- -,1795000000,2051000000,2242000000,2250000000,1927000000,1975000000,2229000000,2441000000,2615000000,2777000000,2836000000,2867000000,2658000000,2018000000,2103000000,927000000,1537000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.5382,0.5338,0.5142,0.5256,0.5139,0.5129,0.5240,0.5384,0.5221,0.5258,0.5123,0.5121,0.5236,0.5134,0.5202,0.4292,0.4904
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,561000000,533000000,540000000,593000000,666000000,720000000,755000000,761000000,714000000,648000000,513000000,491000000,398000000,434000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,830000000,560000000,531000000,628000000,723000000,751000000,802000000,813000000,829000000,773000000,609000000,666000000,329000000,363000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1180000000,1227000000,1350000000,1391000000,1093000000,1071000000,1221000000,1389000000,1471000000,1557000000,1574000000,1543000000,1421000000,1122000000,1157000000,727000000,797000000
9,Other Expenses,- -,- -,- -,- -,1671000000,2038000000,2300000000,3720000000,2063000000,2062000000,2266000000,2293000000,2628000000,2783000000,2369000000,1491000000,1946000000,2286000000,2074000000,126000000,124000000
10,Operating Expenses,- -,- -,- -,- -,2851000000,3265000000,3650000000,5111000000,3156000000,3133000000,3487000000,3682000000,4099000000,4340000000,3943000000,3034000000,3367000000,3408000000,3231000000,853000000,921000000
11,COGS and Expenses,- -,- -,- -,- -,2715000000,3265000000,3634000000,3606000000,3094000000,3120000000,3424000000,3667000000,4081000000,4294000000,4508000000,4527000000,4052000000,3173000000,3218000000,2086000000,2518000000
12,Interest Income ,- -,- -,- -,- -,6000000,32000000,- -,12000000,7000000,5000000,24000000,8000000,9000000,10000000,9000000,8000000,7000000,5000000,7000000,7000000,3000000
13,Interest Expense (Gain),- -,- -,6000000,- -,- -,67000000,- -,80000000,114000000,167000000,152000000,132000000,131000000,113000000,125000000,136000000,156000000,170000000,162000000,192000000,198000000
14,Depreciation and Amortization,- -,- -,- -,- -,131000000,148000000,166000000,184000000,178000000,173000000,178000000,185000000,216000000,233000000,234000000,252000000,213000000,138000000,121000000,126000000,124000000
15,EBITDA,302000000,497000000,491000000,583000000,757000000,692000000,821000000,-623000000,785000000,903000000,980000000,946000000,1029000000,1191000000,1275000000,1327000000,1011000000,1110000000,981000000,40000000,746000000
16,EBITDA ratio,0.1941,0.2218,0.1851,0.1934,0.2270,0.1801,0.1883,-0.1455,0.2093,0.2345,0.2304,0.2086,0.2054,0.2255,0.2303,0.2370,0.1992,0.2824,0.2426,0.0185,0.2380
17,Operating Income,320000000,488000000,495000000,600000000,620000000,577000000,710000000,-830000000,594000000,718000000,767000000,852000000,910000000,941000000,1015000000,1057000000,712000000,523000000,812000000,-105000000,618000000
18,Operating Income ratio,0.2057,0.2178,0.1867,0.1991,0.1859,0.1502,0.1628,-0.1939,0.1584,0.1864,0.1803,0.1879,0.1817,0.1782,0.1833,0.1888,0.1403,0.1330,0.2008,-0.0486,0.1972
19,Total Other Income Expenses (Gains),23000000,22000000,5000000,-13000000,6000000,-35000000,-55000000,-57000000,-101000000,-155000000,-117000000,-224000000,-227000000,-96000000,-99000000,-117000000,-122000000,-127000000,-132000000,-171000000,-189000000
20,Income Before Tax,343000000,510000000,500000000,587000000,626000000,542000000,655000000,-887000000,493000000,563000000,650000000,628000000,683000000,845000000,916000000,940000000,590000000,396000000,680000000,-276000000,429000000
21,Income Before Tax Ratio,0.2204,0.2276,0.1885,0.1948,0.1877,0.1411,0.1502,-0.2072,0.1315,0.1462,0.1528,0.1385,0.1364,0.1600,0.1655,0.1679,0.1162,0.1007,0.1682,-0.1278,0.1369
22,Income Tax expense (Gain),- -,189000000,186000000,234000000,195000000,190000000,252000000,187000000,200000000,184000000,233000000,229000000,250000000,316000000,304000000,328000000,-229000000,130000000,191000000,-23000000,116000000
23,Net Income,302000000,308000000,299000000,349000000,431000000,287000000,403000000,-1074000000,293000000,379000000,417000000,400000000,432000000,529000000,612000000,611000000,871000000,672000000,507000000,-255000000,308000000
24,Net Income ratio,0.1941,0.1374,0.1127,0.1158,0.1292,0.0747,0.0924,-0.2509,0.0781,0.0984,0.0980,0.0882,0.0862,0.1002,0.1105,0.1091,0.1716,0.1709,0.1254,-0.1181,0.0983
25,EPS,1.50,1.54,1.49,1.74,1.64,1.45,2.22,-6.05,1.64,2.13,2.57,2.80,3.25,4.22,5.18,5.56,8.46,6.80,5.50,-2.97,3.58
26,EPS Diluted,1.50,1.54,1.49,1.74,1.61,1.44,2.20,-6.05,1.61,2.05,2.51,2.75,3.21,4.18,5.14,5.53,8.40,6.77,5.48,-2.97,3.58
27,Weighted Average Shares Outstanding,201960784,200000000,200671141,200574713,208000000,197931034,181531532,178000000,179000000,178000000,162000000,143000000,133000000,125000000,118000000,110000000,103000000,98900000,92100000,86100000,86100000
28,Weighted Average Shares Outstanding Diluted,201960784,200000000,200671141,200574713,212000000,199305556,183181818,178000000,182000000,185000000,166000000,145000000,135000000,127000000,119000000,111000000,104000000,99200000,92400000,86100000,86100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000095012309003581/0000950123-09-003581-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000136165814000005/0001361658-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165815000004/0001361658-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165816000028/0001361658-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165817000004/0001361658-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165818000003/0001361658-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165819000009/0001361658-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165820000012/0001361658-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165821000025/0001361658-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165822000013/0001361658-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,99000000,269000000,210000000,136000000,155000000,156000000,142000000,195000000,194000000,183000000,171000000,185000000,100000000,218000000,355000000,1196000000,369000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,16000000,25000000,45000000,35000000,48000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,99000000,269000000,210000000,136000000,155000000,156000000,142000000,195000000,194000000,183000000,171000000,199000000,116000000,243000000,400000000,1231000000,417000000
34,Net Receivables,- -,- -,- -,- -,1735000000,751000000,842000000,754000000,693000000,720000000,706000000,823000000,933000000,897000000,901000000,924000000,711000000,3227000000,3380000000,2694000000,2502000000
35,Inventory,- -,- -,- -,- -,446000000,520000000,586000000,414000000,354000000,348000000,351000000,379000000,346000000,302000000,295000000,315000000,340000000,1224000000,1199000000,1347000000,1216000000
36,Other Current Assets,- -,- -,- -,- -,288000000,512000000,418000000,610000000,538000000,528000000,531000000,469000000,467000000,485000000,502000000,374000000,1797000000,721000000,545000000,488000000,374000000
