,https://roic.ai/company/CRTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,9099000,10085000,30214000,61307000,60795000
6,General and Administrative Exp.,1271000,2034000,8954000,17586000,29523000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1271000,2034000,8954000,17586000,29523000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,10370000,12119000,39168000,78893000,90318000
11,COGS and Expenses,10370000,12119000,39168000,78893000,- -
12,Interest Income ,- -,806000,2188000,2044000,620000
13,Interest Expense (Gain),1643000,957000,- -,- -,- -
14,Depreciation and Amortization,45000,51000,188000,332000,344000
15,EBITDA,-10325000,-11262000,-38980000,-76517000,-89974000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-10370000,-12119000,-39168000,-78893000,-90318000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-1865000,-357000,2188000,2044000,373000
20,Income Before Tax,-12235000,-12476000,-36980000,-76849000,-89945000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-12235000,-12476000,-36980000,-76849000,-89945000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.57,-0.58,-1.94,-2.63,-3.02
26,EPS Diluted,-0.57,-0.58,-1.94,-2.63,-3.02
27,Weighted Average Shares Outstanding,21551160,21551160,19061856,29176232,29767376
28,Weighted Average Shares Outstanding Diluted,21551160,21551160,19061856,29176232,29767376
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662774/000156459020011165/0001564590-20-011165-index.html,https://www.sec.gov/Archives/edgar/data/1662774/000156459021009867/0001564590-21-009867-index.htm,https://www.sec.gov/Archives/edgar/data/1662774/000095017022002571/0000950170-22-002571-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,7343000,24873000,51214000,66841000,69724000
32,Short-Term Investments,- -,46844000,48650000,66979000,37078000
33,Cash and Short-Term Investments,7343000,71717000,99864000,133820000,106802000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,194000,868000,6192000,4042000,4871000
37,Total Current Assets,7537000,72585000,106056000,137862000,111673000
38,PP&E,122000,283000,1334000,1101000,1428000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,16763000,50464000,19933000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,59000,10000,217000,39000,194000
45,Total Non-Current Assets,181000,293000,18314000,51604000,21555000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,7718000,72878000,124370000,189466000,133228000
48,Accounts Payable,517000,495000,3075000,3555000,4911000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,1246000,962000,5817000,13441000,9311000
53,Total Current Liabilities,1763000,1457000,8892000,16996000,14222000
54,Long-Term Debt,7171000,- -,- -,208000,840000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,19064000,- -,- -,- -,-420000
58,Total Non-Current Liabilities,26235000,- -,- -,208000,420000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,208000,- -
61,Total Liabilities,27998000,1457000,8892000,17204000,14642000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,3000,22000,27000,29000,30000
64,Retained Earnings,-20349000,-32825000,-69805000,-146654000,-236599000
65,Other Comprehensive Income/Loss,- -,-49000,60000,313000,-79000
66,Other Total Stockholders Equity,66000,104273000,185196000,318574000,355234000
67,Total Stockholders Equity,-20280000,71421000,115478000,172262000,118586000
68,Total Liabilities And Stockholders Equity,7718000,72878000,124370000,189466000,133228000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7718000,72878000,124370000,189466000,133228000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662774/000156459020011165/0001564590-20-011165-index.html,https://www.sec.gov/Archives/edgar/data/1662774/000156459021009867/0001564590-21-009867-index.htm,https://www.sec.gov/Archives/edgar/data/1662774/000095017022002571/0000950170-22-002571-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-12235000,-12476000,-36980000,-76849000,-89945000
74,Depreciation and Amortization,45000,51000,188000,332000,344000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,38000,155000,2056000,14470000,29853000
77,Change in Working Capital,460000,65354000,26036000,23702000,-23415000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,223000,-23000,2580000,480000,1356000
81,Other Working Capital,5774000,71128000,97164000,120866000,97451000
82,Other Non-Cash Items,1865000,-64779000,-24577000,-12473000,20231000
83,Cash Provided by Operating Activities,-9827000,-11695000,-33277000,-50818000,-62932000
84,CAPEX,-77000,-212000,-55000,-52000,-180000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-55242000,-135415000,-187141000,-38789000
87,Sales/Maturities of Investments,- -,8700000,117723000,134762000,98799000
88,Other Investing Activites,- -,- -,- -,- -,-878000
89,Cash Used for Investing Activites,-77000,-46754000,-17747000,-52431000,58952000
90,Debt Repayment,- -,- -,-559000,-34000,- -
91,Common Stock Issued,- -,- -,77827000,117628000,6808000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,7750000,75928000,98000,1282000,- -
95,Cash Used/Provided by Financing Activities,7750000,75928000,77366000,118876000,6808000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,55000
97,Net Change In Cash,-2154000,17479000,26342000,15627000,2883000
98,Cash at the End of Period,7393000,24872000,51214000,66841000,69724000
99,Cash at the Beginning of Period,9547000,7393000,24872000,51214000,66841000
100,Free Cash Flow,-9904000,-11907000,-33332000,-50870000,-63112000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662774/000156459020011165/0001564590-20-011165-index.html,https://www.sec.gov/Archives/edgar/data/1662774/000156459021009867/0001564590-21-009867-index.htm,https://www.sec.gov/Archives/edgar/data/1662774/000095017022002571/0000950170-22-002571-index.htm
102,false,,,,,
