,https://roic.ai/company/USDP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,24875000,26301000,36098000,81763000,113167000,108805000,119226000,113656000,120043000,122098000
2,COGS,18504000,20374000,22012000,38757000,37225000,38881000,44376000,37598000,57114000,80094000
3,Gross Profit,6371000,5927000,14086000,43006000,75942000,69924000,74850000,76058000,62929000,42004000
4,Gross Profit Ratio,0.2561,0.2254,0.3902,0.5260,0.6711,0.6427,0.6278,0.6692,0.5242,0.3440
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10808000,14442000,18388000,18314000,24298000,34761000,18257000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,10808000,14442000,18388000,18314000,24298000,34761000,18257000,17202000
9,Other Expenses,3240000,4458000,- -,- -,- -,- -,- -,- -,18746000,- -
10,Operating Expenses,3240000,4458000,10808000,14442000,18388000,18314000,24298000,34761000,37003000,17202000
11,COGS and Expenses,21744000,24832000,35451000,59309000,78705000,79327000,89777000,93023000,94117000,97296000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),834000,1821000,4825000,4368000,9847000,9925000,11358000,12006000,8103000,5360000
14,Depreciation and Amortization,490000,502000,2631000,6110000,23092000,22132000,21103000,20664000,21496000,22075000
15,EBITDA,461927000,-2275000,-36000,33926000,57737000,52196000,50924000,39848000,9744000,49593000
16,EBITDA ratio,18.5699,-0.0865,-0.0010,0.4149,0.5102,0.4797,0.4271,0.3506,0.0812,0.4062
17,Operating Income,3131000,1469000,647000,22454000,32640000,31113000,29449000,20633000,-7663000,24802000
18,Operating Income ratio,0.1259,0.0559,0.0179,0.2746,0.2884,0.2860,0.2470,0.1815,-0.0638,0.2031
19,Total Other Income Expenses (Gains),-2050000,-3280000,-8139000,994000,-7330000,-11711000,-10986000,-13455000,-12192000,-2644000
20,Income Before Tax,1081000,-1811000,-7492000,23448000,25310000,19402000,18463000,7178000,-19855000,22158000
21,Income Before Tax Ratio,0.0435,-0.0689,-0.2075,0.2868,0.2237,0.1783,0.1549,0.0632,-0.1654,0.1815
22,Income Tax expense (Gain),26000,30000,186000,5755000,-759000,-1192000,-2669000,662000,-41000,700000
23,Net Income,460577000,-4628000,-7678000,17693000,25557000,21331000,21132000,6516000,-19814000,21458000
24,Net Income ratio,18.5157,-0.1760,-0.2127,0.2164,0.2258,0.1960,0.1772,0.0573,-0.1651,0.1757
25,EPS,21.83,-0.45,-0.37,0.78,1.07,0.86,0.81,0.25,-0.74,0.80
26,EPS Diluted,21.83,-0.45,-0.37,0.78,1.07,0.86,0.81,0.25,-0.74,0.80
27,Weighted Average Shares Outstanding,20677090,20677090,20897090,22595672,22695185,25898598,26140192,26504601,26844715,26844715
28,Weighted Average Shares Outstanding Diluted,20677090,20677090,20897090,22595672,22695185,25898598,26140192,26504601,26844715,26844715
