,https://roic.ai/company/QRHC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,9160,1145637,67504540,174453667,170139049,183811398,138346327,103805432,98979140,98660035,155715373
2,COGS,- -,- -,- -,- -,5386,36021,62430670,160185976,156498149,169401718,122633815,86942718,80253172,79604958,126893706
3,Gross Profit,- -,- -,- -,- -,3774,1109616,5073870,14267691,13640900,14409680,15712512,16862714,18725968,19055077,28821667
4,Gross Profit Ratio,- -,- -,- -,- -,0.4120,0.9686,0.0752,0.0818,0.0802,0.0784,0.1136,0.1624,0.1892,0.1931,0.1851
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4500,57277,311991,680861,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,11739,47787,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4500,57277,323730,728648,6848782,- -,- -,- -,- -,- -,- -,- -,- -,21728886
9,Other Expenses,- -,- -,- -,- -,- -,68576,14493063,18210668,20868555,22214468,21064758,18863962,18130498,18304808,2469425
10,Operating Expenses,- -,- -,57277,323730,728648,6917358,14493063,18210668,20868555,22214468,21064758,18863962,18130498,18304808,24198311
11,COGS and Expenses,- -,4500,57277,323730,734034,6953379,76923733,178396644,177366704,191616186,143698573,105806680,98383670,97909766,151092017
12,Interest Income ,- -,- -,- -,7394,18129,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,63681,48530,996924,4196279,4296170,218275,240798,468030,437733,431628,701932,-2495130
14,Depreciation and Amortization,- -,- -,- -,- -,1200,68576,1817802,3827128,4571743,4169374,4157261,2885212,1401783,1276431,2469425
15,EBITDA,- -,-4500,-57277,296310,-705545,-40144939,-11785270,-1774380,-2655912,-3635414,-1194985,883964,1997253,3266736,1986521
16,EBITDA ratio,- -,-Infinity,-Infinity,Infinity,-77.0246,-35.0416,-0.1746,-0.0102,-0.0156,-0.0198,-0.0086,0.0085,0.0202,0.0331,0.0128
17,Operating Income,- -,-4500,-57277,-943770,-724874,-23444717,-12805388,-3942977,-7227655,-7804788,-5352246,-2001248,595470,750269,4623356
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-79.1347,-20.4644,-0.1897,-0.0226,-0.0425,-0.0425,-0.0387,-0.0193,0.0060,0.0076,0.0297
19,Total Other Income Expenses (Gains),- -,- -,- -,-620040,-30401,-17765722,-4993963,-5954701,-218275,-240798,-468030,-437733,-431628,538104,-2611130
20,Income Before Tax,- -,- -,- -,- -,-755275,-41210439,-17799351,-9897678,-7445930,-8045586,-5820276,-2438981,163842,1288373,2012226
21,Income Before Tax Ratio,- -,- -,- -,- -,-82.4536,-35.9716,-0.2637,-0.0567,-0.0438,-0.0438,-0.0421,-0.0235,0.0017,0.0131,0.0129
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,941054,- -,- -,- -,- -,- -,- -,219082,254004,321169
23,Net Income,- -,-4500,-57277,-1000057,-755275,-42151493,-17799351,-9897678,-7445930,-8045586,-5820276,-2438981,-55240,1034369,1691057
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-82.4536,-36.7931,-0.2637,-0.0567,-0.0438,-0.0438,-0.0421,-0.0235,-0.0006,0.0105,0.0109
25,EPS,- -,-2.80,-0.40,-2.00,-0.80,-5.92,-1.84,-0.80,-0.56,-0.55,-0.38,-0.16,-0.00,0.05,0.09
26,EPS Diluted,- -,-2.80,-0.40,-2.00,-0.80,-5.92,-1.84,-0.80,-0.56,-0.55,-0.38,-0.16,-0.00,0.05,0.08
