,https://roic.ai/company/DIGP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,95908,391700,567192,485870,16084,818583,1898172,2839916,2552600,2574399,2503800
2,COGS,- -,222216,303954,297529,85551,380036,904166,2069837,1712788,1778564,1788635
3,Gross Profit,95908,169484,263238,188341,-69467,438547,994006,770079,839812,795835,715165
4,Gross Profit Ratio,1.0000,0.4327,0.4641,0.3876,-4.3190,0.5357,0.5237,0.2712,0.3290,0.3091,0.2856
5,Research and Development Exp.,- -,- -,- -,- -,143766,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,113025,- -,574822,3008907,3228221,2802062,2259034,2546128,2552310,2266138,1515778
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",113025,- -,574822,3008907,3228221,2802062,2259034,2546128,2552310,2266138,1515778
9,Other Expenses,- -,479153,- -,- -,- -,518955,42180,- -,- -,- -,- -
10,Operating Expenses,113025,479153,574822,3008907,3371987,3321017,2301214,2546128,2552310,2266138,1515778
11,COGS and Expenses,113025,701369,878776,3306436,3457538,3701053,3205380,4615965,4265098,4044702,3304413
12,Interest Income ,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,929
13,Interest Expense (Gain),10432,16022,18063,11636,- -,- -,- -,- -,65670,148024,144957
14,Depreciation and Amortization,1839,33110,27212,4586,83725,244580,253535,277294,260645,323391,292133
15,EBITDA,-15278,-276559,-284372,-2815980,-4248604,-3454439,-811605,-1376363,-1479017,-1838075,-249413
16,EBITDA ratio,-0.1593,-0.7060,-0.5014,-5.7957,-264.1510,-4.2200,-0.4276,-0.4846,-0.5794,-0.7140,-0.0996
17,Operating Income,-17117,-309669,-311584,-2820566,-3441454,-2882470,-1307208,-1758769,-1843138,-2192382,-772448
18,Operating Income ratio,-0.1785,-0.7906,-0.5493,-5.8052,-213.9675,-3.5213,-0.6887,-0.6193,-0.7221,-0.8516,-0.3085
19,Total Other Income Expenses (Gains),-10432,-16022,-18063,-11636,-272303,-816549,242068,105112,37806,-117108,85945
20,Income Before Tax,-27549,-325691,-329647,-2832202,-3713757,-3699019,-1065140,-1653657,-1805332,-2309490,-686503
21,Income Before Tax Ratio,-0.2872,-0.8315,-0.5812,-5.8291,-230.8976,-4.5188,-0.5611,-0.5823,-0.7073,-0.8971,-0.2742
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-27549,-325691,-329647,-2832202,-4332329,-3699019,-1065140,-1653657,-1805332,-2309490,-686503
24,Net Income ratio,-0.2872,-0.8315,-0.5812,-5.8291,-269.3564,-4.5188,-0.5611,-0.5823,-0.7073,-0.8971,-0.2742
25,EPS,-0.10,-0.60,-0.60,-1.20,-0.37,-0.20,-0.04,-0.04,-0.04,-0.04,-0.01
26,EPS Diluted,-0.10,-0.60,-0.60,-1.20,-0.37,-0.20,-0.04,-0.04,-0.04,-0.04,-0.01
27,Weighted Average Shares Outstanding,519244,547208,553138,2447105,9906468,18438048,29321193,39079547,46178953,53455848,65868108
28,Weighted Average Shares Outstanding Diluted,519244,547208,553138,2447105,9906468,18438048,29321193,39079547,46178953,53455848,65868108
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1502966/000130841111000111/0001308411-11-000111-index.html,- -,https://www.sec.gov/Archives/edgar/data/1502966/000130841113000317/0001308411-13-000317-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315214003959/0001493152-14-003959-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315216006768/0001493152-16-006768-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217000298/0001493152-17-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217015312/0001493152-17-015312-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315218018010/0001493152-18-018010-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315219019894/0001493152-19-019894-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315221002057/0001493152-21-002057-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315221032711/0001493152-21-032711-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,170561,195571,51063,5102620,481095,135390,178177,176027,323739,82749,295932
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,170561,195571,51063,5102620,481095,135390,178177,176027,323739,82749,295932
34,Net Receivables,31077,77412,43596,123045,6146,98441,266613,167734,179256,247667,445829
35,Inventory,- -,49341,158963,285255,192561,- -,- -,- -,- -,- -,- -
