,https://roic.ai/company/AQN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,94117,5331124,13367810,31005669,28247214,60193355,118927026,133531036,154403306,172799417,187998586,175674610,178841562,182852744,270948090,371809254,634213023,812811192,740694968,815428912,1572810338,1647387000,1624921000,1677058000,2285479000
2,COGS,- -,1181517,3158120,8188730,9314816,25336814,62216122,78203870,91864129,96383837,100286782,98996713,98114793,97835346,156274241,120883970,247293782,362563961,271582990,219712075,405884692,484138000,443304000,401008000,719100000
3,Gross Profit,- -,4149607,10209690,22816939,18932399,34856540,56710905,55327167,62539177,76415580,87711805,76677896,80726769,85017397,114673849,250925284,386919241,450247231,469111977,595716837,1166925646,1163249000,1181617000,1276050000,1566379000
4,Gross Profit Ratio,- -,0.7784,0.7638,0.7359,0.6702,0.5791,0.4769,0.4143,0.4050,0.4422,0.4666,0.4365,0.4514,0.4650,0.4232,0.6749,0.6101,0.5539,0.6333,0.7306,0.7419,0.7061,0.7272,0.7609,0.6854
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,117296,198219,874110,866289,497494,3119462,4300686,4655032,4891510,6875429,8545895,8473295,9941744,14883619,17173359,19709900,22087399,29884741,29311302,34483297,51265209,56624000,56802000,86201000,83039000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",117296,198219,874110,866289,497494,3119462,4300686,4655032,4891510,6875429,8545895,8473295,9941744,14883619,17173359,19709900,22087399,29884741,29311302,34483297,51265209,56624000,56802000,86201000,83039000
9,Other Expenses,1623564,2699032,6464687,14176059,16027211,40097567,73642203,105560085,121178750,130032601,136148642,39329499,42607201,46037634,60425073,185826724,267785531,301527316,308690702,386801577,735669980,733238000,756293000,846303000,1105091000
10,Operating Expenses,1740860,2897251,7338797,15042347,16524705,43217028,77942889,110215116,126070260,136908030,144694537,47802794,52548945,60921253,77598433,205536624,289872930,331412057,338002003,421284875,786935189,789862000,813095000,932504000,1188130000
11,COGS and Expenses,1740860,4078768,10496917,23231077,25839521,68553843,140159010,188418986,217934390,233291867,244981319,146799507,150663738,158756599,233872674,326420594,537166712,693976018,609584994,640996950,1192819881,1274000000,1256399000,1333512000,1907230000
12,Interest Income ,- -,- -,- -,2497000,- -,- -,6608000,- -,11398000,10861000,- -,5770748,6108299,1137818,5542605,7276620,7311438,6682976,6554057,7866230,9533996,53139000,- -,13313000,20776000
13,Interest Expense (Gain),- -,- -,- -,8947000,- -,- -,11631000,- -,16379000,22289000,- -,21600657,20083087,25607903,29814887,36127781,50100022,53768758,47556010,97903430,161137972,152118000,181488000,181934000,209554000
14,Depreciation and Amortization,20140,1215312,2483550,6206069,6828603,13992162,25685357,30410767,30245393,34059712,44031102,36956450,45091204,49476084,47030362,57002704,93042629,99408197,109265758,145637229,261847316,281163000,284304000,314123000,402963000
15,EBITDA,-1678322,3291740,7469983,25149734,11289087,25065584,68238571,51279385,67626632,77959041,83189942,43166804,87135899,74495081,77180215,94101505,170802145,232866151,272980997,368575999,652240159,671641000,1066793000,1343103000,833951000
16,EBITDA ratio,-17.8322,0.6175,0.5588,0.8111,0.3997,0.4164,0.5738,0.3840,0.4380,0.4512,0.4425,0.2457,0.4872,0.4074,0.2849,0.2531,0.2693,0.2865,0.3685,0.4520,0.4147,0.4077,0.6565,0.8009,0.3649
17,Operating Income,-1646743,2433873,6029013,15963321,11722509,16976326,40984138,23315920,28333046,35891386,43304049,28875103,28177824,24096145,37075416,45952575,97578820,119793084,133005931,174756343,379693837,377359000,365376000,384093000,419254000
18,Operating Income ratio,-17.4967,0.4565,0.4510,0.5149,0.4150,0.2820,0.3446,0.1746,0.1835,0.2077,0.2303,0.1644,0.1576,0.1318,0.1368,0.1236,0.1539,0.1474,0.1796,0.2143,0.2414,0.2291,0.2249,0.2290,0.1834
19,Total Other Income Expenses (Gains),- -,142328,-1042580,-5966656,-7262026,-5324237,-8969208,-1767681,-7330808,-13030199,-3447440,-46847165,-3602330,-24241121,-32900098,-36366012,-40619101,-57383319,-39145631,-78401905,-199940358,-244898000,189691000,408318000,-277022000
20,Income Before Tax,- -,- -,4986433,9996666,4460483,11652089,32014929,21548239,21002239,22861187,39856609,-17972062,24575494,-144977,4175318,9586563,56959719,62409765,93860300,96354438,179753479,132461000,555067000,792411000,142232000
21,Income Before Tax Ratio,- -,- -,0.3730,0.3224,0.1579,0.1936,0.2692,0.1614,0.1360,0.1323,0.2120,-0.1023,0.1374,-0.0008,0.0154,0.0258,0.0898,0.0768,0.1267,0.1182,0.1143,0.0804,0.3416,0.4725,0.0622
22,Income Tax expense (Gain),- -,- -,8976,1084361,148871,814960,-3399215,1900777,2242122,-2373027,15255983,253081,-37684080,-20224764,-22565132,-13636501,8598101,14478059,31500551,27628897,75700994,53372000,70117000,64583000,-43425000
23,Net Income,-1698463,2076428,4977457,8912304,4311612,10258462,34321429,18967841,18760117,23983356,23902858,-15643385,59645688,19635858,22900098,14607521,19061394,65211137,84658677,97406443,153553877,184988000,530884000,782463000,264859000
24,Net Income ratio,-18.0462,0.3895,0.3723,0.2874,0.1526,0.1704,0.2886,0.1420,0.1215,0.1388,0.1271,-0.0890,0.3335,0.1074,0.0845,0.0393,0.0301,0.0802,0.1143,0.1195,0.0976,0.1123,0.3267,0.4666,0.1159
25,EPS,-0.21,0.19,0.26,0.36,0.11,0.18,0.51,0.27,0.27,0.33,0.32,-0.21,0.75,0.21,0.20,0.09,0.07,0.27,0.30,0.33,0.38,0.38,1.05,1.38,0.47
26,EPS Diluted,-0.21,0.19,0.26,0.36,0.11,0.18,0.51,0.27,0.27,0.33,0.31,-0.21,0.75,0.21,0.20,0.09,0.07,0.27,0.30,0.33,0.37,0.38,1.04,1.37,0.47
27,Weighted Average Shares Outstanding,8101667,11017241,19483784,24748148,40376471,57678571,67434848,69096970,70283871,70542323,73971875,75265940,78629118,94338193,116712934,158304340,204350689,213953870,253172088,271832430,382323434,461818023,499910876,559633275,559633275
28,Weighted Average Shares Outstanding Diluted,8101667,11017241,19483784,27020472,42085472,57678571,67887612,69096970,70283871,70542323,76358065,77308043,80128340,94338193,116962788,158909621,205331386,216341592,256516720,274077032,385986148,466045618,499910876,564373836,564373836
