,https://roic.ai/company/LIZI,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,453529000,798561000,1180597000,1502908000,2119514000
2,COGS,330822000,565634000,910155000,1134678000,1502505000
3,Gross Profit,122707000,232927000,270442000,368230000,617009000
4,Gross Profit Ratio,0.2706,0.2917,0.2291,0.2450,0.2911
5,Research and Development Exp.,43189000,83209000,158015000,225329000,264706000
6,General and Administrative Exp.,22645000,26702000,45714000,88856000,104617000
7,Selling and Marketing Exp.,206795000,135014000,208550000,142734000,386204000
8,"Selling, General and Administrative Exp.",229440000,161716000,254264000,231590000,490821000
9,Other Expenses,-2033000,-3626000,-9452000,-12870000,-13496000
10,Operating Expenses,270596000,241299000,402827000,444049000,742031000
11,COGS and Expenses,601418000,806933000,1312982000,1578727000,2244536000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1103000
14,Depreciation and Amortization,5870000,9762000,12535000,19270000,- -
15,EBITDA,-147795000,420000,-120422000,-61915000,-125771000
16,EBITDA ratio,-0.3259,0.0005,-0.1020,-0.0412,-0.0593
17,Operating Income,-149922000,-8372000,-141837000,-88689000,-138518000
18,Operating Income ratio,-0.3306,-0.0105,-0.1201,-0.0590,-0.0654
19,Total Other Income Expenses (Gains),-3743000,-970000,8880000,7504000,11644000
20,Income Before Tax,-153665000,-9342000,-132957000,-81185000,-126874000
21,Income Before Tax Ratio,-0.3388,-0.0117,-0.1126,-0.0540,-0.0599
22,Income Tax expense (Gain),- -,- -,- -,999000,376000
23,Net Income,-153665000,-9342000,-132957000,-82184000,-127250000
24,Net Income ratio,-0.3388,-0.0117,-0.1126,-0.0547,-0.0600
25,EPS,-10.83,-0.20,-23.47,-5.40,-2.88
26,EPS Diluted,-10.83,-0.20,-23.47,-5.40,-2.88
27,Weighted Average Shares Outstanding,41451804,41451804,45733054,44160121,44160121
28,Weighted Average Shares Outstanding Diluted,41451804,41451804,45733054,44160121,44160121
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,206509000,205604000,82709000,315459000,533293000
32,Short-Term Investments,- -,- -,- -,73022000,- -
33,Cash and Short-Term Investments,206509000,205604000,82709000,388481000,533293000
34,Net Receivables,14587000,6920000,6425000,11155000,6458000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,9960000,5489000,15328000,20272000,37759000
37,Total Current Assets,231056000,218013000,104462000,419908000,577510000
38,PP&E,8865000,17195000,32387000,38800000,62332000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,2126000,1451000,1701000,2929000,- -
41,Intangible Assets,2126000,1451000,1701000,2929000,2245000
42,Investments,500000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2133000,2181000,799000
45,Total Non-Current Assets,11491000,18646000,36221000,43910000,65376000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,242547000,236659000,140683000,463818000,642886000
48,Accounts Payable,52454000,76715000,72299000,78267000,80793000
49,Short-Term Debt,- -,- -,- -,43217000,82928000
50,Tax Payable,1213000,4884000,2631000,5809000,5564000
51,Deferred Revenue,5878000,10668000,14530000,17001000,20657000
52,Other Current Liabilities,96677000,68431000,105295000,150144000,182125000
53,Total Current Liabilities,155009000,155814000,192124000,288629000,366503000
54,Long-Term Debt,- -,- -,- -,587000,17076000
55,Deferred Revenue,- -,- -,- -,- -,- -
