,https://roic.ai/company/VNUE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37830,82880,206160,22474
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35150,111090,211030,8509
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2680,-28210,-4870,13965
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0708,-0.3404,-0.0236,0.6214
5,Research and Development Exp.,- -,- -,- -,320000,- -,10000,20000,150000,10000,97514,550260,1108980,118930,12370,12400,- -
6,General and Administrative Exp.,- -,- -,- -,- -,478613,235132,263140,873531,377173,158819,2400578,1203880,890672,957141,1177756,601022
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,478613,235132,263140,873531,377173,158819,2400578,1203880,890672,957141,1177756,601022
9,Other Expenses,- -,6416,315505,934419,- -,-10000,-20000,-150000,-10000,- -,2,-2,4,-1,4,- -
10,Operating Expenses,- -,6416,315505,1254419,478613,235132,263140,873531,377173,256333,2950840,2312858,1009606,969510,1190160,601022
11,COGS and Expenses,- -,10000,1660000,4760000,480000,250000,280000,1030000,390000,256333,4122800,2344390,637020,1402700,2030580,609531
12,Interest Income ,- -,- -,560,1642,74,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1487,5841,39539,12721,- -,- -,- -,163619,110963,444663,838295,1488121,755232,1469037
14,Depreciation and Amortization,- -,- -,- -,14448,- -,57,676,1160,1692,17700,70800,- -,29167,185976,101032,4468
15,EBITDA,- -,-10000,-1660000,-4750000,-680000,-260000,-280000,-1030000,-390000,-238633,-4411720,-2851530,-326098,-682183,-543836,-3080272
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.6201,-8.2310,-2.6379,-137.0594
17,Operating Income,- -,-6416,-317897,-1574077,- -,-240982,-278821,-1028220,-388084,-256333,-4122802,-2312858,-1006932,-1201880,-1327427,-587058
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-26.6173,-14.5014,-6.4388,-26.1217
19,Total Other Income Expenses (Gains),- -,-3584,-1342103,-3195923,-60000,-9018,-1179,-1780,-1916,-130415,-144458,-285102,-186628,-1154400,-72673,-3966718
20,Income Before Tax,- -,-10000,-1660000,-4770000,-540000,-250000,-280000,-1030000,-390000,-386748,-4267260,-2597960,-1193560,-2356280,-1400100,-4553776
