,https://roic.ai/company/SIF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,59300000,61300000,63100000,66700000,62000000,68100000,65300000,57600000,51900000,61400000,68100000,85400000,108800000,123200000,115500000,106138000,105633000,80033000,79939000,87393000,80968000,86989000,87255000,101391000,93888000,83270000,107357000,125106000,116001000,119654000,109301000,119121000,121458000,111212000,112454000,113573000,99591000
2,COGS,49700000,48200000,48400000,51000000,46200000,49800000,49800000,46900000,41500000,47200000,51500000,64100000,81400000,93500000,93200000,86145000,86761000,76331000,72380000,77992000,74515000,77390000,65835000,79161000,69947000,63529000,80916000,97025000,87986000,93729000,93569000,107039000,108094000,101110000,101817000,93611000,88386000
3,Gross Profit,9600000,13100000,14700000,15700000,15800000,18300000,15500000,10700000,10400000,14200000,16600000,21300000,27400000,29700000,22300000,19993000,18872000,3702000,7559000,9401000,6453000,9599000,21420000,22230000,23941000,19741000,26441000,28081000,28015000,25925000,15732000,12082000,13364000,10102000,10637000,19962000,11205000
4,Gross Profit Ratio,0.1619,0.2137,0.2330,0.2354,0.2548,0.2687,0.2374,0.1858,0.2004,0.2313,0.2438,0.2494,0.2518,0.2411,0.1931,0.1884,0.1787,0.0463,0.0946,0.1076,0.0797,0.1103,0.2455,0.2193,0.2550,0.2371,0.2463,0.2245,0.2415,0.2167,0.1439,0.1014,0.1100,0.0908,0.0946,0.1758,0.1125
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,12300000,14200000,13200000,12800000,12357000,12960000,15952000,12172000,14381000,12212000,13519000,11173000,12495000,11465000,11860000,13582000,15846000,12262000,15680000,19167000,17359000,17773000,15216000,15274000,14022000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8300000,7800000,8700000,8900000,9400000,9600000,9700000,10600000,18700000,10800000,11100000,12300000,14200000,13200000,12800000,12357000,12960000,15952000,12172000,14381000,12212000,13519000,11173000,12495000,11465000,11860000,13582000,15846000,12262000,15680000,19167000,17359000,17773000,15216000,15274000,14022000,13484000
9,Other Expenses,2600000,2800000,3000000,2900000,2300000,2400000,2700000,2900000,2800000,3000000,3400000,3600000,3700000,4100000,4600000,4587000,- -,- -,- -,- -,- -,-4352000,-137000,757000,- -,- -,2004000,2879000,2076000,2161000,2245000,2593000,2168000,1705000,1648000,1497000,1011000
10,Operating Expenses,10900000,10600000,11700000,11800000,11700000,12000000,12400000,13500000,21500000,13800000,14500000,15900000,17900000,17300000,17400000,16944000,12960000,15952000,12172000,14381000,12212000,9167000,11036000,13252000,11465000,11860000,15586000,18725000,14338000,17841000,21412000,19952000,19941000,16921000,16922000,15519000,14495000
