,https://roic.ai/company/RCUS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,1413000,8353000,15000000,77517000,382882000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,77517000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,14247000,47218000,49646000,78481000,159348000,256348000
6,General and Administrative Exp.,3935000,7636000,13566000,25228000,42404000,72286000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3935000,7636000,13566000,25228000,42404000,72286000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18182000,54854000,63212000,103709000,201752000,328634000
11,COGS and Expenses,18182000,54854000,63212000,103709000,201752000,328634000
12,Interest Income ,212000,359000,4922000,5201000,1377000,657000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,260000
14,Depreciation and Amortization,1314000,2612000,3664000,3578000,4191000,3843000
15,EBITDA,-16868000,-50470000,-45930000,-81132000,-118667000,58748000
16,EBITDA ratio,-Infinity,-35.7183,-5.4986,-5.4088,-1.5309,0.1534
17,Operating Income,-18182000,-53441000,-54859000,-88709000,-124235000,54248000
18,Operating Income ratio,-Infinity,-37.8209,-6.5676,-5.9139,-1.6027,0.1417
19,Total Other Income Expenses (Gains),212000,359000,5265000,3999000,1377000,397000
20,Income Before Tax,-17970000,-53082000,-49594000,-84710000,-122858000,54645000
21,Income Before Tax Ratio,-Infinity,-37.5669,-5.9373,-5.6473,-1.5849,0.1427
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1815000
23,Net Income,-17970000,-53082000,-49594000,-84710000,-122858000,52830000
24,Net Income ratio,-Infinity,-37.5669,-5.9373,-5.6473,-1.5849,0.1380
25,EPS,-0.73,-2.16,1.43,-1.93,-2.24,0.00
26,EPS Diluted,-0.73,-2.16,1.43,-1.93,-2.24,0.00
27,Weighted Average Shares Outstanding,24554674,24554674,34618237,43825991,54787118,70110138
28,Weighted Average Shares Outstanding Diluted,24554674,24554674,34618237,43825991,54787118,70110138
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724521/000156459019006274/0001564590-19-006274-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459020008972/0001564590-20-008972-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459021008270/0001564590-21-008270-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000095017022001788/0000950170-22-001788-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,65160000,98426000,71064000,57937000,173415000,147914000
32,Short-Term Investments,33736000,77277000,185480000,130333000,555231000,351394000
33,Cash and Short-Term Investments,98896000,175703000,256544000,188270000,728646000,499308000
34,Net Receivables,405000,25000,83000,132000,- -,746822000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,390000,1141000,2321000,4303000,6440000,15620000
37,Total Current Assets,99691000,176869000,258948000,192705000,735086000,1261750000
38,PP&E,8608000,11230000,11107000,9330000,10807000,137423000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,1000000,682000,4383000,- -,6440000,181990000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,403000,1705000,487000,1075000,19959000,10735000
45,Total Non-Current Assets,10011000,13617000,15977000,10405000,37206000,330148000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,109702000,190486000,274925000,203110000,772292000,1591898000
48,Accounts Payable,3867000,3820000,3102000,4704000,15682000,10261000
49,Short-Term Debt,- -,- -,- -,- -,15243000,- -
50,Tax Payable,- -,- -,- -,- -,- -,1815000
51,Deferred Revenue,- -,5000000,6250000,7000000,74571000,102003000
52,Other Current Liabilities,1679000,3906000,7583000,11002000,16173000,53820000
53,Total Current Liabilities,5546000,12726000,16935000,22706000,121669000,166084000
54,Long-Term Debt,- -,- -,- -,- -,15243000,116887000
55,Deferred Revenue,- -,18587000,16984000,12022000,122830000,462217000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4696000,5305000,6064000,4540000,10246000,5260000
58,Total Non-Current Liabilities,4696000,23892000,23048000,16562000,148319000,584364000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,15243000,116887000
61,Total Liabilities,10242000,36618000,39983000,39268000,269988000,750448000
62,Preferred Stock,119454000,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,4000,4000,6000,7000
64,Retained Earnings,-20152000,-73234000,-122828000,-205326000,- -,-275354000
65,Other Comprehensive Income/Loss,-1366000,-3978000,-7643000,-11221000,44000,-1261000
66,Other Total Stockholders Equity,120978000,231077000,365409000,380385000,502254000,1118058000
67,Total Stockholders Equity,99460000,153868000,234942000,163842000,502304000,841450000
68,Total Liabilities And Stockholders Equity,109702000,190486000,274925000,203110000,772292000,1591898000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,109702000,190486000,274925000,203110000,772292000,1591898000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724521/000156459019006274/0001564590-19-006274-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459020008972/0001564590-20-008972-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459021008270/0001564590-21-008270-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000095017022001788/0000950170-22-001788-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-17970000,-53082000,-49594000,-84710000,-122858000,52830000
74,Depreciation and Amortization,1314000,2612000,3664000,3578000,4191000,3843000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,90000,495000,3874000,8981000,21825000,54528000
77,Change in Working Capital,3622000,69998000,77870000,-72014000,443418000,-375618000
78,Accounts Receivable,- -,- -,- -,-132000,-917000,-17046000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3569000,-267000,-69000,1726000,9272000,-4773000
81,Other Working Capital,94145000,164143000,242013000,169999000,613417000,-367884000
82,Other Non-Cash Items,- -,-45082000,-78810000,70703000,-235406000,8246000
83,Cash Provided by Operating Activities,-12944000,-25059000,-42996000,-73462000,111170000,-256171000
84,CAPEX,-4099000,-5514000,-3743000,-1925000,-3055000,-26078000
85,Acquisitions Net,-1000000,- -,- -,- -,- -,- -
86,Purchases of Investments,-33762000,-96830000,-261552000,-247755000,-739658000,-718865000
87,Sales/Maturities of Investments,- -,53273000,151855000,308892000,308346000,741075000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-38861000,-49071000,-113440000,59212000,-434367000,-3868000
