,https://roic.ai/company/FNKO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,426717000,516084000,686073000,795122000,652537000,1029293000
2,COGS,- -,280396000,317379000,428062000,512580000,403392000,648302000
3,Gross Profit,- -,146321000,198705000,258011000,282542000,249145000,380991000
4,Gross Profit Ratio,- -,0.3429,0.3850,0.3761,0.3553,0.3818,0.3701
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,120944000,155321000,193803000,181234000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,120944000,155321000,193803000,181234000,244331000
9,Other Expenses,- -,101034000,31975000,39116000,42126000,44368000,689497000
10,Operating Expenses,- -,101034000,152919000,194437000,235929000,225602000,933828000
11,COGS and Expenses,- -,381430000,470298000,622499000,748509000,628994000,1582130000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,17267000,30636000,21739000,14342000,10712000,7167000
14,Depreciation and Amortization,- -,23509000,31975000,39116000,44518000,46742000,40056000
15,EBITDA,- -,67656000,67876000,75078000,75061000,63440000,132138000
16,EBITDA ratio,- -,0.1586,0.1315,0.1094,0.0944,0.0972,0.1284
17,Operating Income,- -,44147000,42145000,63546000,46613000,23543000,95465000
18,Operating Income ratio,- -,0.1035,0.0817,0.0926,0.0586,0.0361,0.0927
19,Total Other Income Expenses (Gains),- -,-17267000,-35005000,-30368000,-14317000,-11755000,-10550000
20,Income Before Tax,- -,26880000,7140000,33178000,32296000,11788000,84915000
21,Income Before Tax Ratio,- -,0.0630,0.0138,0.0484,0.0406,0.0181,0.0825
22,Income Tax expense (Gain),- -,- -,1540000,4867000,4476000,2025000,17061000
23,Net Income,- -,26880000,3725000,9356000,11725000,3961000,67854000
24,Net Income ratio,- -,0.0630,0.0072,0.0136,0.0147,0.0061,0.0659
25,EPS,- -,0.56,0.07,0.31,0.38,0.11,1.72
26,EPS Diluted,- -,0.45,0.07,0.29,0.36,0.11,1.62
27,Weighted Average Shares Outstanding,- -,23337705,23338000,23821000,30898000,35271000,39448000
28,Weighted Average Shares Outstanding Diluted,- -,49142288,50635000,25560000,32926000,35770000,41796000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1704711/000156459018006124/0001564590-18-006124-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000156459019006351/0001564590-19-006351-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471120000025/0001704711-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471121000017/0001704711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471122000007/0001704711-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,24411000,6161000,7728000,13486000,25229000,52255000,83557000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24411000,6161000,7728000,13486000,25229000,52255000,83557000
34,Net Receivables,47942000,83607000,115478000,148627000,151564000,131837000,187688000
35,Inventory,49629000,43616000,79082000,86622000,62124000,59773000,166428000
36,Other Current Assets,12368000,19040000,21727000,11904000,20280000,15486000,14925000
37,Total Current Assets,134350000,152424000,224015000,260639000,259197000,259351000,452598000
38,PP&E,15324000,25473000,40438000,44296000,128613000,114220000,112294000
39,Goodwill,97453000,97453000,110902000,112818000,124835000,125061000,126651000
40,Intangible Assets,256741000,243796000,250649000,233645000,221492000,205541000,189619000
41,Intangible Assets,354194000,341249000,361551000,346463000,346327000,330602000,316270000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,51000,7346000,57547000,54682000,74412000
44,Other Non-Current Assets,1462000,3091000,4258000,4275000,4783000,4735000,11929000
45,Total Non-Current Assets,370980000,369813000,406298000,402380000,537270000,504239000,514905000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,505330000,522237000,630313000,663019000,796467000,763590000,967503000
48,Accounts Payable,9490000,23653000,53428000,36130000,42531000,29199000,57238000
49,Short-Term Debt,5626000,13859000,18729000,30593000,50821000,24598000,44877000
50,Tax Payable,- -,- -,2268000,5165000,1324000,1182000,15994000
51,Deferred Revenue,2951000,3754000,3283000,306000,- -,- -,- -
52,Other Current Liabilities,60770000,56276000,54486000,70827000,64217000,84899000,182896000
53,Total Current Liabilities,78837000,97542000,129926000,137856000,157569000,138696000,285011000
54,Long-Term Debt,164220000,203894000,215170000,216704000,202816000,180012000,206277000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,588000,5000,341000,780000,648000
57,Other Non-Current Liabilities,18717000,3424000,3474000,12088000,130597000,121657000,79009000
58,Total Non-Current Liabilities,182937000,207318000,219232000,228797000,333754000,302449000,285934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,72936000,71352000,- -
61,Total Liabilities,261774000,304860000,349158000,366653000,491323000,441145000,570945000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,204311000,219311000,4000,4000,4000,5000,5000
64,Retained Earnings,-7045000,-60024000,1041000,10397000,20442000,24403000,68050000
65,Other Comprehensive Income/Loss,-9893000,-20457000,802000,-171000,791000,1718000,1078000
66,Other Total Stockholders Equity,56183000,78547000,129320000,146408000,204174000,216141000,327425000
67,Total Stockholders Equity,- -,- -,131167000,156638000,225411000,242267000,396558000
68,Total Liabilities And Stockholders Equity,505330000,522237000,480325000,523291000,716734000,683412000,967503000
69,Minority Interest,- -,- -,149988000,139728000,79733000,80178000,- -
70,Total Liabilities & Equity,505330000,522237000,630313000,663019000,796467000,763590000,967503000
