,https://roic.ai/company/RMED,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,5976000,5870000,6257000,7199000,4405000,22000
2,COGS,3138000,4165000,4206000,8850000,5482000,1560000
3,Gross Profit,2838000,1705000,2051000,-1651000,-1077000,-1538000
4,Gross Profit Ratio,0.4749,0.2905,0.3278,-0.2293,-0.2445,-69.9091
5,Research and Development Exp.,1715000,4518000,2776000,4530000,9008000,12253000
6,General and Administrative Exp.,- -,- -,30435000,51549000,25974000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,30435000,51549000,25974000,15475000
9,Other Expenses,5321000,14947000,- -,- -,- -,- -
10,Operating Expenses,7036000,19465000,33211000,56079000,34982000,27728000
11,COGS and Expenses,10174000,23630000,37417000,64929000,40464000,29288000
12,Interest Income ,- -,- -,352000,1038000,129000,- -
13,Interest Expense (Gain),3000,4000,14000,250000,108000,- -
14,Depreciation and Amortization,95000,218000,624000,1750000,2365000,1565000
15,EBITDA,-4103000,-17542000,-30184000,-54942000,-33565000,-25692000
16,EBITDA ratio,-0.6866,-2.9884,-4.8240,-7.6319,-7.6198,-1167.8182
17,Operating Income,-4198000,-17760000,-31160000,-57730000,-36059000,-29266000
18,Operating Income ratio,-0.7025,-3.0256,-4.9800,-8.0192,-8.1859,-1330.2727
19,Total Other Income Expenses (Gains),-3000,-4000,338000,788000,21000,2009000
20,Income Before Tax,-4201000,-17764000,-30822000,-56942000,-36038000,-27257000
21,Income Before Tax Ratio,-0.7030,-3.0262,-4.9260,-7.9097,-8.1812,-1238.9545
22,Income Tax expense (Gain),1000,1000,10000,15000,7000,-2187000
23,Net Income,-4202000,-17765000,-30832000,-56957000,-36045000,-25070000
24,Net Income ratio,-0.7031,-3.0264,-4.9276,-7.9118,-8.1827,-1139.5455
25,EPS,-8.68,-36.70,-83.50,-108.25,-21.22,-14.76
26,EPS Diluted,-8.68,-36.70,-83.50,-108.25,-21.22,-14.76
27,Weighted Average Shares Outstanding,484170,484170,369200,525840,1699000,1699000
28,Weighted Average Shares Outstanding Diluted,484170,484170,369200,525840,1699000,1699000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716621/000156459019007905/0001564590-19-007905-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459020010123/0001564590-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459021013653/0001564590-21-013653-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459022011555/0001564590-22-011555-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,3921000,8237000,64315000,14584000,23906000,15045000
32,Short-Term Investments,- -,- -,- -,15993000,- -,- -
33,Cash and Short-Term Investments,3921000,8237000,64315000,30577000,23906000,15045000
34,Net Receivables,393000,517000,1320000,786000,238000,21000
35,Inventory,870000,1196000,2097000,2777000,2218000,986000
36,Other Current Assets,124000,92000,1501000,1860000,1258000,1037000
37,Total Current Assets,5308000,10042000,69233000,36000000,27620000,17089000
38,PP&E,506000,1159000,4757000,7885000,5695000,3919000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,28000,68000,45000,196000,123000,36000
45,Total Non-Current Assets,534000,1227000,4802000,8081000,5818000,3955000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,5842000,11269000,74035000,44081000,33438000,21044000
48,Accounts Payable,473000,426000,1125000,1532000,571000,988000
49,Short-Term Debt,42000,44000,293000,293000,686000,283000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1744000,1714000,1723000,2029000,1801000,- -
52,Other Current Liabilities,451000,449000,2809000,2960000,4704000,4119000
53,Total Current Liabilities,2710000,2633000,5950000,6814000,7762000,5390000
54,Long-Term Debt,65000,19000,557000,265000,1579000,1981000
55,Deferred Revenue,836000,775000,767000,1232000,686000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2611000,15457000,56000,2620000,2264000,- -
58,Total Non-Current Liabilities,3512000,16251000,1380000,4117000,4529000,1981000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2938000,2620000,- -
61,Total Liabilities,6222000,18884000,7330000,10931000,12291000,7371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1000,7000,8000
64,Retained Earnings,-11624000,-29389000,-60221000,-117157000,- -,-178272000
65,Other Comprehensive Income/Loss,-589000,-775000,-1313000,-2109000,- -,- -
66,Other Total Stockholders Equity,11832000,22548000,128238000,152415000,21140000,191937000
