,https://roic.ai/company/MSLP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,7979,- -,1017916,4047295,20838337,67055215,110877591,177389000,166858000,132499000,102155000,88113000,79667000,64440000
2,COGS,- -,- -,- -,922971,2804274,14470614,52726934,77685396,121379000,109927000,88026000,71710000,69719000,70979000,44831000
3,Gross Profit,- -,7979,- -,94945,1243021,6367723,14328281,33192195,56010000,56931000,44473000,30445000,18394000,8688000,19609000
4,Gross Profit Ratio,- -,1.0000,- -,0.0933,0.3071,0.3056,0.2137,0.2994,0.3157,0.3412,0.3356,0.2980,0.2088,0.1091,0.3043
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,1118608,3997000,4251000,1869000,642000,751000,893000,- -
6,General and Administrative Exp.,- -,1002245,20261,822322,19494857,- -,14633691,30835403,43336000,57349000,39709000,25583000,22536000,20415000,16333000
7,Selling and Marketing Exp.,- -,1624,4166,1069308,- -,- -,8430401,15534646,28053000,26985000,10652000,9352000,2939000,2487000,507000
8,"Selling, General and Administrative Exp.",- -,1003869,24427,1891630,19494857,22587883,23064092,46370049,71389000,84334000,50361000,34935000,25475000,22902000,16840000
9,Other Expenses,- -,- -,- -,14397,- -,- -,- -,- -,- -,- -,- -,1877000,- -,- -,- -
10,Operating Expenses,- -,1003869,- -,1906027,19494857,22587883,23064092,47488657,75386000,88585000,52230000,37454000,26226000,23795000,16840000
11,COGS and Expenses,- -,1003869,24427,2828998,22299131,37058497,75791026,125174053,196765000,198512000,140256000,109164000,95945000,94774000,61671000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1442179,223000,- -,- -,-837000,18000,383000,675000
13,Interest Expense (Gain),- -,- -,- -,102390,480589,3711278,7335070,783316,201000,779000,1642000,3261000,3800000,3756000,1695000
14,Depreciation and Amortization,- -,- -,- -,7953,787204,171587,475320,708978,1983000,2815000,2127000,1460000,849000,659000,465000
15,EBITDA,- -,-995890,-24427,-1803129,-18301544,-19398085,-11142405,-16110164,-11615000,-48159000,610000,-6110000,-6006000,-14426000,5326000
16,EBITDA ratio,- -,-124.8139,-Infinity,-1.7714,-4.5219,-0.9309,-0.1662,-0.1453,-0.0655,-0.2886,0.0046,-0.0598,-0.0682,-0.1811,0.0827
17,Operating Income,- -,-995890,-24427,-1811082,-18251836,-16220160,-8735811,-14296462,-19376000,-49947000,-8658000,-7189000,-7832000,-15107000,2602000
18,Operating Income ratio,- -,-124.8139,-Infinity,-1.7792,-4.5096,-0.7784,-0.1303,-0.1289,-0.1092,-0.2993,-0.0653,-0.0704,-0.0889,-0.1896,0.0404
19,Total Other Income Expenses (Gains),- -,- -,- -,-6452,-836912,-3349512,-10216984,-3305996,5577000,-1806000,5499000,-3642000,-2823000,-3734000,564000
20,Income Before Tax,- -,-995890,-24427,- -,- -,- -,-18952795,-17602458,-13799000,-51753000,-3159000,-10831000,-10655000,-18841000,3166000
21,Income Before Tax Ratio,- -,-124.8139,-Infinity,- -,- -,- -,-0.2826,-0.1588,-0.0778,-0.3102,-0.0238,-0.1060,-0.1209,-0.2365,0.0491
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,115483,33000,105000,318000,142000,100000,86000,-19000
23,Net Income,- -,-995890,-24427,-1913472,-19569337,-23280950,-18952795,-17717941,-13832000,-51858000,-3477000,-10973000,-10755000,-18927000,3185000
24,Net Income ratio,- -,-124.8139,-Infinity,-1.8798,-4.8352,-1.1172,-0.2826,-0.1598,-0.0780,-0.3108,-0.0262,-0.1074,-0.1221,-0.2376,0.0494
25,EPS,- -,-1937.53,-47.52,-3722.71,-408.16,-68.03,-13.00,-2.46,-1.25,-3.81,-0.26,-0.79,-0.72,-0.92,0.10
26,EPS Diluted,- -,-1937.53,-47.52,-3722.71,-408.16,-68.03,-13.00,-2.46,-1.25,-3.81,-0.26,-0.79,-0.72,-0.92,0.08
27,Weighted Average Shares Outstanding,- -,514,514,514,48382,331025,1458757,7193784,11065600,13621255,13438248,13877686,15023872,20475313,32812462
28,Weighted Average Shares Outstanding Diluted,- -,514,514,514,48382,331025,1458757,7193784,11065600,13621255,13438248,13877686,15023872,20475313,41172461
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415684/000165495420009485/0001654954-20-009485-index.htm,https://www.sec.gov/Archives/edgar/data/1415684/000149315221007088/0001493152-21-007088-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9239,2860,32116,43704,659764,- -,5411515,1020000,7081000,4943000,6228000,2317000,1532000,2003000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,259715,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9239,2860,32116,43704,659764,- -,5671230,1020000,7081000,4943000,6228000,2317000,1532000,2003000
34,Net Receivables,- -,- -,- -,111476,426761,2569092,3302344,13741180,16644000,22003000,13353000,16668000,6273000,4807000,7488000
35,Inventory,- -,- -,- -,4245,- -,- -,257975,15772368,21069000,12549000,8568000,6484000,13661000,4720000,1032000
36,Other Current Assets,- -,4250,2559,76686,935845,787977,1389562,9341702,7684000,5646000,1930000,1082000,576000,1104000,1341000
