,https://roic.ai/company/RCON,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,57841921,65748234,75646907,117004132,63688467,75542379,76585729,93447108,51512900,42728277,60054462,84430146,102384327,65115654,47938575
2,COGS,37413729,39771955,45758804,67593524,43469506,51269950,51531759,61030247,41400727,35481394,44090960,80279961,72518963,45509258,40723547
3,Gross Profit,20428192,25976279,29888103,49410608,20218961,24272429,25053970,32416861,10112173,7246883,15963502,4150185,29865364,19606396,7215028
4,Gross Profit Ratio,0.3532,0.3951,0.3951,0.4223,0.3175,0.3213,0.3271,0.3469,0.1963,0.1696,0.2658,0.0492,0.2917,0.3011,0.1505
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,8513680,8094333,4168813,6856522,7599340,3215653,3133545,7042385,5846295
6,General and Administrative Exp.,5342807,3931205,5593382,13269162,32055652,22755891,10978942,16198947,30147141,20195701,32751142,34687317,41288351,26120099,45949157
7,Selling and Marketing Exp.,4627206,5343840,5660198,8198742,7736091,5054219,6126095,5293343,11312452,5630715,4458218,8013353,9076266,4417413,8038965
8,"Selling, General and Administrative Exp.",9970013,9275045,11253580,21467904,39791743,27810110,17105037,21492290,41459593,25826416,37209360,42700670,50364617,30537512,53988122
9,Other Expenses,- -,- -,- -,- -,- -,- -,-2257344,-1250509,-781457,14185987,1633495,-1212892,-538240,993213,7835580
10,Operating Expenses,9970013,9275045,11253580,21467904,39791743,27810110,23361373,28336114,44846949,46868925,46442195,44703431,52959922,38573110,67669997
11,COGS and Expenses,47383742,49047000,57012384,89061428,83261249,79080060,74893132,89366361,86247676,82350319,90533155,124983392,125478885,84082368,108393544
12,Interest Income ,6948,18963,15159,10476,1463,335517,570442,384182,293499,183553,73990,68028,40391,54746,918629
13,Interest Expense (Gain),127927,61519,113179,214431,564654,962824,1557204,952574,1110451,903368,548878,897521,1589045,1451890,2210005
14,Depreciation and Amortization,234200,195624,321300,368804,361837,197873,618552,595647,526046,955083,856735,1119049,1124011,3018251,5017592
15,EBITDA,9765257,16520163,19369241,28146651,-27444738,-2879488,2502325,3316545,-32371966,-38478281,-29731634,-42039521,-22244372,-14494238,-16129388
16,EBITDA ratio,0.1688,0.2513,0.2560,0.2406,-0.4309,-0.0381,0.0327,0.0355,-0.6284,-0.9005,-0.4951,-0.4979,-0.2173,-0.2226,-0.3365
17,Operating Income,10458179,16701234,18634523,27942704,-19572782,-3537681,-564747,2830238,-35516233,-39911129,-30611484,-40924896,-24243574,-20177032,-61578948
18,Operating Income ratio,0.1808,0.2540,0.2463,0.2388,-0.3073,-0.0468,-0.0074,0.0303,-0.6895,-0.9341,-0.5097,-0.4847,-0.2368,-0.3099,-1.2845
19,Total Other Income Expenses (Gains),45049,330496,1929295,2373492,-8450596,-196851,1471159,-41282,1507770,-425603,-284417,-4434108,-1140355,336750,35187869
20,Income Before Tax,10503228,17031730,20563818,30316196,-28023378,-3734532,906412,2788956,-34008463,-40336732,-30895901,-45359004,-25383929,-19840282,-26391079
21,Income Before Tax Ratio,0.1816,0.2590,0.2718,0.2591,-0.4400,-0.0494,0.0118,0.0298,-0.6602,-0.9440,-0.5145,-0.5372,-0.2479,-0.3047,-0.5505
