,https://roic.ai/company/WING,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,51591000,58999000,67449000,77969000,91359000,133319000,153181000,199676000,248811000,282502000
2,COGS,21262000,22176000,20473000,22219000,25308000,28745000,32063000,41105000,48583000,141405000
3,Gross Profit,30329000,36823000,46976000,55750000,66051000,104574000,121118000,158571000,200228000,141097000
4,Gross Profit Ratio,0.5879,0.6241,0.6965,0.7150,0.7230,0.7844,0.7907,0.7941,0.8047,0.4995
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,15896000,18913000,26006000,31336000,33840000,67325000,78278000,110186000,68985000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15896000,18913000,26006000,31336000,33840000,67325000,78278000,110186000,68985000,62895000
9,Other Expenses,2930000,3030000,2904000,4868000,3008000,3376000,4313000,5484000,- -,7943000
10,Operating Expenses,18826000,21943000,28910000,36204000,36848000,70701000,82591000,115670000,68985000,70838000
11,COGS and Expenses,40088000,44119000,49383000,58423000,62156000,99446000,114654000,156775000,191421000,212243000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2431000,2863000,3684000,-3477000,4396000,-5131000,-10123000,-17136000,-16782000,14984000
14,Depreciation and Amortization,2930000,3030000,2904000,2682000,3008000,3376000,4313000,5484000,7518000,7943000
15,EBITDA,11941000,17916000,20886000,15050000,31957000,26030000,21117000,14113000,17679000,81834000
16,EBITDA ratio,0.2315,0.3037,0.3097,0.1930,0.3498,0.1952,0.1379,0.0707,0.0711,0.2897
17,Operating Income,9003000,14880000,18066000,19718000,29203000,36280000,38527000,42901000,57390000,73756000
18,Operating Income ratio,0.1745,0.2522,0.2678,0.2529,0.3197,0.2721,0.2515,0.2149,0.2307,0.2611
19,Total Other Income Expenses (Gains),-2423000,-2857000,-3768000,-3873000,-4650000,-7538000,-11600000,-17136000,-30447000,-14849000
20,Income Before Tax,6580000,12023000,14298000,15845000,24553000,28742000,26927000,25765000,26943000,58907000
21,Income Before Tax Ratio,0.1275,0.2038,0.2120,0.2032,0.2688,0.2156,0.1758,0.1290,0.1083,0.2085
22,Income Tax expense (Gain),3000000,4493000,5312000,5739000,9119000,3845000,5208000,5289000,3637000,16249000
23,Net Income,3580000,7530000,8986000,10106000,15434000,23940000,21719000,20476000,23306000,42658000
24,Net Income ratio,0.0694,0.1276,0.1332,0.1296,0.1689,0.1796,0.1418,0.1025,0.0937,0.1510
25,EPS,0.13,0.26,0.32,0.37,0.54,0.94,0.74,0.70,0.79,1.44
26,EPS Diluted,0.13,0.26,0.32,0.36,0.53,0.93,0.73,0.69,0.78,1.43
27,Weighted Average Shares Outstanding,27996000,28440000,27996000,27497000,28637000,29025000,29231000,29415000,29601000,29601000
28,Weighted Average Shares Outstanding Diluted,28354000,28757000,28354000,27816000,28983000,29424000,29587000,29670000,29804000,29804000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636222/000163622216000029/0001636222-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622217000011/0001636222-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622218000015/0001636222-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622219000039/0001636222-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622220000036/0001636222-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622221000011/0001636222-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1636222/000163622222000008/0001636222-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3173000,9723000,10690000,3750000,4063000,12493000,12849000,40858000,48583000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3173000,9723000,10690000,3750000,4063000,12493000,12849000,40858000,48583000
34,Net Receivables,- -,1764000,2380000,3404000,3199000,7067000,5764000,5842000,4929000,8110000
35,Inventory,- -,193000,176000,182000,226000,216000,299000,315000,- -,484000
36,Other Current Assets,- -,3420000,5842000,5344000,3941000,4562000,11350000,11184000,26833000,12972000
37,Total Current Assets,- -,8550000,18121000,19620000,11116000,15908000,29906000,30190000,72620000,70149000
38,PP&E,- -,4299000,3622000,4593000,4999000,5826000,8338000,36084000,27948000,54503000
39,Goodwill,- -,45570000,45128000,45128000,45128000,46557000,49655000,50188000,53690000,56877000
40,Intangible Assets,- -,53752000,52368000,50996000,49614000,48267000,46933000,45610000,- -,43002000
41,Intangible Assets,- -,99322000,97496000,96124000,94742000,94824000,96588000,95798000,53690000,99879000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,13018000,- -,5920000,4866000,4485000,- -,- -
44,Other Non-Current Assets,- -,1280000,997000,-12705000,943000,-2642000,51000,-444000,- -,24672000
