,https://roic.ai/company/GPK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,543500000,570800000,641900000,731500000,910900000,712400000,731100000,988400000,831400000,1102590000,1112535000,1057843000,1683300000,2386500000,2384000000,2413000000,2421200000,4079400000,4095800000,4095000000,4206300000,4337100000,4478100000,4240500000,4160200000,4298100000,4403700000,6023000000,6160100000,6559900000,7156000000
2,COGS,413500000,455500000,496000000,552700000,707800000,506400000,509800000,736400000,640300000,892654000,960258000,930581000,1398500000,2026700000,2071300000,2109800000,2061700000,3596900000,3567200000,3501800000,3568800000,3617500000,3752500000,3453300000,3371100000,3506200000,3684200000,5077000000,5067500000,5459700000,6085000000
3,Gross Profit,130000000,115300000,145900000,178800000,203100000,206000000,221300000,252000000,191100000,209936000,152277000,127262000,284800000,359800000,312700000,303200000,359500000,482500000,528600000,593200000,637500000,719600000,725600000,787200000,789100000,791900000,719500000,946000000,1092600000,1100200000,1071000000
4,Gross Profit Ratio,0.2392,0.2020,0.2273,0.2444,0.2230,0.2892,0.3027,0.2550,0.2299,0.1904,0.1369,0.1203,0.1692,0.1508,0.1312,0.1257,0.1485,0.1183,0.1291,0.1449,0.1516,0.1659,0.1620,0.1856,0.1897,0.1842,0.1634,0.1571,0.1774,0.1677,0.1497
5,Research and Development Exp.,- -,- -,- -,17600000,16800000,15300000,15600000,- -,- -,- -,- -,- -,7400000,9600000,9900000,11400000,9200000,8000000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332700000,305300000,320400000,342400000,378100000,384300000,365500000,347700000,355700000,342700000,465700000,511800000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",85500000,94100000,80000000,75400000,79600000,77900000,91600000,106100000,73700000,61134000,62874000,64620000,153100000,202300000,206100000,201200000,195100000,332700000,305300000,320400000,342400000,378100000,384300000,365500000,347700000,355700000,342700000,465700000,511800000,512600000,528000000
9,Other Expenses,35500000,39400000,41600000,46100000,49900000,49500000,42700000,57500000,79000000,91959000,20649000,- -,18200000,32300000,9800000,300000,4000000,-8100000,-13500000,-1800000,-2700000,-7300000,-13400000,-3700000,-7700000,3100000,3000000,7200000,8800000,2000000,-2000000
