,https://roic.ai/company/MTSI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,102718000,260297000,310295000,303300000,242700000,339200000,420609000,544338000,698772000,570398000,499708000,530037000,606920000
2,COGS,77171000,166554000,178435000,169200000,133500000,196800000,217019000,262729000,371888000,324692000,279000000,259871000,265065000
3,Gross Profit,25547000,93743000,131860000,134100000,109200000,142400000,203590000,281609000,326884000,245706000,220708000,270166000,341855000
4,Gross Profit Ratio,0.2487,0.3601,0.4250,0.4421,0.4499,0.4198,0.4840,0.5173,0.4678,0.4308,0.4417,0.5097,0.5633
5,Research and Development Exp.,13553000,25795000,36121000,36800000,42500000,66900000,82188000,107698000,147986000,177713000,163469000,141333000,138844000
6,General and Administrative Exp.,- -,- -,- -,43900000,54000000,65300000,97435000,145433000,150130000,109908000,108214000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,43900000,54000000,65300000,97435000,145433000,150130000,109908000,108214000,- -,122009000
9,Other Expenses,28401000,47860000,48313000,-300000,5000000,38000000,13875000,- -,44852000,64605000,329401000,124306000,- -
10,Operating Expenses,41954000,73655000,84434000,80400000,101500000,170200000,193498000,253131000,342968000,352226000,601084000,265639000,260853000
11,COGS and Expenses,119125000,240209000,262869000,249600000,235000000,367000000,410517000,515860000,714856000,676918000,880084000,525510000,525918000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1699000,2323000,1561000,695000,817000,12362000,18376000,18427000,28855000,31338000,35803000,27380000,20593000
14,Depreciation and Amortization,6198000,11134000,10410000,12233000,13674000,52671000,54708000,70591000,92998000,112383000,104418000,78826000,69953000
15,EBITDA,11939000,29287000,12274000,25181000,41826000,41679000,111815000,72469000,53271000,-17729000,-282932000,64644000,133491000
16,EBITDA ratio,0.1162,0.1125,0.0396,0.0830,0.1723,0.1229,0.2658,0.1331,0.0762,-0.0311,-0.5662,0.1220,0.2199
17,Operating Income,-21507000,17854000,45927000,56391000,41203000,-5699000,10092000,13248000,-16084000,-106520000,-380376000,3388000,81002000
18,Operating Income ratio,-0.2094,0.0686,0.1480,0.1859,0.1698,-0.0168,0.0240,0.0243,-0.0230,-0.1867,-0.7612,0.0064,0.1335
19,Total Other Income Expenses (Gains),25374000,-2323000,-46378000,-44091000,-38303000,-35201000,-25492000,-34819000,-33421000,-48715000,-42777000,-44950000,-38057000
20,Income Before Tax,3867000,15531000,-451000,12300000,2900000,-40900000,-15400000,-21571000,-49505000,-155235000,-423153000,-41562000,42945000
21,Income Before Tax Ratio,0.0376,0.0597,-0.0015,0.0406,0.0119,-0.1206,-0.0366,-0.0396,-0.0708,-0.2722,-0.8468,-0.0784,0.0708
22,Income Tax expense (Gain),-124000,8996000,1319000,15953000,9135000,-8054000,-9858000,-17983000,100911000,-21473000,-39355000,4516000,4972000
23,Net Income,4166000,6834000,-1016000,-3700000,18200000,-15300000,48589000,1434000,-169493000,-139977000,-383798000,-46078000,37973000
24,Net Income ratio,0.0406,0.0263,-0.0033,-0.0122,0.0750,-0.0451,0.1155,0.0026,-0.2426,-0.2454,-0.7680,-0.0869,0.0626
25,EPS,0.35,0.31,-46.63,-0.15,0.60,-0.33,0.95,0.03,-2.79,-2.16,-5.88,-0.69,0.55
26,EPS Diluted,0.16,0.14,-46.63,-0.15,0.59,-0.33,0.95,0.03,-2.79,-2.57,-5.88,-0.69,0.54
27,Weighted Average Shares Outstanding,1747000,1747000,1747000,24758000,45916000,47009000,51146000,53364000,60704000,64741000,65686000,66606000,68449000
28,Weighted Average Shares Outstanding Diluted,3753000,3753000,3753000,24758000,47302000,47009000,51146000,53364000,60704000,65311000,65686000,66606000,70474000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1493594/000119312512482461/0001193125-12-482461-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312513462528/0001193125-13-462528-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312514437842/0001193125-14-437842-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312515387199/0001193125-15-387199-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359416000016/0001493594-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359417000055/0001493594-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359418000034/0001493594-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359419000064/0001493594-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359420000063/0001493594-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/0001493594-21-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15358000,23946000,45668000,84500000,110500000,173900000,122312000,332977000,130104000,94676000,75519000,129441000,156537000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,39557000,23776000,84121000,98221000,101226000,203711000,188365000
33,Cash and Short-Term Investments,15358000,23946000,45668000,84500000,110500000,173900000,161869000,356753000,214225000,192897000,176745000,333152000,344902000
34,Net Receivables,43245000,45522000,46212000,59100000,63500000,75200000,99804000,129938000,154589000,114976000,86451000,47124000,84570000
35,Inventory,41748000,45289000,52480000,57500000,54900000,73600000,79943000,114935000,136074000,122837000,107880000,91584000,82699000
36,Other Current Assets,1874000,5364000,12175000,11900000,17500000,50600000,42603000,11318000,58009000,28151000,27506000,9659000,9365000
37,Total Current Assets,102225000,120121000,156535000,213000000,246400000,373300000,384219000,612944000,562897000,458861000,398582000,481519000,521536000
38,PP&E,23283000,21106000,25364000,30200000,32700000,50400000,83759000,99167000,131019000,149923000,132647000,118866000,120526000
39,Goodwill,- -,- -,3990000,4000000,6800000,10800000,93346000,120024000,313765000,314076000,314727000,315012000,314240000
40,Intangible Assets,23251000,20562000,22081000,18800000,24800000,142600000,243666000,259602000,621092000,512785000,181228000,130898000,84685000
41,Intangible Assets,23251000,20562000,26071000,22800000,31600000,153400000,337012000,379626000,934857000,826861000,495955000,445910000,398925000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,31094000,23613000,17745000,15342000
43,Tax Assets,- -,- -,- -,4100000,2000000,- -,- -,89606000,15172000,389000,632000,41935000,39516000
44,Other Non-Current Assets,4556000,3047000,3298000,-2000000,3900000,105100000,55844000,7208000,-6822000,15367000,54145000,40453000,38300000
45,Total Non-Current Assets,51090000,44715000,54733000,55100000,70200000,308900000,476615000,575607000,1074226000,1023634000,706992000,664909000,612609000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,153315000,164836000,211268000,268100000,316600000,682200000,860834000,1188551000,1637123000,1482495000,1105574000,1146428000,1134145000
48,Accounts Payable,14515000,17720000,20549000,27000000,26000000,29800000,29311000,30579000,47038000,41951000,24822000,23043000,28712000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,7203000,- -,- -,- -,6885000,8415000
50,Tax Payable,- -,- -,- -,330000,20000,865000,508000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,13073000,12459000,13119000,7992000,9030000,17258000,31431000,- -,948000,7757000,2137000,6346000,1904000
52,Other Current Liabilities,28324000,32987000,33441000,20708000,17170000,38542000,10734000,54368000,69133000,57297000,47877000,58676000,54013000
53,Total Current Liabilities,55912000,63166000,67109000,55700000,52200000,85600000,71476000,92150000,117119000,107005000,74836000,94950000,93044000
54,Long-Term Debt,30000000,30000000,- -,- -,- -,343200000,335087000,576345000,678746000,687395000,684778000,652172000,528854000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,121000,3711000,2443000,4091000,1985000,35957000,31431000,11765000,15172000,389000,632000,- -,- -
57,Other Non-Current Liabilities,30067000,23304000,286553000,8809000,15315000,-11057000,-1693000,45507000,48712000,19031000,31432000,99160000,40511000
58,Total Non-Current Liabilities,60188000,57015000,288996000,12900000,17300000,368100000,364825000,633617000,742630000,706815000,716842000,751332000,569365000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1426000,- -,- -,- -,- -,- -,- -,18090000,29490000,30590000,37963000,45172000
61,Total Liabilities,116100000,120181000,356105000,68600000,69500000,453700000,436301000,725767000,859749000,813820000,791678000,846282000,662409000
62,Preferred Stock,18000,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,- -,- -,- -,53000,54000,64000,65000,66000,67000,69000
64,Retained Earnings,-32945000,-26111000,-144658000,-147700000,-132200000,-147500000,-98922000,-97488000,-266981000,-407976000,-791774000,-839727000,-801754000
65,Other Comprehensive Income/Loss,-10183000,-13293000,-18602000,-200000,-400000,-1000000,-2000000,9000000,3000000,2000000,4000000,5000000,4150000
66,Other Total Stockholders Equity,80320000,84059000,18421000,347400000,379700000,377100000,525402000,551218000,1041291000,1074586000,1101604000,1134806000,1269271000
67,Total Stockholders Equity,37192000,44655000,-144837000,199458000,236824000,228567000,424533000,462784000,777374000,668675000,313896000,300146000,471736000
68,Total Liabilities And Stockholders Equity,153292000,164836000,211268000,268058000,306324000,682267000,860834000,1188551000,1637123000,1482495000,1105574000,1146428000,1134145000
69,Minority Interest,23000,- -,- -,42000,10276000,-67000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,153315000,164836000,211268000,268100000,316600000,682200000,860834000,1188551000,1637123000,1482495000,1105574000,1146428000,1134145000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1493594/000119312512482461/0001193125-12-482461-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312513462528/0001193125-13-462528-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312514437842/0001193125-14-437842-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312515387199/0001193125-15-387199-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359416000016/0001493594-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359417000055/0001493594-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359418000034/0001493594-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359419000064/0001493594-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359420000063/0001493594-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/0001493594-21-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,4166000,6834000,-1016000,-3700000,18200000,-15300000,48589000,1434000,-169493000,-139977000,-383798000,-46078000,37973000
74,Depreciation and Amortization,6198000,11134000,10410000,12233000,13674000,52671000,54708000,70591000,92998000,112383000,104418000,78826000,69953000
