,https://roic.ai/company/CELZ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800,124400,165500,164500,87754
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,70375,45499,50596,47949
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3200,54025,120001,113904,39805
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.6667,0.4343,0.7251,0.6924,0.4536
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85334,260085,96621,- -,- -,109180
6,General and Administrative Exp.,1431,13617,53490,30553,14290,- -,20096,20120,19426,20831,664984,898526,1050485,1223219,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1431,13617,53490,30553,14290,19830,20096,20120,19426,20831,664984,898526,1050485,1223219,1161947,2964490
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9356,15995,21144,26950,66792,- -
10,Operating Expenses,1431,13617,53490,30553,14290,19830,20096,20120,19426,20831,759674,1174606,1168250,1250169,1228739,3073670
11,COGS and Expenses,1431,13617,53490,30553,14290,19830,20096,20120,19426,20831,759674,1182606,1238625,1295668,1279335,3121619
12,Interest Income ,1954,2331,469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1057,2966,4225,5489,7162,8586,9930,6398,377587,1361427,1895528,1229590,4278433
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9356,15995,21144,26950,66792,92084
15,EBITDA,-1431,-13617,-53490,-30553,-14290,-19830,-20096,-20120,-19426,-20831,-750318,-2265526,-12273082,-6561195,-35028848,23582285
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-471.9846,-98.6582,-39.6447,-212.9413,268.7317
17,Operating Income,- -,- -,- -,- -,-14290,-19830,-20096,-20120,-19426,-20831,-766072,-1177806,-1114225,-1130168,-1114835,-3033865
18,Operating Income ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-245.3762,-8.9568,-6.8288,-6.7771,-34.5724
19,Total Other Income Expenses (Gains),1954,2331,2218,-1057,-2966,-4225,-5489,-7162,-8586,-9930,- -,-1481302,-12541428,-7353505,-35210395,22245633
20,Income Before Tax,523,-11286,-51272,-31610,-17256,-24055,-25585,-27282,-28012,-30761,-766072,-2659108,-13655653,-8483673,-36325230,19211768
21,Income Before Tax Ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-553.9808,-109.7721,-51.2609,-220.8221,218.9275
22,Income Tax expense (Gain),162,-661,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1372,-9544,-52636,-31610,-17256,-24055,-25585,-27282,-28012,-30761,-766072,-2659108,-13655653,-8483673,-36325230,19211768
24,Net Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-553.9808,-109.7721,-51.2609,-220.8221,218.9275
25,EPS,5.69,-39.60,-218.41,-131.16,-71.60,-99.81,-106.16,-113.20,-116.23,-127.64,-749.96,-2249.89,-2249.89,-412.03,-65.00,33.15
26,EPS Diluted,5.69,-39.60,-218.41,-131.16,-71.60,-99.81,-106.16,-113.20,-116.23,-127.64,-749.96,-2249.89,-2249.89,-412.03,-65.00,33.15
27,Weighted Average Shares Outstanding,241,241,241,241,241,241,241,241,241,241,1253,1417,7812,20584,579460,579460
28,Weighted Average Shares Outstanding Diluted,241,241,241,241,241,241,241,241,241,241,1253,1417,7812,20584,579460,579460
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1187953/000107878212000801/0001078782-12-000801-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878213000455/0001078782-13-000455-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878214000387/0001078782-14-000387-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878215000321/0001078782-15-000321-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878216002633/0001078782-16-002633-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000114420417007873/0001144204-17-007873-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420418017967/0001144204-18-017967-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420419017462/0001144204-19-017462-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000110465920043660/0001104659-20-043660-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793221001495/0001477932-21-001495-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793222001741/0001477932-22-001741-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,21768,317,575,414,1105,781,374,954,216,221868,13697,304056,88648,98012,10723870
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,21768,317,575,414,1105,781,374,954,216,221868,13697,304056,88648,98012,10723870
34,Net Receivables,29337,8668,- -,- -,- -,- -,- -,- -,- -,- -,- -,4801,9600,5600,- -,2485
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10866
36,Other Current Assets,- -,5193,1185,2500,- -,2000,787,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,29337,35629,1502,3075,414,3105,1568,374,954,216,221868,18498,313656,94248,98012,10737221
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100644,184649,163505,436555,619763,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100644,184649,163505,436555,619763,- -
